Accession,id,Class,log10_n_pvalues,anticons
GSE100009,GSE100009_H1299.shZZZ3-2.all.edgeR.txt.gz,anti-conservative,4.381854827622592,anti-conservative
GSE100035,sheet-deseq2_SNL from GSE100035_Supplementary_Table_3.xlsx,other,4.37602918172818,all other classes
GSE100039,GSE100039_DiffBind_ConsPeaks_Annots_mm10_122315.txt.gz,other,4.305630775996965,all other classes
GSE100045,sheet-DESeq2_res_all.txt from GSE100045_DESeq2_final.xls.gz,anti-conservative,4.289990066054319,anti-conservative
GSE100062,GSE100062_GFPposVSneg_toptags_edgeR.annotated.csv.gz,anti-conservative,4.124797567960534,anti-conservative
GSE100075,GSE100075_cuffdiff_MCF7_gene_exp.txt.gz,bimodal,4.879692122941993,all other classes
GSE100077,GSE100077_DifferentialExpression.csv.gz,other,4.4397746596128735,all other classes
GSE100082,GSE100082_group_Flx_TNFa_vs_Flx_Ctl_DEG.txt.gz,anti-conservative,4.0640084865317245,anti-conservative
GSE100092,GSE100092_splicing.diff.gz,conservative,6.069912919669944,all other classes
GSE100102,sheet-cGAS KO MEF_vs_WT MEF from GSE100102_cGAS-WT.logFC.xlsx,anti-conservative,3.784831178124469,anti-conservative
GSE100146,GSE100146_RESULTS.c_d.total.txt.gz,anti-conservative,4.005094675072549,anti-conservative
GSE100148,GSE100148_NB_EPZ_RNA-gene_exp.txt.gz,conservative,6.169552179705241,all other classes
GSE100183,GSE100183_shRNA-b_v_scramble.limma.txt.gz,other,4.405431741967374,all other classes
GSE100188,sheet-K vs. ALS_unannotated from GSE100188_K_vs._ALS_unannotated_all.xlsx.gz,other,5.2054966832783975,all other classes
GSE100203,sheet-Witola_results_rat_04may16 from GSE100203_RAT.xlsx,other,4.105476121121821,all other classes
GSE100236,GSE100236_ventralH_Homecage_vs_Handling.csv.gz,anti-conservative,4.1438887581092745,anti-conservative
GSE100245,GSE100245_Genes-exp-annot.txt.gz,bimodal,3.9755237129603316,all other classes
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,bimodal,4.3871049496595065,all other classes
GSE100285,GSE100285_gene_list_sch.csv.gz,other,4.024813932629311,all other classes
GSE100287,GSE100287_PASS4_denovo_transcripts.txt.gz,anti-conservative,3.6356847625472226,anti-conservative
GSE100290,GSE100290_L_M_positive_vs_L_M_negative.txt.gz,bimodal,3.778729923996112,all other classes
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,conservative,4.406659382166753,all other classes
GSE100347,GSE100347_edgeR_shGAS41_vs_shNT.tsv.gz,anti-conservative,4.141543834220653,anti-conservative
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,anti-conservative,4.1644718242776895,anti-conservative
GSE100358,sheet-Sheet1 from GSE100358_Ern1-LKO_VS_WT_fpkm_gene_exp.xlsx,bimodal,4.407781678633348,all other classes
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,other,4.204011395461484,all other classes
GSE100369,GSE100369_CL5758_vs_CL5960_processed.txt.gz,other,4.243707586661791,all other classes
GSE100392,GSE100392_processed_results.xls.gz,anti-conservative,4.119420863442087,anti-conservative
GSE100396,GSE100396_gene_exp.diff.gz,anti-conservative,4.737772905018306,anti-conservative
GSE100414,GSE100414_DN345_KK43_DESeq2.txt.gz,anti-conservative,3.6722826247889206,anti-conservative
GSE100421,sheet-gene_exp.diff from GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,bimodal,4.4730780298442365,all other classes
GSE100429,GSE100429_Naive-vs-Septic_DESeq2.csv.gz,other,4.2394746634651845,all other classes
GSE100449,GSE100449_gene_exp.diff.gz,bimodal,5.354481080689121,all other classes
GSE100460,GSE100460_edgeR_shCon_EB_Day6_vs_shCon_EB_Day0.tsv.gz,other,4.395308916078588,all other classes
GSE100484,GSE100484_HL-60_Vector_vs_HL60_JMJD3.diff.exp.annot.xls.gz,bimodal,4.782916724712613,all other classes
GSE100539,GSE100539_DESeq_74A_highPi_vs_lowPi.csv.gz,other,3.7661896933101597,all other classes
GSE100545,GSE100545_Expression.Table.txt.gz,anti-conservative,3.88218288763027,anti-conservative
GSE100547,GSE100547_Expression.Table.txt.gz,anti-conservative,3.88218288763027,anti-conservative
GSE100578,GSE100578_A512P_vs_WT.txt.gz,other,4.178113252314632,all other classes
GSE100582,GSE100582_19606vs19606M1.txt.gz,bimodal,3.5402042998420598,all other classes
GSE100631,GSE100631_UUO1_vs_NC1.Differential_analysis_results.xls.gz,other,4.619760962552079,all other classes
GSE100632,GSE100632_gene_exp.diff.txt.gz,conservative,5.053120717879841,all other classes
GSE100635,sheet-Heart (Sham vs. H_ANS vs. H... from GSE100635_Heart_Shamvs.H_ANSvs.H_ANS_H3a.xlsx,conservative,4.695350317569429,all other classes
GSE100652,GSE100652_WTL1_vs_nosL1_smartseq_exp.diff.gz,other,4.298088569391382,all other classes
GSE100659,sheet-kn_ku_psql from GSE100659_bth_rnaseq_deg.xlsx,anti-conservative,3.746556361410369,anti-conservative
GSE100678,sheet-Differential gene expression from GSE100678_processed_data.xlsx,bimodal,4.685902890156902,all other classes
GSE100727,GSE100727_FLe105_vs_HLe110_GLMRobustDisp_edgeR.txt.gz,anti-conservative,4.1316186643491255,anti-conservative
GSE100732,GSE100732_DESeq2.results.txt.gz,other,4.430333103380033,all other classes
GSE100765,sheet-Sheet1 from GSE100765_Combined_processed_data.xlsx,anti-conservative,3.8260099777911005,anti-conservative
GSE100785,sheet-Sheet1 from GSE100785_htcounts_NormalTissue_paired_cpm.xls.gz,other,4.5108933783655285,all other classes
