Accession,id,anticons,de_tool
GSE100009,GSE100009_H1299.shZZZ3-2.all.edgeR.txt.gz,1,edger
GSE100035,sheet-deseq2_SNL from GSE100035_Supplementary_Table_3.xlsx,0,deseq2
GSE100039,GSE100039_DiffBind_ConsPeaks_Annots_mm10_122315.txt.gz,0,edger
GSE100045,sheet-DESeq2_res_all.txt from GSE100045_DESeq2_final.xls.gz,1,deseq2
GSE100062,GSE100062_GFPposVSneg_toptags_edgeR.annotated.csv.gz,1,edger
GSE100075,GSE100075_cuffdiff_MCF7_gene_exp.txt.gz,0,cuffdiff
GSE100077,GSE100077_DifferentialExpression.csv.gz,0,limma
GSE100082,GSE100082_group_Flx_TNFa_vs_Flx_Ctl_DEG.txt.gz,1,edger
GSE100092,GSE100092_splicing.diff.gz,0,unknown
GSE100102,sheet-cGAS KO MEF_vs_WT MEF from GSE100102_cGAS-WT.logFC.xlsx,1,limma
GSE100146,GSE100146_RESULTS.c_d.total.txt.gz,1,deseq2
GSE100148,GSE100148_NB_EPZ_RNA-gene_exp.txt.gz,0,cuffdiff
GSE100183,GSE100183_shRNA-b_v_scramble.limma.txt.gz,0,limma
GSE100188,sheet-K vs. ALS_unannotated from GSE100188_K_vs._ALS_unannotated_all.xlsx.gz,0,clc genomics
GSE100203,sheet-Witola_results_rat_04may16 from GSE100203_RAT.xlsx,0,edger
GSE100236,GSE100236_ventralH_Homecage_vs_Handling.csv.gz,1,edger
GSE100245,GSE100245_Genes-exp-annot.txt.gz,0,cuffdiff
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,0,cuffdiff
GSE100285,GSE100285_gene_list_sch.csv.gz,0,edger
GSE100287,GSE100287_PASS4_denovo_transcripts.txt.gz,1,deseq
GSE100290,GSE100290_L_M_positive_vs_L_M_negative.txt.gz,0,clc genomics
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,0,cuffdiff
GSE100347,GSE100347_edgeR_shGAS41_vs_shNT.tsv.gz,1,edger
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,1,deseq2
GSE100358,sheet-Sheet1 from GSE100358_Ern1-LKO_VS_WT_fpkm_gene_exp.xlsx,0,cuffdiff
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,0,deseq2
GSE100369,GSE100369_CL5758_vs_CL5960_processed.txt.gz,0,deseq2
GSE100392,GSE100392_processed_results.xls.gz,1,cuffdiff
GSE100396,GSE100396_gene_exp.diff.gz,1,cuffdiff
GSE100414,GSE100414_DN345_KK43_DESeq2.txt.gz,1,deseq2
GSE100421,sheet-gene_exp.diff from GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,0,cuffdiff
GSE100429,GSE100429_Naive-vs-Septic_DESeq2.csv.gz,0,deseq2
GSE100449,GSE100449_gene_exp.diff.gz,0,cuffdiff
GSE100460,GSE100460_edgeR_shCon_EB_Day6_vs_shCon_EB_Day0.tsv.gz,0,edger
GSE100484,GSE100484_HL-60_Vector_vs_HL60_JMJD3.diff.exp.annot.xls.gz,0,unknown
GSE100539,GSE100539_DESeq_74A_highPi_vs_lowPi.csv.gz,0,deseq
GSE100545,GSE100545_Expression.Table.txt.gz,1,unknown
GSE100547,GSE100547_Expression.Table.txt.gz,1,unknown
GSE100578,GSE100578_A512P_vs_WT.txt.gz,0,deseq2
GSE100582,GSE100582_19606vs19606M1.txt.gz,0,clc genomics
GSE100631,GSE100631_UUO1_vs_NC1.Differential_analysis_results.xls.gz,0,cuffdiff
GSE100632,GSE100632_gene_exp.diff.txt.gz,0,cuffdiff
GSE100635,sheet-Heart (Sham vs. H_ANS vs. H... from GSE100635_Heart_Shamvs.H_ANSvs.H_ANS_H3a.xlsx,0,clc genomics
GSE100652,GSE100652_WTL1_vs_nosL1_smartseq_exp.diff.gz,0,cuffdiff
GSE100659,sheet-kn_ku_psql from GSE100659_bth_rnaseq_deg.xlsx,1,unknown
GSE100678,sheet-Differential gene expression from GSE100678_processed_data.xlsx,0,cuffdiff
GSE100727,GSE100727_FLe105_vs_HLe110_GLMRobustDisp_edgeR.txt.gz,1,edger
GSE100732,GSE100732_DESeq2.results.txt.gz,0,deseq2
GSE100765,sheet-Sheet1 from GSE100765_Combined_processed_data.xlsx,1,rockhopper
