Accession,id,anticons,model
GSE100035,sheet-deseq2_SNL from GSE100035_Supplementary_Table_3.xlsx,0,illumina hiseq 4000
GSE100045,sheet-DESeq2_res_all.txt from GSE100045_DESeq2_final.xls.gz,1,nextseq 500
GSE100062,GSE100062_GFPposVSneg_toptags_edgeR.annotated.csv.gz,1,illumina miseq
GSE100077,GSE100077_DifferentialExpression.csv.gz,0,illumina hiseq 2500
GSE100092,GSE100092_splicing.diff.gz,0,illumina hiseq 2000
GSE100102,sheet-cGAS KO MEF_vs_WT MEF from GSE100102_cGAS-WT.logFC.xlsx,1,nextseq 500
GSE100146,GSE100146_RESULTS.c_d.total.txt.gz,1,illumina hiseq 2500
GSE100183,GSE100183_shRNA-b_v_scramble.limma.txt.gz,0,nextseq 500
GSE100188,sheet-K vs. ALS_unannotated from GSE100188_K_vs._ALS_unannotated_all.xlsx.gz,0,nextseq 500
GSE100203,sheet-Witola_results_rat_04may16 from GSE100203_RAT.xlsx,0,illumina hiseq 2500
GSE100236,GSE100236_ventralH_Homecage_vs_Handling.csv.gz,1,illumina hiseq 4000
GSE100245,GSE100245_Genes-exp-annot.txt.gz,0,illumina hiseq 2500
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,0,illumina hiseq 2000
GSE100285,GSE100285_gene_list_sch.csv.gz,0,illumina hiseq 2500
GSE100290,GSE100290_L_M_positive_vs_L_M_negative.txt.gz,0,illumina hiseq 1000
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,1,nextseq 500
GSE100358,sheet-Sheet1 from GSE100358_Ern1-LKO_VS_WT_fpkm_gene_exp.xlsx,0,illumina hiseq 4000
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,0,illumina genome analyzer iix
GSE100369,GSE100369_CL5758_vs_CL5960_processed.txt.gz,0,illumina genome analyzer iix
GSE100392,GSE100392_processed_results.xls.gz,1,illumina hiseq 4000
GSE100414,GSE100414_DN345_KK43_DESeq2.txt.gz,1,nextseq 500
GSE100429,GSE100429_Naive-vs-Septic_DESeq2.csv.gz,0,illumina hiseq 2000
GSE100449,GSE100449_gene_exp.diff.gz,0,illumina hiseq 2500
GSE100484,GSE100484_HL-60_Vector_vs_HL60_JMJD3.diff.exp.annot.xls.gz,0,illumina hiseq 4000
GSE100539,GSE100539_DESeq_74A_highPi_vs_lowPi.csv.gz,0,illumina hiseq 2000
GSE100545,GSE100545_Expression.Table.txt.gz,1,ion torrent proton
GSE100547,GSE100547_Expression.Table.txt.gz,1,ion torrent proton
GSE100578,GSE100578_A512P_vs_WT.txt.gz,0,illumina hiseq 2500
GSE100582,GSE100582_19606vs19606M1.txt.gz,0,illumina miseq
GSE100631,GSE100631_UUO1_vs_NC1.Differential_analysis_results.xls.gz,0,illumina hiseq 2500
GSE100632,GSE100632_gene_exp.diff.txt.gz,0,illumina hiseq 2000
GSE100635,sheet-Heart (Sham vs. H_ANS vs. H... from GSE100635_Heart_Shamvs.H_ANSvs.H_ANS_H3a.xlsx,0,nextseq 500
GSE100652,GSE100652_WTL1_vs_nosL1_smartseq_exp.diff.gz,0,illumina hiseq 2500
GSE100659,sheet-kn_ku_psql from GSE100659_bth_rnaseq_deg.xlsx,1,illumina hiseq 2500
GSE100678,sheet-Differential gene expression from GSE100678_processed_data.xlsx,0,illumina hiseq 4000
GSE100727,GSE100727_FLe105_vs_HLe110_GLMRobustDisp_edgeR.txt.gz,1,illumina hiseq 2000
GSE100732,GSE100732_DESeq2.results.txt.gz,0,illumina hiseq 2000
GSE100765,sheet-Sheet1 from GSE100765_Combined_processed_data.xlsx,1,illumina hiseq 1500
GSE100785,sheet-Sheet1 from GSE100785_htcounts_NormalTissue_paired_cpm.xls.gz,0,illumina hiseq 2000
GSE100823,GSE100823_DESeq2_block.allSamples.idMap.txt.gz,0,illumina hiseq 2500
GSE100892,GSE100892_Rovira2017_RNAseq_DEGs.csv.gz,1,nextseq 500
GSE100954,GSE100954_WTvsDKO13_gene_exp.diff.gz,0,nextseq 500
GSE100990,GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,0,illumina hiseq 2000
GSE101084,sheet-October24genes from GSE101084_All_downstream_transcripts_17.xlsx,0,illumina hiseq 2500
GSE101134,sheet-S5 DEseq data from GSE101134_processed_data.xlsx,1,nextseq 500
GSE101157,sheet-All data large RNA from GSE101157_LargeRNA.shL1.100hrs.293T.xlsx.gz,0,illumina hiseq 4000
GSE101167,sheet-All data large RNA from GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz,0,illumina hiseq 4000
GSE101232,sheet-All data large RNA from GSE101232_LargeRNA.CD95L.50hrs.HeyA8.xlsx.gz,0,illumina hiseq 4000
GSE101234,sheet-All data large RNA from GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz,0,illumina hiseq 4000
GSE101241,sheet-rnaseq_C15vsHTERT_R2R3R4.deseq2 from GSE101241_rnaseq_C15vsHTERT_R2R3R4.deseq2.refseq.results_INVITRO.xlsx,0,illumina hiseq 2500
GSE101300,GSE101300_HSC_EdgeR_results.txt.gz,0,illumina hiseq 2000
GSE101342,GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,1,illumina hiseq 2500
GSE101391,GSE101391_Supp_data_1-RNA-seq_results.txt.gz,0,illumina hiseq 2000
