RowID,Dataset Link,u_id,Public,Derived View,Parent uid,Domain,Type,Name,Description,Visits,Creation Date,Created Month,Created Year,Data Last Update Date,Month Data Last Updated,Year Data Last Updated,Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version uid,Data Provided By,Source Link,Api Endpoint,Provenance,Publishing,Terms of Use,Public Access Level,Public Access Level Comment,Published,Data Age,data_change,endpoint,geographic_coverage,homepage,issued,last_update,moderation_status,publisher,theme,unique_identifier
7,https://citydata.mesaaz.gov/d/22n9-tx89,22n9-tx89,public,false,,citydata.mesaaz.gov,dataset,Business Services – e-Bill Customers,"This dataset includes the number of utility accounts that were billed each month and how many bills were paper bills and how many were e-Bill notifications. It also provides latitude, longitude and GeoLocation based on the zip code location of accounts billed.",561,08/31/2020 10:00:42 PM,Aug,2020,03/02/2026 04:03:06 PM,Mar,2026,Business Services,utility,91,City of Mesa,xBusinessServicesData@mesaaz.gov,See Terms of Use,published,,,Business Services,https://citydata.mesaaz.gov/Business-Services/Business-Services-e-Bill-Customers/22n9-tx89,https://citydata.mesaaz.gov/resource/22n9-tx89.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,60,Daily,https://citydata.mesaaz.gov/resource/22n9-tx89.json,n/a,n/a,n/a,2026-03-02T16:02:55.000,approved,n/a,n/a,n/a
13,https://citydata.mesaaz.gov/d/24df-s3cy,24df-s3cy,site,false,,citydata.mesaaz.gov,dataset,Traffic Collisions Reported,"Collisions investigated by the Mesa Police Department, that include, accidents reported to the State of Arizona as a reportable motor vehicle collision, per ARS Title 28-667. Data prior to September 2019 was stored in system that is no longer being used they City of Mesa. During the transition to new technologies, testing and evaluation determined a discrepancy. The intention of City of Mesa departments is not to provide data that can be misconstrued, so it was decided that  from September 2019 through February 15, 2022 will not include injury and fatality data, however date and location data has been preserved through this period. The fatality and injury dataflow has been rectified and will report results as inputted from traffic accident reports. 

Information provided in the recent refresh of the data includes columns to identify crashes valued at over $2000.00 and whether the incident was submitted to ADOT. Criteria exist",8965,01/25/2018 02:18:21 PM,Jan,2018,03/02/2026 04:27:11 PM,Mar,2026,Police,"traffic,police,pd,injury,car,accidents,vehicle,street",271,City of Mesa,xPoliceData@MesaAZ.gov,See Terms of Use,published,,,Police,,https://citydata.mesaaz.gov/resource/24df-s3cy.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,0,Monthly,https://citydata.mesaaz.gov/resource/24df-s3cy.json,n/a,n/a,n/a,2026-03-02T16:26:58.000,not_ready,n/a,n/a,n/a
14,https://citydata.mesaaz.gov/d/24g5-hb8k,24g5-hb8k,public,false,,citydata.mesaaz.gov,dataset,Dobson Ranch Golf Rounds,"Provides information on activity levels and revenues at Dobson Ranch Golf Course, which is operated by Paradigm Golf Group.",993,05/22/2018 07:25:12 PM,May,2018,03/30/2026 02:17:13 AM,Mar,2026,"Parks, Recreation, and Community Facilities","golf,recreation and community facilities,parks",171,City of Mesa,xParksRecreationAndCommunityFacilitiesData@MesaAZ.gov,See Terms of Use,published,,,"Parks, Recreation and Community Facilities",,https://citydata.mesaaz.gov/resource/24g5-hb8k.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,Public,n/a,60,Daily,https://citydata.mesaaz.gov/resource/24g5-hb8k.json,n/a,n/a,n/a,2026-03-30T02:17:11.000,approved,n/a,n/a,n/a
17,https://citydata.mesaaz.gov/d/24pf-5hpg,24pf-5hpg,public,false,,citydata.mesaaz.gov,dataset,Information Technology - Project Schedule and Budget Variance,"New dataset replacing https://citydata.mesaaz.gov/Information-Technology/Information-Technology-Project-Schedule-and-Budget/spka-r4fd.

 This data set lists projects currently in process and managed by the Department of Information Technology. Projects are noted if they are in an implementation phase, which would make their schedule and budget adherence applicable. Budget is listed and determined by project manager if they are within budget, at or under budget, to date. Schedule is determined by project start date, project manager original go live estimate and current go live estimate and /or actual go live date.",355,08/05/2021 04:48:28 PM,Aug,2021,07/11/2024 07:44:08 PM,Jul,2024,Information Technology,"budget,schedule,project",182,City of Mesa,xInformationTechnologyData@MesaAZ.gov,See Terms of Use,published,,,Information Technology,,https://citydata.mesaaz.gov/resource/24pf-5hpg.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,0,Quarterly,https://citydata.mesaaz.gov/resource/24pf-5hpg.json,n/a,n/a,n/a,2025-03-10T23:17:22.000,approved,n/a,n/a,n/a
18,https://citydata.mesaaz.gov/d/24qg-xnn4,24qg-xnn4,public,false,,citydata.mesaaz.gov,dataset,Print Services - Job Quality,"Dataset provides monthly information about the accuracy and timeliness of print jobs generated by the city’s print services. These measures are verified from data collected on customer service satisfaction surveys, percent of jobs delivered by the due date and percent of jobs free of defect. The fields in this dataset pertain to percent of print jobs completed by the due date.",261,09/03/2019 05:15:23 PM,Sep,2019,03/30/2026 10:00:05 AM,Mar,2026,Business Services,,54,City of Mesa,xBusinessServicesData@MesaAZ.gov,See Terms of Use,published,,,Business Services,,https://citydata.mesaaz.gov/resource/24qg-xnn4.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,60,Daily,https://citydata.mesaaz.gov/resource/24qg-xnn4.json,n/a,n/a,n/a,2022-07-18T17:48:55.000,approved,n/a,n/a,n/a
21,https://citydata.mesaaz.gov/d/258t-7i6w,258t-7i6w,public,false,,citydata.mesaaz.gov,dataset,Downtown Tax Revenue by Consumer Activity Period (Excludes Utility and Construction),"This dataset shows sales tax revenues generated within the downtown Mesa area. See the <a href=""https://data.mesaaz.gov/Zoning-Property/DowntownMesa/vsp3-2eiw"">Downtown Mesa map</a> for the boundary used in this dataset. Sales tax revenues collected by City of Mesa Utilities and construction contractors are <b>excluded</b> from this dataset because these revenues are reported by the location of the Utility or contractor’s office, not the customer or job site. These revenues are included in the dataset <a href=""https://citydata.mesaaz.gov/Business-Services/Citywide-Tax-Revenue-by-Report-Month/8y5v-kwui"">Citywide Tax Revenue</a>. 

Effective March 1, 2019, the City of Mesa sales tax rate increased from 1.75% to 2.0%. For comparisons using the prior 1.75% tax rate, see <a href=""https://citydata.mesaaz.gov/Financials/Comparable-Rate-Downtown-Revenue-1-75-rate-by-Repo/dfmd-ebzh"">Comparable Rate Downtown Revenue</a>.

Notes:

Includes revenues from Transaction Privilege Tax (TPT) and Transient Lodging Tax (TLT) taxpayers in Downtown Mesa. 

Revenues are grouped by reporting year and month, reflecting when the sales activity occurred, not when payment was received by City of Mesa.

Categories with fewer than 10 taxpayers are grouped as “Other.”

Data may be delayed up to 120 days (e.g., May activity is typically posted by mid-July).

Revenue amounts may change over time as corrections or late payments are reported.",538,01/17/2019 04:48:11 PM,Jan,2019,03/30/2026 01:50:33 PM,Mar,2026,Business Services,,174,City of Mesa,xBusinessServicesData@MesaAZ.gov,See Terms of Use,published,,,Business Services,https://data.mesaaz.gov/dataset/DowntownMesa/vsp3-2eiw,https://citydata.mesaaz.gov/resource/258t-7i6w.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,120,Daily,https://citydata.mesaaz.gov/resource/258t-7i6w.json,n/a,n/a,n/a,2026-03-09T15:26:34.000,approved,n/a,n/a,n/a
24,https://citydata.mesaaz.gov/d/25jt-mxbm/revisions/0,25jt-mxbm:0,private,false,,citydata.mesaaz.gov,dataset,Mesa Arts Center Box Office and Registration Sales,,0,04/04/2024 12:25:21 AM,Apr,2024,04/04/2024 12:25:20 AM,Apr,2024,,,0,Andrew Douglas,,,unpublished,,,,,,official,n/a,,,,n/a,,,,n/a,n/a,n/a,2024-04-04T00:25:20.000,not_ready,n/a,n/a,n/a
26,https://citydata.mesaaz.gov/d/263s-yugq,263s-yugq,private,false,,citydata.mesaaz.gov,dataset,Arts and Culture - Museum of Contemporary Art Visitation,,4,03/04/2025 07:45:24 PM,Mar,2025,03/04/2025 07:53:25 PM,Mar,2025,,,0,Myja.Lark@MesaAZ.gov,,,published,,,,,https://citydata.mesaaz.gov/resource/263s-yugq.json,official,n/a,,,,n/a,,,https://citydata.mesaaz.gov/resource/263s-yugq.json,n/a,n/a,n/a,2025-03-04T19:56:28.000,not_ready,n/a,n/a,n/a
29,https://citydata.mesaaz.gov/d/26pa-rn9q,26pa-rn9q,private,false,,citydata.mesaaz.gov,dataset,Municipal Courts DV Re-offenses by Month,This dataset contains the number of defendants on probation as well as the number of defendants that have new charges by month,12,06/09/2025 07:08:19 PM,Jun,2025,06/10/2025 03:04:54 PM,Jun,2025,Municipal Court,"domestic violence,reoffense",0,Myja.Lark@MesaAZ.gov,,See Terms of Use,published,,,Municipal Courts,,https://citydata.mesaaz.gov/resource/26pa-rn9q.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,,,n/a,,As Needed / On Demand,https://citydata.mesaaz.gov/resource/26pa-rn9q.json,n/a,n/a,n/a,2025-06-10T15:05:05.000,not_ready,n/a,n/a,n/a
42,https://citydata.mesaaz.gov/d/29q3-4ewh,29q3-4ewh,public,false,,citydata.mesaaz.gov,dataset,Open Budget Expenses,"Listing of the adopted budget, amended budget, and City expenditures tied to budgetary accounts. This includes the accounting string that describes which fund, organizational department and the activity rollup of the department for the corresponding adopted budget, amended budget, and actual expenditures.

The data contained on this website is for informational purposes only and represents adopted budget, amended budget, expenditures, and year end estimates of the City of Mesa. The data does not include internal transfers or accounting adjustments. The data as represented is unaudited and may contain omissions. For audited financial statements please reference the Comprehensive Annual Financial Report (CAFR). Certain Activity assignments may change mid-year. This year-to-date information is updated monthly and represents the most current activity assignment regardless of the assignment at the time of the transaction.",1092,02/08/2018 09:46:13 PM,Feb,2018,03/10/2026 11:22:34 PM,Mar,2026,Office of Management and Budget,"year end,expenses,expenditures,budget basis,budget",269,City of Mesa,xOfficeOfManagementAndBudgetData@MesaAZ.gov,See Terms of Use,published,,,Office of Management and Budget,,https://citydata.mesaaz.gov/resource/29q3-4ewh.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,0,Daily,https://citydata.mesaaz.gov/resource/29q3-4ewh.json,n/a,n/a,n/a,2026-03-10T23:22:32.000,approved,n/a,n/a,n/a
