Institution / Repository,URL,Type,Total datasets in repository as of 6/26/2017,Resource type searched,agriculture,agriculture percent,Agricultural Research Service,Agricultural Research Service percent,natural resources conservation service,NRCS percent,forestry,forestry percent,aquaculture,aquaculture percent,agronomy,agronomy percent,soil science,soil science percent,Notes,Significant source of ag data,Search term greater than 1 percent of collection,Over 100 data search returns,Both 1 percent of collection AND over 100 returns,Search term greater than 5 percent of collection,Over 500 data search returns,Both 5 percent of collection AND over 500 returns
4TU.Centre for Research Data,http://data.4tu.nl/,non-federal,8066,data,12,0.148772626,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,N,N,N,N
AEKOS - TERN Ecoinformatics,http://www.aekos.org.au/,non-federal,1278,all (data),12,0.938967136,28,2.190923318,37,2.89514867,10,0.782472614,0,0,0,0,36,2.816901408,Repository used by several journals for data desposit,Y,Y,N,N,N,N,N
ArrayExpress,http://www.ebi.ac.uk/arrayexpress/,non-federal,70169,experiments,82,0.116860722,1,0.001425131,0,0,5,0.007125654,45,0.064130884,2,0.002850262,0,0,Repository used by several journals for data desposit,N,N,N,N,N,N,N
Assembly (NCBI),https://www.ncbi.nlm.nih.gov/assembly/,federal,114888,all (data),398,0.346424344,3,0.002611239,0,0,91,0.079207576,10,0.008704129,2,0.001740826,7,0.00609289,"The Assembly resource provides access to genome assemblies for both submitted data and NCBI RefSeq assemblies. Assembly provides versioned accession identifiers for submitted and RefSeq assemblies, links to the components in the Nucleotide system and direct access to the downloads on the NCBI FTP site.",Y,N,Y,N,N,N,N
"ASTM (formerly, American Society for Testing and Materials)",https://www.astm.org/Standard/index.html,non-federal,12000,Products & Services,2552,21.26666667,121,1.008333333,30,0.25,452,3.766666667,15,0.125,331,2.758333333,579,4.825,"More than 12,000+ ASTM standards are used worldwide to improve product quality, enhance safety and facilitate trade. You can purchase individual standards; a volume that groups like standards together; a section that's comprised of several volumes covering an industry segment; or the entire collection. Print and online subscriptions are available.",Y,Y,Y,Y,Y,Y,Y
Atmospheric Radiation Measurement (ARM) Data Archive,https://www.arm.gov/data,federal,"37,705",measurements,61,0.161782257,0,0,0,0,0,0,0,0,0,0,0,0,Repository used by several journals for data desposit,N,N,N,N,N,N,N
Austrailian National Data Services,http://www.ands.org.au/,non-federal,132293,research data,2860,2.161867975,0,0,0,0,412,0.311429932,543,0.410452556,2,0.001511796,15,0.011338468,,Y,Y,Y,Y,N,Y,N
Australian Antarctic Data Centre (AADC),https://data.aad.gov.au/,non-federal,2654,datasets,1,0.037678975,0,0,0,0,0,0,1,0.037678975,0,0,0,0,,N,N,N,N,N,N,N
BioCollections (NCBI),https://www.ncbi.nlm.nih.gov/biocollections/,federal,7228,all (data),119,1.646375208,0,0,0,0,118,1.632540122,1,0.013835086,2,0.027670172,0,0,The National Center for Biotechnology Information - results searching https://www.ncbi.nlm.nih.gov/gquery. https://www.ncbi.nlm.nih.gov/books/NBK3837/ describes all the databases in NCBI.,Y,Y,Y,Y,N,N,N
BioProject (NCBI),https://www.ncbi.nlm.nih.gov/bioproject/,federal,236777,all (data),"2,097",0.885643454,11,0.004645722,3,0.001267015,769,0.324778167,383,0.161755576,56,0.023650946,4,0.001689353,"The BioProject database is a searcheable collection of complete and incomplete (in-progress) large-scale molecular projects including genome sequencing and assembly, transcriptome, metagenomic, annotation, expression and mapping projects. BioProject provides a central point to link to all data associated with a project in the NCBI molecular and literature databases.",Y,N,Y,N,N,Y,N
BioSample (NCBI),https://www.ncbi.nlm.nih.gov/biosample,federal,6613281,all (data),"12,839",0.194139641,39,0.000589722,0,0,"3,434",0.051925814,"1,414",0.021381218,"1,131",0.01710195,9,0.00013609,"BioSample contains descriptions of biological source materials used in studies that have data in other NCBI molecular databases such as Assembly, Nucleotide and SRA.",Y,N,Y,N,N,Y,N
