id,GSE,Species,Entity,Technology,Type,Samples,Disease,DOLink,Dsetlink,Datapath,DataAnnot
1,DRP000987,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",121,malaria,disease-ontology.org/term/DOID%3A12365,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000987,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP000987.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP000987_Annot.csv"
2,DRP001358,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",336,"lung cancer-sc",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001358,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP001358.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP001358_Annot.csv"
3,DRP001797,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",322,"epigenomics of vascular endothelial cells",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001797,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP001797.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP001797_Annot.csv"
4,DRP002435,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",469,"cell cycle-sc",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002435,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP002435.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP002435_Annot.csv"
5,DRP002586,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",254,"lung cancer-sc",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002586,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP002586.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/DRP002586_Annot.csv"
6,ERP000546,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",47,"various tissues",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000546,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP000546.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP000546_Annot.csv"
7,ERP001344,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",34,"liver transplantation",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP001344,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001344.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001344_Annot.csv"
8,ERP001908,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",62,lymphoma,disease-ontology.org/term/DOID%3A0060058,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP001908,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001908.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001908_Annot.csv"
9,ERP001942,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",663,"lymphoblastoid cell lines",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP001942,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001942.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP001942_Annot.csv"
10,ERP003613,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",169,"healthy individuals",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP003613,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP003613.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP003613_Annot.csv"
