Accession,id,pi0,bins
GSE100009,GSE100009_H1299.shZZZ3-2.all.edgeR.txt.gz,0.401111315378423,"(0.4,0.5]"
GSE100045,sheet-DESeq2_res_all.txt from GSE100045_DESeq2_final.xls.gz,0.802230034872356,"(0.8,0.9]"
GSE100062,GSE100062_GFPposVSneg_toptags_edgeR.annotated.csv.gz,0.661451357047612,"(0.6,0.7]"
GSE100082,GSE100082_group_Flx_TNFa_vs_Flx_Ctl_DEG.txt.gz,0.810737370287349,"(0.8,0.9]"
GSE100102,sheet-cGAS KO MEF_vs_WT MEF from GSE100102_cGAS-WT.logFC.xlsx,0.554812517412212,"(0.5,0.6]"
GSE100146,GSE100146_RESULTS.c_d.total.txt.gz,0.869508982562445,"(0.8,0.9]"
GSE100236,GSE100236_ventralH_Homecage_vs_Handling.csv.gz,0.953803498143829,"(0.9,1]"
GSE100287,GSE100287_PASS4_denovo_transcripts.txt.gz,0.290931047585443,"(0.2,0.3]"
GSE100347,GSE100347_edgeR_shGAS41_vs_shNT.tsv.gz,0.494090743546772,"(0.4,0.5]"
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,0.264911426021799,"(0.2,0.3]"
GSE100392,GSE100392_processed_results.xls.gz,0.91956023989505,"(0.9,1]"
GSE100396,GSE100396_gene_exp.diff.gz,0.91231318560454,"(0.9,1]"
GSE100414,GSE100414_DN345_KK43_DESeq2.txt.gz,0.562016822762543,"(0.5,0.6]"
GSE100545,GSE100545_Expression.Table.txt.gz,0.753341282369743,"(0.7,0.8]"
GSE100547,GSE100547_Expression.Table.txt.gz,0.753341282369743,"(0.7,0.8]"
GSE100659,sheet-kn_ku_psql from GSE100659_bth_rnaseq_deg.xlsx,0.114628745519713,"(0.1,0.2]"
GSE100727,GSE100727_FLe105_vs_HLe110_GLMRobustDisp_edgeR.txt.gz,0.706529326959614,"(0.7,0.8]"
GSE100765,sheet-Sheet1 from GSE100765_Combined_processed_data.xlsx,0.375338857089364,"(0.3,0.4]"
GSE100822,GSE100822_KOP_vs_KO_CPM_log2FC_FDR_complete_table.txt.gz,0.717312476846611,"(0.7,0.8]"
GSE100892,GSE100892_Rovira2017_RNAseq_DEGs.csv.gz,0.915659886084609,"(0.9,1]"
GSE101134,sheet-S5 DEseq data from GSE101134_processed_data.xlsx,0.401292527287838,"(0.4,0.5]"
GSE101342,GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,0.596871795420561,"(0.5,0.6]"
GSE101424,GSE101424_pleb-VS-pYthA.GeneDiffExp.xls.gz,0.130843978898759,"(0.1,0.2]"
GSE101465,sheet-All genes from GSE101465_DAH_vs_OR.xls.gz,0.610325604261156,"(0.6,0.7]"
GSE101480,GSE101480_Group370_vs_GroupCtrl.all.gene.result.txt.gz,0.432869112859398,"(0.4,0.5]"
GSE101484,sheet-CCR4KO DEseq2 all replicates from GSE101484_SuppTable3_Complete_RNAseq_DEseq2_output.xlsx,0.843574047705038,"(0.8,0.9]"
GSE101877,GSE101877_MOC_allgenes_edgeR.txt.gz,0.912466246425707,"(0.9,1]"
GSE101883,GSE101883_DESq2_DGE.csv.gz,0.91021700260797,"(0.9,1]"
GSE102047,GSE102047_v7.1.PGCvsENDO.results.csv.gz,0.546371826125812,"(0.5,0.6]"
GSE102237,GSE102237_deseq_Pavlaki_differential_expression.tab.gz,0.517470414572986,"(0.5,0.6]"
GSE102365,GSE102365_DESeq2_analysis.txt.gz,0.704376078912594,"(0.7,0.8]"
GSE102583,sheet-Sheet1 from GSE102583_E17_kidney_delta_SRM_RNA-seq_Rauchman_Lab.xlsx,0.675168240572067,"(0.6,0.7]"
GSE102595,sheet-Expression_DESEQ3rep2cond from GSE102595_SupplementalTable_Expression_and_SplicingChanges.xlsx,0.278595765978337,"(0.2,0.3]"
GSE102713,GSE102713_BPC-bpcBAresponse.edgeR_de_total.txt.gz,0.620076176775678,"(0.6,0.7]"
GSE102793,GSE102793_deseq2_genes.tsv.gz,0.548113019690547,"(0.5,0.6]"
GSE102826,GSE102826_model_fc.txt.gz,0.708836974641909,"(0.7,0.8]"
GSE102842,GSE102842_Input_sumo_def_La_mut_vs_RNA_IP_sumo_def_La_mut.txt.gz,0.58311630751839,"(0.5,0.6]"
GSE102852,GSE102852_HCT116_H2B_8.3.c7.txt.gz,0.991317576451169,"(0.9,1]"
GSE102870,GSE102870_WT.agonist.vs.untrt.filter.tsv.gz,0.382308748254866,"(0.3,0.4]"
GSE102872,GSE102872_DESeq_3h_vs_0h.csv.gz,0.851794936191019,"(0.8,0.9]"
GSE103068,GSE103068_BI00894999_1nM_Volasertib_20nM_vs_DMSO_4h_dge.tsv.gz,0.416580370122776,"(0.4,0.5]"
GSE103146,sheet-SE_DESeq_Master from GSE103146_SE_DESeq_Processed.xlsx.gz,0.810449701491221,"(0.8,0.9]"
GSE103153,GSE103153_EG19732_EG19733_DESeq2.txt.gz,0.777143344806387,"(0.7,0.8]"
GSE103264,GSE103264_edgeR_analysis_GEOformat.txt.gz,0.588055970896498,"(0.5,0.6]"
GSE103305,GSE103305_Thyroid_Hyper_vs_Hypo_resultstable.txt.gz,0.747028369073982,"(0.7,0.8]"
GSE103361,GSE103361_RNA_edgeR_output.txt.gz,0.811485862251891,"(0.8,0.9]"
GSE103405,sheet-Table_S1 from GSE103405_Table_S1.xlsx,0.511124279877484,"(0.5,0.6]"
GSE103415,sheet-res_fc_out from GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,0.420016319178823,"(0.4,0.5]"
GSE103444,sheet-Complete_geneList_rawCount_Filt from GSE103444_Complete_geneList_rawCount_Filtered_EdgeR.xlsx,0.937467166293331,"(0.9,1]"
GSE103764,GSE103764_CraY47D_vs_CraY47F.txt.gz,0.493915864679064,"(0.4,0.5]"
GSE103939,GSE103939_daphnia.magna.bham2.txt.gz,0.832310627234834,"(0.8,0.9]"
GSE104047,GSE104047_EdgeR_OMvsSE.txt.gz,0.988108804176716,"(0.9,1]"
GSE104152,GSE104152_iTreg_vs_Th0.txt.gz,0.44203634185904,"(0.4,0.5]"
GSE104172,sheet-edgeCPMsAndStatistics_GeneDescr from GSE104172_edgeCPMsAndStatistics.xlsx,0.490644357690954,"(0.4,0.5]"
GSE104234,sheet-Sheet1 from GSE104234_Processed_Filtered_StatsTest.xlsx,0.579181654278202,"(0.5,0.6]"
GSE104255,GSE104255_res.prz.csv.gz,0.779234933110224,"(0.7,0.8]"
GSE104263,GSM2793830_M145-VS-D3013-Batch2.txt.gz from GSE104263_RAW.tar,0.194193612129773,"(0.1,0.2]"
GSE104366,GSE104366_FoldChange.csv.gz,0.299008174582486,"(0.2,0.3]"
GSE104415,GSE104415_processed.csv.gz,0.527395600968105,"(0.5,0.6]"
GSE104530,GSE104530_seq_processed_counts_results.csv.gz,0.538929110598138,"(0.5,0.6]"
GSE104599,GSE104599_7H9vsPBS_low-read-rm.csv.gz,0.740709714076849,"(0.7,0.8]"
GSE104604,sheet-EIF5A_results from GSE104604_EIF5A_RNA-seq_genes.xls.gz,0.685196427596657,"(0.6,0.7]"
GSE104872,sheet-2h_all_genes from GSE104872_Papachristou_et.al_mRNAseq_result_file.xlsx.gz,0.893060806135097,"(0.8,0.9]"
GSE104920,GSE104920_BMDM_vs_Resident_Fold.txt.gz,0.296008700324676,"(0.2,0.3]"
GSE104976,sheet-rRNA_rem_trim_rmdup from GSE104976_SVI_SRSF2_RNAseq_LinNeg_cKitPos_eYFPPos_differential_expression_supplementary.xlsx,0.805597160795155,"(0.8,0.9]"
GSE105436,GSE105436_ICE1_NS_sleuth_table.csv.gz,0.674541912213995,"(0.6,0.7]"
GSE105769,GSE105769_WT-VS-DLTpcrS.GeneDiffExp.txt.gz,0.651444412833083,"(0.6,0.7]"
GSE106093,GSE106093_DESeq2_6-8h_Pros.csv.gz,0.757034328582906,"(0.7,0.8]"
GSE106187,GSE106187_CAGRF15355-On.vs.Off-all_genes.txt.gz,0.121490629313523,"(0.1,0.2]"
GSE106192,GSE106192_deseq2.H3.3-K9R.over.WT.csv.gz,0.874407424238861,"(0.8,0.9]"
GSE106290,GSE106290_PTF1a_RNASEQ.txt.gz,0.407482800351824,"(0.4,0.5]"
GSE106296,GSE106296_processed_data.txt.gz,0.928626615737542,"(0.9,1]"
GSE106339,sheet-GOATKvsWT without 1139 and 1120 from GSE106339_CAGRF11628_GOATKOvsWT_NoOutliers.xlsx,0.915612797751155,"(0.9,1]"
GSE106365,GSE106365_S3.L7vsControl.DEG_GO_enrichment_result_all.txt.gz,0.482645585790348,"(0.4,0.5]"
GSE106371,GSE106371_SupplementalTableS1_counts.txt.gz,0.654335482144835,"(0.6,0.7]"
GSE106456,GSE106456_Supplemental_table_2.txt.gz,0.513350737051343,"(0.5,0.6]"
GSE106545,GSE106545_AXL-KO1-3_U251-1-3_All_results.txt.gz,0.530794162054996,"(0.5,0.6]"
GSE106568,GSE106568_WT_vs_ibm1.txt.gz,0.876350496006587,"(0.8,0.9]"
GSE106693,sheet-Control_vs_ZFP1-1(RNAi) from GSE106693_Control_v_zfp-1-1RNAi.xlsx,0.935987882243191,"(0.9,1]"
