Data broker name:,"Doing Business As (DBA), if applicable:",Data broker primary website:,Data broker primary contact email address:,Data broker primary phone number: [optional],Data broker primary street address:,Data broker city:,Data broker state:,Data broker zip code:,Data broker country:,Data broker's primary website that contains details on how consumers can exercise their CA Consumer Privacy rights:,Data broker collects personal information of minors:,Data broker collects consumers’ account logins or numbers with security codes that grant access to third‑party accounts,Data broker collects consumers’ government‑issued identification numbers used to verify an individual’s identity,"Data broker collects consumers' citizenship data, including immigration status",Data broker collects consumers' union membership status,Data broker collects consumers' sexual orientation status,Data broker collects consumers' gender identity and gender expression data,Data broker collects consumers' biometric data,Data broker collects consumers' precise geolocation,Data broker collects consumers’ reproductive health care data:,"Data broker collects consumers’ names, birth dates, ZIP codes, emails, phone numbers, mobile ad IDs, CTV IDs, or vehicle IDs","If you answered ‘no’ to all above, list one to three common types of personal information you collect",Data broker shared or sold consumers' data to a foreign actor in the past year,Data broker shared or sold consumers' data to the federal government in the past year,Data broker shared or sold consumers' data to other state governments in the past year,"Data broker shared or sold consumers’ data to law enforcement in the past year, except when required by subpoena or court order",Data broker shared or sold consumers’ data to a developer of a GenAI system or model in the past year,The data broker or any of its subsidiaries is regulated by the federal Fair Credit Reporting Act,"If the data broker or its subsidiaries are regulated by the FCRA, describe the types of personal information covered","If the data broker or its subsidiaries are regulated by the FCRA, describe the specific products or services covered","If the data broker or its subsidiaries are regulated by the FCRA, describe the percentage of data activities covered",The data broker or any of its subsidiaries is regulated by the Gramm‑Leach‑Bliley Act (GLBA) and implementing regulations,"If the data broker or its subsidiaries are regulated by the GLBA, describe the types of personal information covered","If the data broker or its subsidiaries are regulated by the GLBA, describe the specific products or services covered","If the data broker or its subsidiaries are regulated by the GLBA, describe the percentage of data activities covered",The data broker or any of its subsidiaries is regulated by the California Insurance Information and Privacy Protection Act (IIPPA),"If the data broker or its subsidiaries are regulated by the IIPPA, describe the types of personal information covered","If the data broker or its subsidiaries are regulated by the IIPPA, describe the specific products or services covered","If the data broker or its subsidiaries are regulated by the IIPPA, describe the percentage of data activities covered",The data broker or any of its subsidiaries is regulated by the California Confidentiality of Medical Information Act (CMIA),"If the data broker or its subsidiaries are regulated by the CMIA, describe the types of personal information covered","If the data broker or its subsidiaries are regulated by the CMIA, describe the specific products or services covered","If the data broker or its subsidiaries are regulated by the CMIA, describe the percentage of data activities covered","The data broker or its subsidiaries are regulated by the HIPAA privacy, security, and breach‑notification rules","If the data broker or its subsidiaries are regulated by HIPAA, describe the types of personal information covered","If the data broker or its subsidiaries are regulated by HIPAA, describe the specific products or services covered","If the data broker or its subsidiaries are regulated by HIPAA, describe the percentage of data activities covered",Requests to delete - Total requests received,Requests to delete - Total requests received - Complied in whole,Requests to delete - Total requests received - Complied in part,Requests to delete - Total requests received - Denied,Requests to delete - The number of days to respond substantively to a request to delete in 2024 - Mean,Requests to delete - The number of days to respond substantively to a request to delete in 2024 - Median,Requests to know what personal information is being collected - Total requests received,Requests to know what personal information is being collected - Total requests received - Complied in whole,Requests to know what personal information is being collected - Total requests received - Complied in part,Requests to know what personal information is being collected - Total requests received - Denied,Requests to know what personal information is being collected - The number of days to respond substantively to a request to know in 2024 - Mean,Requests to know what personal information is being collected - The number of days to respond substantively to a request to know in 2024 - Median,Requests to know what personal information is sold or shared - Total requests received,Requests to know what personal information is sold or shared - Total requests received - Complied in whole,Requests to know what personal information is sold or shared - Total requests received - Complied in part,Requests to know what personal information is sold or shared - Total requests received - Denied,Requests to know what personal information is sold or shared - The number of days to respond substantively to a request to know what personal information is sold or shared in 2024 - Mean,Requests to know what personal information is sold or shared - The number of days to respond substantively to a request to know what personal information is sold or shared in 2024 - Median,Requests to opt out of sale or sharing - Total requests received,Requests to opt out of sale or sharing - Total requests received - Complied in whole,Requests to opt out of sale or sharing - Total requests received - Complied in part,Requests to opt out of sale or sharing - Total requests received - Denied,Requests to opt out of sale or sharing - The number of days to respond substantively to a request to know in 2024 - Mean,Requests to opt out of sale or sharing - The number of days to respond substantively to a request to know in 2024 - Median,Requests to limit the use and disclosure of sensitive personal information - Total requests received,Requests to limit the use and disclosure of sensitive personal information - Total requests received - Complied in whole,Requests to limit the use and disclosure of sensitive personal information - Total requests received - Complied in part,Requests to limit the use and disclosure of sensitive personal information - Total requests received - Denied,Requests to limit the use and disclosure of sensitive personal information - The number of days to respond substantively to a request to know in 2024 - Mean,Requests to limit the use and disclosure of sensitive personal information - The number of days to respond substantively to a request to know in 2024 - Median,Additional Context or Comments:  [optional]
01Advertising Inc.,,https://www.01advertising.com,privacy@01advertising.com,9496099696,"3857 Birch St, PMB 5032",Newport Beach,CA,92660,UNITED STATES,https://www.01advertising.com/legal/dsar/,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33 Mile Radius LLC,,www.33mileradius.com,operations@ignitevisibility.com,(619) 752-1955,"770 Irvine Center Dr, Suite 430",Irvine,California,92618,UNITED STATES,www.33mileradius.com,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,62584,394,0,62190,12,12,0,0,0,0,0,0,0,0,0,0,0,0,62584,62584,0,0,12,12,0,0,0,0,0,0,
"33Across, Inc.",,www.33across.com,privacy@33across.com,18882974094,228 Park Avenue South PMB 74008,New York,NY,10003,UNITED STATES,www.33across.com,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,10478,2010,0,8468,29,10,1348,942,0,406,29,10,1348,942,0,406,29,10,13563,11825,0,1738,29,10,0,0,0,0,0,0,
"5x5 US, LLC",,https://5x5data.com,contact@join5x5.com,5085457902,1800 W 4th St.,Austin,TX,78702,UNITED STATES,https://privacy.5x5data.com/5x5/opt-out; https://5x5data.com/privacy-policy/,No,No,No,No,No,No,No,No,Yes,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,123378,123378,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,123378,123378,0,0,1,1,0,0,0,0,0,0,
"6sense Insights, Inc.",,https://6sense.com,privacy@6sense.com,(415) 212-9225,"201 3rd Street, Suite 910",San Francisco,California,94103,UNITED STATES,https://6sense.com/privacy-policy/; https://6sense.com/privacy-center/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,1849,1845,0,4,7,1,128,127,0,1,8,6,11,11,0,0,17,18,528,527,0,1,1,1,0,0,0,0,0,0,
A Direct Marketing Inc,Bookyourdata,https://www.bookyourdata.com,mark@bookyourdata.com,3479012977,1007 N Orange St. 4th Floor  Suite #948,Wilmington,Delaware,19801,UNITED STATES,https://www.bookyourdata.com,No,No,No,No,No,No,No,No,No,No,No,We don't provide consumer data,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,3898,3898,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Above Data, Inc.",Above Data,abovedata.io,privacy@abovedata.io,9372433708,655 Irwin Street Suite B #1038,San Rafael,California,94901,UNITED STATES,https://www.abovedata.io/opt-out/; https://www.abovedata.io/privacy-policy/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,83,83,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,15,24,70,70,0,0,24,15,
"Accudata Integrated Marketing, LLC",,https://www.acculeads.com; https://deepsync.com,legal@deepsync.com,8889707248,"6720 108th Avenue NE, Suite 200",Kirkland,Washington,98033-7050,UNITED STATES,https://deepsync.com/accudata/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,279,279,0,0,1,1,30,5,0,25,1,4,30,5,0,25,1,4,267871,260915,0,6956,1,1,268150,261194,0,6956,1,1,
Accurate Append Inc.,,www.accurateappend.com,shawn@accurateappend.com,833-663-4646,"1100 Bellevue Way, Suite 886",Bellevue,WA,98004,UNITED STATES,https://accurateappend.com/privacy-policy/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,53223,53223,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53223,53223,0,0,1,1,0,0,0,0,0,0,
"ACH, Address Clearing House",,achcoop.com,privacy@achcoop.com,3024800432,16192 Coastal Highway,Lewes,DE,19958,UNITED STATES,https://www.achcoop.com/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,254237,254104,0,133,21,10,19,19,0,0,21,10,19,19,0,0,10,21,254237,254104,133,0,21,10,0,0,0,0,10,21,
Acronymix LLC,,acronymix.com,privacy@acronymix.com,7542461134,1333 S OCEAN BLVD #321,Pompano Beach,Florida,33062,UNITED STATES,Acronymix.com,No,No,No,No,No,No,No,No,Yes,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ActivImpact, LLC",ActivImpact,activimpact.ai,privacy@activimpact.ai,8582982268,6543 S. Las Vegas Blvd. 2nd Floor,Las Vegas,NV,89119,UNITED STATES,https://activimpact.ai/privacy-policy,No,No,No,No,No,No,No,No,No,No,No,ActivImpact did not collect any data other than from its business customers.,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acxiom LLC,,www.acxiom.com,askprivacy@acxiom.com,5013421000,301 E Dave Ward Drive,Conway,AR,72032,UNITED STATES,www.acxiom.com/privacy,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,,No,Yes,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,58416,57498,0,918,15,5,324,177,0,147,11,9,324,177,0,147,11,9,56264,56264,0,0,7,4,462,461,0,1,1,1,"Collection of Minor Data Clarification: Acxiom does not sell personal information about consumers younger than 18 for the purpose of marketing or advertising directly to the minor.  Acxiom does use personal information from minors younger than 18 to suppress matching records from marketing lists. 

Collection of Gender Identity/Gender Expression Data Clarification:  Acxiom does not collect, sell or share, gender identity or gender expression data.  However, Acxiom does collect and license male and female gender information. 

Request to Know Reports for Data Collected and Data Sold or Shared Clarification: Acxiom provides both data collected and data sold/shared reports in response to any valid Request to Know within a combined report.  Therefore, we have reported the identical counts for each Request to Know category. 
Regulatory Obligations Clarification:  With respect to whether Acxiom is subject to certain regulations, while Acxiom does not collect or sell personal information that is subject to the FCRA, GLBA, IIPPA or the CMA, Acxiom’s data processing and management services provided to clients in the insurance and financial services industries trigger certain FCRA and GLBA, IIPPA and CMA regulations applicable to Acxiom’s processing of personal information as a service provider."
"Addapptation, Inc.",Propensity,https://www.propensity.com,infosec@propensity.com,6033039260,"19 Hampton Road, Suite 6",Exeter,NH,03833,UNITED STATES,https://www.propensity.com/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,2,2,0,0,1,1,6,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AdeptID, Inc.",,www.adept-id.com,privacy@adept-id.com,508-377-3103,"184 High St, Suite 602",Boston,MA,02110,UNITED STATES,https://www.adept-id.com/opt-out-preferences/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adprime Media LLC,Adprime,https://www.adprime.com,privacy@adprime.com,2124408200,1 World Trade Center,New York,New York,10007,UNITED STATES,https://www.adprime.com/privacy-policy,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adsquare GmbH,,www.adsquare.com,privacy@adsquare.com,3020 8498140,Saarbruecker str. 36,Berlin,Berlin,10405,GERMANY,https://adsquare.com/,No,No,No,No,No,No,No,No,Yes,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,1266,1266,0,0,8,8,5,5,0,0,8,8,5,5,0,0,8,8,1859,1859,0,0,8,8,0,0,0,0,0,0,
Adstra LLC,,www.adstradata.com,privacy.officer@adstradata.com,609-580-2800,7 Witherspoon Street,Princeton,NJ,08542,UNITED STATES,https://www.adstradata.com/privacy-policy/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,2583,490,408,1685,5,4,35,20,9,6,7,2,35,20,9,6,2,7,150153,43673,0,106480,2,1,0,0,0,0,0,0,
"AdsWizz, Inc.",,www.adswizz.com,privacy@adswizz.com,9722078242,2100 Franklin St.,Oakland,CA,94612,UNITED STATES,www.adswizz.com,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adttribution Inc,Adttribution,www.adttribution.com,ollie@adttribution.com,07833225062,16192 Coastal Highway,Lewes,Delaware,19958,UNITED STATES,https://adttribution.com/privacy-policy.php,No,No,No,No,No,No,No,No,Yes,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AdvisorTarget, LLC",FinSum,www.finsum.com,privacy@broadridge.com,4122016000,"Two Chatham Center, 112 Washington Pl.",Pittsburgh,PA,15219,UNITED STATES,https://www.finsum.com/what-we-do/your-privacy-choices,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Affinity Answers Corporation,,affinityanswers.com,dataprivacy@affinityanswers.com,5122228582,"12708 Riata Vista Circle, Suite A113",Austin,TX,78727,UNITED STATES,https://www.affinityanswers.com/your-privacy-choices/,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,,,,No,,,,No,,,,No,,,,No,,,,27278,16966,0,10312,9,8,17,6,0,11,13,12,17,6,0,11,13,12,27278,16966,0,10312,9,8,0,0,0,0,0,0,
