Data Element Name,Preferred Physical Name,Subject Category Code,Description Text,Data Type Code,Maximum Length,Precision Number,Pattern Text,Unit of Measure,Value Domain,Business Owner Name,Data Asset Abbreviation,Data Asset Name,System Number
Subrecipient Name,SUBRECIPIENT_NAME,Reference,"Legal Business Name of the project recipient's sub-organization. Required when Subrecipient Project field is a Yes. Notes the Name of the Subrecipient (defined in 2 CFR 200.1) in the UEI/Sam Database. NOTE: State DOT’s and Divisions will need to validate the UEI/Sam database to identify the appropriate entity for use in the Subrecipient fields. Once identified, the State DOT or Division Office will need to send this information to the HCFB_SystemsTeam@dot.gov to have the organization validated and loaded into FMIS for use.",Character,200,0,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,Single System
Subrecipient Project,SUBRECIPIENT_PROJECT,Reference,Project associated with Subrecipient (defined in 2 CFR 200.1). Required only for State DOT project submissions. To be used to identify projects that will be administered by a subrecipient.,Yes/No indicating if project is associated with Subrecipient,1,0,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,Single System
Subrecipient UEI/SAM,SUBRECIPIENT_UEI,Reference,"Unique Entity Identifier for the sub-organization of the project recipient. Required when Subrecipient Project field is a Yes. Notes the UEI/Sam Number associated with the Subrecipient (defined in 2 CFR 200.1). NOTE: State DOT’s and Divisions will need to validate the UEI/Sam database to identify the appropriate entity for use in the Subrecipient fields. Once identified, the State DOT or Division Office will need to send this information to the HCFB_SystemsTeam@dot.gov to have the organization validated and loaded into FMIS for use.",Integer,12,0,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,Single System
F12,F12,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F13,F13,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F14,F14,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F16,F16,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F17,F17,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F19,F19,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F2,F2,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F3,F3,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F6,F6,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F7,F7,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F8,F8,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
F9,F9,,,Decimal,,6,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Job_Detail,Job_Detail,,,xml,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Job_End,Job_End,,,Date,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Job_ID,Job_ID,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Job_Notes,Job_Notes,,,Character,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Job_Status,Job_Status,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
JobId,JobId,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
OFFICE_PHONE,OFFICE_PHONE,,,Character,20,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
OFFICE_STATE,OFFICE_STATE,,,Character,2,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
OFFICE_STREET1,OFFICE_STREET1,,,Character,50,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
OFFICE_STREET2,OFFICE_STREET2,,,Character,50,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
100 Gram Load Shear Rate,LOAD_100_SHEAR_RATE,,Shear rate with a 100 gram load.,Decimal,4,3,,1/s,0.001 - 0.1,HRDI,LTPP,Long-Term Pavement Performance,Single System
100 Gram Load Viscosity,LOAD_100_VISCOSITY,,Viscosity of the asphalt with a 100 gram load.,Decimal,7,3,,Megapoise,0 - 9999,HRDI,LTPP,Long-Term Pavement Performance,Single System
1000 Gram Load Shear Rate,LOAD_1000_SHEAR_RATE,,Shear rate with a 1000 gram load.,Decimal,4,3,,1/s,0.001 - 0.1,HRDI,LTPP,Long-Term Pavement Performance,Single System
1000 Gram Load Viscosity,LOAD_1000_VISCOSITY,,Viscosity of the asphalt with a 1000 gram load.,Decimal,7,3,,Megapoise,0 - 9999,HRDI,LTPP,Long-Term Pavement Performance,Single System
10000 Gram Load Shear Rate,LOAD_10000_SHEAR_RATE,,Shear rate with a 10000 gram load.,Decimal,4,3,,1/s,,HRDI,LTPP,Long-Term Pavement Performance,Single System
10000 Gram Load Viscosity,LOAD_10000_VISCOSITY,,Viscosity of the asphalt with a 10000 gram load.,Decimal,7,3,,Megapoise,,HRDI,LTPP,Long-Term Pavement Performance,Single System
102 Expenditures,EXPEND_102_AMT,,"Right of Way Revolving Fund expenditures (Program Code 1020), posted to FMIS via interface from Departmental accounting system.",Money,15,2,,,,HCF,FMIS 4.0,FMIS 4.0,Single System
2014 HPMS AC Cracking Length,HPMS14_CRACKING_LENGTH_AC,,Length of transverse cracking per unit length using 2014 HPMS Field Guide  definitions. Includes only transverse cracks at least 6 feet long.,Integer,5,0,,ft/mi,,HRDI,LTPP,Long-Term Pavement Performance,Single System
2014 HPMS AC Cracking Percentage,HPMS14_CRACKING_PERCENT_AC,,Percent of section cracked using 2014 HPMS Field Guide  definitions. Includes only longitudinal and fatigue cracking in assumed 0.67m wide wheelpaths.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
2014 HPMS JPCC Cracking Percentage,HPMS14_CRACKING_PERCENT_JPCC,,Percent of section cracked using 2014 HPMS definitions. Includes longitudinal and transverse cracking at least 1.83m long.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
2016 HPMS AC Cracking Percentage,HPMS16_CRACKING_PERCENT_AC,,Percent of section cracked using 2016 HPMS Field Guide  definitions. Includes only longitudinal and fatigue cracking in assumed 1m wide wheelpaths.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
2016 HPMS JPCC Cracking Percentage,HPMS16_CRACKING_PERCENT_JPCC,,Percent of section cracked using 2016 HPMS definitions. Includes longitudinal and transverse cracking at least half slab width in length.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
24 Hour Count Adjustment Factor,FACTOR_24_HR_COUNT,,Adjustment factor for 24 hour count.,Decimal,5,4,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
300 Gram Load Shear Rate,LOAD_300_SHEAR_RATE,,Shear rate with a 300 gram load.,Decimal,4,3,,1/s,0.001 - 0.1,HRDI,LTPP,Long-Term Pavement Performance,Single System
300 Gram Load Viscosity,LOAD_300_VISCOSITY,,Viscosity of the asphalt with a 300 gram load.,Decimal,7,3,,Megapoise,0 - 9999,HRDI,LTPP,Long-Term Pavement Performance,Single System
3000 Gram Load Shear Rate,LOAD_3000_SHEAR_RATE,,Shear rate with a 3000 gram load.,Decimal,4,3,,1/s,0.001 - 0.1,HRDI,LTPP,Long-Term Pavement Performance,Single System
3000 Gram Load Viscosity,LOAD_3000_VISCOSITY,,Viscosity of the asphalt with a 3000 gram load.,Decimal,7,3,,Megapoise,0 - 9999,HRDI,LTPP,Long-Term Pavement Performance,Single System
4-Card Interpretation Code,CARD4INFO,,Indicates to the software how to process data after column 51 on the 4-Card input record.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
95 Percent Maximum Dry Density,MAX_DRY_DENSITY_95,,Value of 95% maximum dry density of the soil.,Decimal,5,1,,kilograms per cubic meter,800 - 3200 with condition on non-null fields,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT - LTPP,AADT,,Annual average daily traffic for road.,Integer,6,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT All Vehicles,AADT_ALL_VEHIC,,Estimated annual average daily traffic for the LTPP lane.,Integer,8,0,,,"NULL, > 0",HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT All Vehicles 2-way,AADT_ALL_VEHIC_2WAY,,"Estimated annual average daily traffic in all lanes, two-way.",Integer,8,0,,,"NULL, > 0",HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT Combination Trucks 2-way,AADT_TRUCK_COMBO_2WAY,,"Estimated annual average daily traffic number of trucks in all lanes, two-way.",Integer,8,0,,,"NULL, > 0",HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT Combination Trucks LTPP Lane,AADT_TRUCK_COMBO,,Estimated annual average daily number of trucks in the LTPP lane.,Integer,8,0,,,> 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT Percent in LTPP Lane Direction,DIST_AADT_LTPP_DIR,,Percentage of AADT in the LTPP direction,Decimal,3,1,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT_PCT_LTPP_DIRECTION,AADT_PCT_LTPP_DIRECTION,,Percent of AADT flowing in the same direction as the flow of traffic in the LTPP lane.,Decimal,4,1,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT_PCT_LTPP_LANE,AADT_PCT_LTPP_LANE,,Percent of AADT flowing in the LTPP lane.,Decimal,3,1,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT_PCT_NON_LTPP_DIRECTION,AADT_PCT_NON_LTPP_DIRECTION,,Percent of AADT flowing in the direction opposite the flow of traffic in the LTPP lane.,Decimal,3,1,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AADT_RDWAY,AADT_RDWAY,,Annual average daily traffic (AADT) for the entire roadway.,Integer,6,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
AASHTO Soil Classification,AASHTO_SOIL_CLASS,,AASHTO soil classification for subgrade material.,Character,200,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absolute Viscosity 140 F,ABSOLUTE_VISC_140_F,,Absolute viscosity at 140 degrees F.,Integer,7,0,,poise,500 - 5800000,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absolute Viscosity Calibration Factor,ABSOLUTE_VISC_CALIB_FACTOR,,Absolute viscosity calibration factor.,Decimal,6,1,,poise/s,0 - 12000,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absolute Viscosity Flow Time,ABSOLUTE_VISC_FLOW_TIME,,Absolute viscosity flow time.,Decimal,5,1,,sec,50 - 5400,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absolute Viscosity Vacuum Pressure,ABSOLUTE_VISC_VACUUM_PRESSURE,,Absolute viscosity vacuum pressure.,Decimal,4,1,,in of Hg,12-Nov,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absorption,ABSORPTION,,Percent absorption of the sample.,Decimal,3,2,,%,0 - 8,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absorption of Coarse Aggregate,ABSORPTION_OF_COARSE_AGG,,Percent absorption of the coarse aggregate.,Decimal,3,1,,%,0 - 10,HRDI,LTPP,Long-Term Pavement Performance,Single System
Absorption of Fine Aggregate,ABSORPTION_OF_FINE_AGG,,Percent absorption of the fine aggregate.,Decimal,3,1,,%,0 - 10,HRDI,LTPP,Long-Term Pavement Performance,Single System
AC Conv Amount,ACConvAmount,,The amount of  Advance Construction funds that has been converted to Federal Funds,Money,18,2,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,Single System
Longitude - NBI,LONG_017,Bridge,Longitude expressed in DMS,Character,9,,,,,HIF,NBI,National Bridge Inventory System,
AC Funds,ACFunds,,The amount of Advance Construction funds used on this detail item.,Money,18,2,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,Single System
AC_PC_NO,AC_PC_NO,,Number of AC & PC layers and partial base replacement.,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Accept Check,ACCEPT_CHECK,,"Field which delineates whether a sample was an ""acceptance"" (A) or a ""check"" (C) sample.",Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Access Control,Access_Control,System,The degree of access control for a given section of road.,Integer,1,0,"""9""",Not applicable,"1 - Full Access Control
2 - Partial Access Control
3 - No Access Control",HPPI,HPMS,Highway Performance Monitoring System,Single System
Access Control - LTPP,ACCESS_CONTROL,,Indicates whether access is controlled.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Active Arms,ACTIVE_ARMS,,The number of active arms in the configuration of the strain gauge bridge circuit.,Integer,1,0,,,4-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
