"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status"
"566","12/20/1966","15:30:01",37.3021667,-116.4083333,"Nuclear Explosion",1.2,31.61,16,5.62,"ML",0.245,10,261,1.476,99,0.86,"CI3329931","CI","CI","CI","Reviewed"
"898","04/26/1968","15:00:02",37.2953333,-116.4556667,"Nuclear Explosion",1.2,31.61,17,5.63,"ML",0.125,6,261,1.438,99,1.03,"CI3342128","CI","CI","CI","Reviewed"
"1130","12/19/1968","16:30:01",37.2315,-116.4736667,"Nuclear Explosion",1.4,31.61,16,5.52,"ML",0.219,6,257,1.415,99,1.36,"CI3342181","CI","CI","CI","Reviewed"
"1381","09/16/1969","14:30:01",37.3141667,-116.4606667,"Nuclear Explosion",1.2,31.61,13,5.82,"ML",0.187,8,268,1.437,99,0.33,"CI3326197","CI","CI","CI","Reviewed"
"1533","03/26/1970","19:00:01",37.3005,-116.5341667,"Nuclear Explosion",1.2,31.61,16,5.54,"ML",0.41,10,260,1.377,99,0.35,"CI3325031","CI","CI","CI","Reviewed"
"2724","06/06/1973","13:00:01",37.245,-116.346,"Nuclear Explosion",1.1,31.61,17,5.64,"ML",0.155,8,259,1.517,99,0.55,"CI3319623","CI","CI","CI","Reviewed"
"3308","11/22/1974","16:25:34",30.25,-114.8,"Earthquake",6,31.61,20,5.55,"ML",0.055,4,312,2.641,99,3.22,"CI3319062","CI","CI","CI","Reviewed"
"3517","06/26/1975","12:30:01",37.2788333,-116.3686667,"Nuclear Explosion",6,31.61,19,5.52,"ML",0.341,13,260,1.504,99,3.44,"CI12328563","CI","CI","CI","Reviewed"
"3674","10/28/1975","14:30:00",37.2901667,-116.4115,"Nuclear Explosion",1.3,31.61,19,5.67,"ML",0.302,8,260,1.472,99,2.75,"CI3006257","CI","CI","CI","Reviewed"
"3755","01/03/1976","19:15:01",37.2965,-116.3331667,"Nuclear Explosion",1.5,31.61,20,5.84,"ML",0.123,8,261,1.534,99,0.44,"CI3001652","CI","CI","CI","Reviewed"
"5524","05/18/1980","15:32:11",46.2073333,-122.188,"Earthquake",1.51,0.56,18,5.7,"MD",0.08,1,62,0.008296,0.682,0.22,"UW10084803","UW","UW","UW","Reviewed"
"5632","09/07/1980","04:36:38",38.1383333,-118.3913333,"Earthquake",6,31.61,5,5.52,"ML",0.206,12,333,1.09,8.02,0.33,"CI9735242","CI","CI","CI","Reviewed"
"18877","02/21/2008","14:16:03",41.1444,-114.8721,"Earthquake",7.9,1.9,18,6.2,"ML",0.15,4,95.21,0.318,1.61,0.1855,"NN00234425","NN","NN","NN","Reviewed"
"22239","05/28/2014","21:15:07",18.045,-68.3509,"Earthquake",90,2,31,5.8,"ML",0,12,262.8,0.46712395,2.9,0.41,"PR14148004","PR","PR","PR","Reviewed"
