Date Received,Request Number,Requester Category,Request Description
23-Jun-25,OIR-FOI-2025-0088,Other,"The recorded bilingual announcements used in the lifts in Kildare House, preferably in mp3 or wav formats.  Including but not limited to: - Floor announcements (ground floor, first floor etc) - Direction announcements (going up/down)  And any other special announcements included on the lifts."
20-Jun-25,OIR-FOI-2025-0087,Other,"I wish to request access to any record which shows the number of diplomatic passports which were not returned by TDs and Senators who retired or were not re-elected at the last general elections.  I am seeking any single record, or the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records."
20-Jun-25,OIR-FOI-2025-0086,Other,"I wish to request access to any record which shows the number of diplomatic passports sought by TDs and Senators since 1 November, 2024.  I am seeking any single record, or the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records."
20-Jun-25,OIR-FOI-2025-0085,Other,"any record which shows the budget set aside in your FOI body for the EU presidency in 2025 or 2026, and any record which shows staffing implications in 2025 and 2026 arising from the Irish EU Presidency"
20-Jun-25,OIR-FOI-2025-0084,Other,I wish to request access to any record which show total expenditure in your FOI body in 2025 on provision of free period products.
20-Jun-25,OIR-FOI-2025-0083,Other,"a copy of the most recent internal circular issued to all staff in the Oireachtas Service regarding financial controls and approval of invoices.  I am seeking the most recent complete statement of policy, but please also include any minor updates that may have been issued since the last complete revision / update."
20-Jun-25,OIR-FOI-2025-0082,Other,"a list of all TV channels (e.g. Dail, Seanad and committee channels, RTE1, Virgin Media 3, Sky News, BBC 1) which are relayed on the internal TV system in Leinster House, a copy of the most recent invoice for premium rate tv services at each location within the Oireachtas Commission's campus where these are provided, and a copy of the certification that this invoice was (or these invoices were) ""in order for payment"", or any record(s) of similar effect."
20-Jun-25,OIR-FOI-2025-0081,Other,"1. any business case drafted or considered (this will include business cases drafted but never submitted, and also any which were submitted but were not approved) in your FOI body in 2024 or in 2025 for the purchase of cameras or photography equipment which costs more than EUR500 (excluding VAT),  2. any invoices for cameras or photography equipment purchased in 2024 or 2025 with an invoice value exceeding EUR500 (excluding VAT) or rented in the same period with an invoice value exceeding EUR200.  I am seeking all such records which were created in 2024 or 2025. In the Oireachtas, this request excludes all equipment purchased in or used by the Broadcasting Unit."
18-Jun-25,OIR-FOI-2025-0079,Journalist,any correspondence to the Oireachtas since November 2024 outlining requests from TDs or Senators for security measures or applications for a vouched allowanceas part of the personal security allowance
16-Jun-25,OIR-FOI-2025-0078,Journalist,"- Details of all bilateral trips hosted by the Oireachtas for the period 1 Jan 2024 to date. To include a list of those who travelled, the itinerary for the trip and copies of all receipts associated with the travel: airlines, hotels, gifts, entertainment"
