Card Transactions - April 2024,,,,,,,
Service Area,Transaction Date,Merchant Name,Net Amount (£),VAT Amount (£),Gross Amount (£), Description of Goods , Merchant Category 
CUSTOMER & DIGITAL SERVICES,03/04/24,AMAZON  026-6191431-27,£63.32,£12.66,£75.98,HOT WATER DISPENSERS,MISCELLANEOUS GENERAL MERCHANDISE
CUSTOMER & DIGITAL SERVICES,09/04/24,MICROSOFT G044576781,£51.58,£10.32,£61.90,MICROSOFT AUTOMATION,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE"
CUSTOMER & DIGITAL SERVICES,09/04/24,AMAZON  204-7438046-24,£4.41,£0.88,£5.29,DRAWING PUSH PINS FOR A DISPLAY BOARD,MISCELLANEOUS GENERAL MERCHANDISE
CUSTOMER & DIGITAL SERVICES,11/04/24,AMAZON  204-6530363-17,£199.17,£39.83,£239.00,DISPLAY BOARD FOR PUMP ROOMS,MISCELLANEOUS GENERAL MERCHANDISE
CUSTOMER & DIGITAL SERVICES,12/04/24,AMAZON  204-1545750-66,£19.56,£0.00,£19.56,BOOK FOR APPRENTICESHIP,MISCELLANEOUS GENERAL MERCHANDISE
CUSTOMER & DIGITAL SERVICES,19/04/24,AMAZON  204-6314848-98,£42.75,£0.00,£42.75,BOOK FOR APPRENTICESHIP,MISCELLANEOUS GENERAL MERCHANDISE
CUSTOMER & DIGITAL SERVICES,31/03/24,IWMENTOR.COM,£40.83,£0.00,£40.83,ONLINE SHAREPOINT TRAINING,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
CUSTOMER & DIGITAL SERVICES,08/04/24,XEXOS,£402.30,£80.46,£482.76,HEADSETS,COMPUTER SOFTWARE STORES
CUSTOMER & DIGITAL SERVICES,09/04/24,KENABLE.CO.UK,£13.81,£2.76,£16.57,POWER LEADS,ELECTRONIC SALES
CUSTOMER & DIGITAL SERVICES,12/04/24,AUTODESK IRELAND OPERA,£385.00,£77.00,£462.00,SOFTWARE SUBSCRIPTION RENEWAL,COMPUTER SOFTWARE STORES
CUSTOMER & DIGITAL SERVICES,19/04/24,CARTRIDGE SAVE,£58.18,£11.64,£69.82,TONER CARTS,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.
CUSTOMER & DIGITAL SERVICES,02/04/24,AMZNBUSINESS H97H92WU4,£6.00,£1.20,£7.20,MOUSE,MISCELLANEOUS AND SPECIALTY RETAIL STORES
CUSTOMER & DIGITAL SERVICES,24/04/24,AMAZON  204-7206281-49,£7.82,£1.56,£9.38,BUBBLE WRAP FOR PACKAGING,MISCELLANEOUS GENERAL MERCHANDISE
FINANCE,30/03/24,WWW.ACCOUNTS@IIA.ORG.U,£639.00,£127.80,£766.80,DELEGATE PLACE FOR IIA CONFERENCE 2024,"ACCOUNTING, AUDITING AND BOOKKEEPING SERVICES"
FINANCE,12/04/24,TRAINLINE,£5.90,£0.00,£5.90,TRAIN TICKET FOR ACCOUNTANCY COURSE,PASSENGER RAILWAYS
GOVERNANCE,18/04/24,AMAZON  026-1431978-62,£39.96,£8.01,£47.97,LANYARDS FOR POLLING STATION STAFF,MISCELLANEOUS GENERAL MERCHANDISE
GOVERNANCE,21/04/24,AMAZON  026-5778590-31,£7.07,£1.41,£8.48,MOBILE PHONE CASE,MISCELLANEOUS GENERAL MERCHANDISE
GOVERNANCE,02/04/24,ROYAL MAIL ONLINE SHOP,£125.00,£0.00,£125.00,AIRMAIL STAMPS,POSTAL SERVICES-GOVERNMENT ONLY
GOVERNANCE,07/04/24,AMAZON  026-2919407-60,£15.64,£3.14,£18.78,PENCIL GRIPS,MISCELLANEOUS GENERAL MERCHANDISE
GOVERNANCE,09/04/24,AMAZON  205-7239823-83,£8.90,£2.00,£10.90,MIRRORS,MISCELLANEOUS GENERAL MERCHANDISE
GOVERNANCE,24/04/24,BIG FRANKS CYCLE HIRE,£51.50,£0.00,£51.50,TEAM BUILDING EVENT,"SECOND HAND STORES, USED MERCHANDISE STORES"
HOUSING,08/04/24,MOJ OSPT ECOM,£40.00,£0.00,£40.00,PUBLIC TRUSTEE PAYMENT,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,08/04/24,MOJ OSPT ECOM,£40.00,£0.00,£40.00,PUBLIC TRUSTEE PAYMENT,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,11/04/24,TOOLSTATION UK,£26.63,£5.33,£31.96,LOCKS,HARDWARE STORES
HOUSING,19/04/24,SCREWFIX DIRECT,£9.16,£1.83,£10.99,AAA BATTERIES,"BUILDING MATERIALS, LUMBER STORES"
