title,id,creation,activity,status
SRE: Atomic Grouping (?>...) is not supported,433030,2001-06-14.08:30:56,2022-04-10.16:04:07,1
locale.resetlocale is broken,504219,2002-01-16.04:56:12,2022-04-10.16:04:52,1
Tkinter lock conflicts extension widgets,539907,2002-04-05.18:13:48,2022-04-10.16:05:11,1
LookupError etc. need API to get the key,614557,2002-09-25.18:17:08,2022-04-10.16:05:42,1
Support RFC 2392 in email package,626452,2002-10-21.18:00:49,2022-04-10.16:05:46,1
RFC 2387 (multipart/related) in email package,634412,2002-11-06.13:14:41,2022-04-10.16:05:49,1
Tkinter sliently discards all backgrond Tcl errors,639266,2002-11-16.07:35:48,2022-04-10.16:05:54,1
xmlrpc can't do proxied HTTP,648658,2002-12-04.22:04:35,2022-04-10.16:05:57,1
Assignment to __bases__ of direct object subclasses,672115,2003-01-21.22:45:40,2022-04-10.16:06:10,1
test_resource fails when file size is limited,678264,2003-01-31.18:06:24,2022-04-10.16:06:23,1
IDLE: Dedenting with Shift+Tab,694339,2003-02-27.13:08:54,2022-04-10.16:07:11,1
Add documentation about line endings in email messages.,724459,2003-04-20.02:38:38,2022-04-10.16:08:14,1
Make Tkinter.py's nametowidget work with cloned menu widgets,734176,2003-05-07.20:11:52,2022-04-10.16:08:38,1
API enhancement: poplib.MailReader(),740495,2003-05-20.14:35:26,2022-04-10.16:08:50,1
isinstance and weakref proxies.,749722,2003-06-05.18:51:49,2022-04-10.16:09:02,1
fix one or two bugs in trace.py,766910,2003-07-07.01:46:30,2022-04-10.16:09:46,1
email.Message param parsing problem II,795081,2003-08-26.03:37:10,2022-04-10.16:10:50,1
ftplib: Strict RFC 959 (telnet in command channel),821862,2003-10-11.18:04:55,2022-04-10.16:11:41,1
Enhance frame handing in warnings.warn(),850482,2003-11-27.23:12:08,2022-04-11.14:56:01,1
Machine integers,887237,2004-01-29.20:34:30,2022-04-11.14:56:02,1
pyconfig.h is not placed in --includedir,896330,2004-02-13.08:24:58,2022-04-11.14:56:02,1
imaplib: incorrect quoting in commands,917120,2004-03-16.06:36:58,2022-04-11.14:56:03,1
SAX2 'property_encoding' feature not supported,923697,2004-03-26.06:39:58,2022-04-11.14:56:03,1
pkgutil doesn't understand case-senseless filesystems,935117,2004-04-14.18:35:19,2022-04-11.14:56:03,1
error flattening complex smime signed message,968430,2004-06-07.20:34:58,2022-04-11.14:56:04,1
Inconsistent newline handling in email module,975330,2004-06-18.12:50:50,2022-04-11.14:56:04,1
wait_variable hangs at exit,978604,2004-06-23.23:07:12,2022-04-11.14:56:05,1
Improve HTML documentation of a directory,979658,2004-06-25.11:29:28,2022-04-11.14:56:05,1
curses for win32,1005895,2004-08-09.11:05:57,2022-04-11.14:56:06,1
PyThreadState_Next not thread safe,1021318,2004-09-02.16:56:47,2022-04-11.14:56:06,1
email.Utils.parseaddr fails to parse valid addresses,1025395,2004-09-09.20:43:42,2022-04-11.14:56:06,1
External storage protocol for large email messages,1043706,2004-10-09.20:34:27,2022-04-11.14:56:07,1
Pickle breakage with reduction of recursive structures,1062277,2004-11-08.08:06:54,2022-04-11.14:56:08,1
exceeding obscure weakproxy bug,1075356,2004-11-29.16:10:35,2022-04-11.14:56:08,1
Single-line option to pygettext.py,1098749,2005-01-09.03:01:53,2022-04-11.14:56:09,1
Add datetime.time.strptime and datetime.date.strptime,1100942,2005-01-12.14:53:01,2022-04-11.14:56:09,1
Adding a recvexactly() to socket.socket: receive exactly n bytes,1103213,2005-01-16.04:02:31,2022-04-11.14:56:09,1
send/recv SEGMENT_SIZE should be used more in socketmodule,1103350,2005-01-16.15:01:11,2022-04-11.14:56:09,1
Prefix search is filesystem-centric,1116520,2005-02-04.22:16:00,2022-04-11.14:56:09,1
Handle corrupted gzip files with unexpected EOF,1159051,2005-03-08.13:57:41,2022-04-11.14:56:10,1
Export more libreadline API functions,1175004,2005-04-01.19:30:23,2022-04-11.14:56:10,1
expanding platform module and making it work as it should,1180267,2005-04-10.16:44:28,2022-04-11.14:56:10,1
making builtin exceptions more informative,1182143,2005-04-13.11:02:55,2022-04-11.14:56:10,1
pydoc doesn't find all module doc strings,1185124,2005-04-18.12:18:39,2022-04-11.14:56:10,1
installer ignores changed installation directory,1207466,2005-05-24.02:21:55,2022-04-11.14:56:11,1
Idle Editor: Bottom Scroll Bar,1207613,2005-05-24.09:08:33,2022-04-11.14:56:11,1
expat binding for XML_ParserReset,1208730,2005-05-25.20:37:55,2022-04-11.14:56:11,1
doc: subprocess: inheritance of std descriptors inconsistent,1227748,2005-06-26.13:37:33,2022-04-11.14:56:11,1
"filecmp.cmp's ""shallow"" option",1234674,2005-07-08.09:01:20,2022-04-11.14:56:12,1
Big speedup in email message parsing,1243730,2005-07-23.22:07:37,2022-04-11.14:56:12,1
Encodings and aliases do not match runtime,1249749,2005-08-01.18:23:30,2022-04-11.14:56:12,1
Simplying Tkinter's event loop,1252236,2005-08-04.21:51:48,2022-04-11.14:56:12,1
"Allow to restrict ModuleFinder to get ""direct"" dependencies",1284670,2005-09-08.09:28:31,2022-04-11.14:56:12,1
pygettext: extract translators comments,1288056,2005-09-11.22:05:19,2022-04-11.14:56:13,1
sysmodule.c: realpath() is unsafe,1298813,2005-09-22.14:54:06,2022-04-11.14:56:13,1
Add a vendor-packages directory for system-supplied modules,1298835,2005-09-22.15:12:42,2022-04-11.14:56:13,1
httplib simply ignores CONTINUE,1346874,2005-11-03.12:23:56,2022-04-11.14:56:13,1
python.desktop,1353344,2005-11-10.18:22:43,2022-04-11.14:56:14,1
SRE engine should release the GIL when/if possible,1366311,2005-11-25.13:57:15,2022-04-11.14:56:14,1
"http.cookies, Cookie.py: Improper handling of duplicate cookies",1375011,2005-12-07.03:50:53,2022-04-11.14:56:14,1
[doc] timeit execution enviroment,1397474,2006-01-05.03:50:10,2022-04-11.14:56:14,1
"Example in section 5.3 ""Pure Embedding"" doesn't work.",1398781,2006-01-06.19:23:52,2022-04-11.14:56:14,1
Add 'surgical editing' to ConfigParser,1410680,2006-01-20.11:12:46,2022-04-11.14:56:15,1
allow unicode arguments for robotparser.can_fetch,1437699,2006-02-23.21:07:54,2022-04-11.14:56:15,1
shutil.move raises OSError when copystat fails,1438480,2006-02-25.05:26:29,2022-04-11.14:56:15,1
Patch for bug  1438185: os.renames deletes junction points,1439312,2006-02-26.23:21:13,2022-04-11.14:56:15,1
IDLE shell window gets very slow when displaying long lines,1442493,2006-03-03.14:45:24,2022-04-11.14:56:15,1
email/charset.py convert() patch,1443875,2006-03-06.04:41:30,2022-04-11.14:56:15,1
install fails on hard link,1445781,2006-03-08.17:06:40,2022-04-11.14:56:15,1
addheaders for urlopen / open / xxxx_open,1453973,2006-03-19.18:55:38,2022-04-11.14:56:16,1
"patch smtplib:when SMTPDataError, rset crashes with sslerror",1481032,2006-05-03.11:59:13,2022-04-11.14:56:17,1
Wave.py support for ulaw and alaw audio,1483545,2006-05-07.23:23:39,2022-04-11.14:56:17,1
urllib.retrieve's reporthook called with non-helpful value,1490929,2006-05-18.13:22:13,2022-04-11.14:56:17,1
Alternate RFC 3986 compliant URI parsing module,1500504,2006-06-04.14:50:18,2022-04-11.14:56:17,1
wm_attributes doesn't take keyword arguments,1500773,2006-06-05.06:35:26,2022-04-11.14:56:17,1
transparent gzip compression in urllib,1508475,2006-06-19.08:59:09,2022-04-11.14:56:18,1
Interrupt/kill threads w/exception,1509060,2006-06-20.04:30:39,2022-04-11.14:56:18,1
Allow passing DocTestRunner and DocTestCase in doctest,1521051,2006-07-12.08:47:04,2022-04-11.14:56:18,1
irda socket support,1522400,2006-07-14.08:19:28,2022-04-11.14:56:18,1
Fix Tkinter Tcl-commands memory-leaks,1524639,2006-07-18.16:00:51,2022-04-11.14:56:18,1
Tkdnd mouse cursor handling patch,1525806,2006-07-20.10:28:26,2022-04-11.14:56:19,1
email package content-transfer-encoding behaviour changed,1525919,2006-07-20.14:22:21,2022-04-11.14:56:19,1
New sequences for Unicode groups and block ranges needed,1528154,2006-07-25.04:44:06,2022-04-11.14:56:19,1
Printing: No print dialog or page setup,1528593,2006-07-25.19:49:23,2022-04-11.14:56:19,1
warnings in interactive sessions,1539925,2006-08-14.11:03:41,2022-04-11.14:56:19,1
Add traceback.print_full_exception(),1553375,2006-09-06.12:48:54,2022-04-11.14:56:20,1
"RFC 2965 BaseCookie does not support ""$Port""",1564508,2006-09-24.13:05:52,2022-04-11.14:56:20,1
Bad behaviour in <ossaudio audio device>.obuf*,1566331,2006-09-27.13:19:49,2022-04-11.14:56:20,1
redirected cookies,1570255,2006-10-03.20:37:58,2022-04-11.14:56:20,1
release GIL while doing I/O operations in the mmap module,1572968,2006-10-08.00:26:31,2022-04-11.14:56:20,1
Support spawnvp[e] + use native execvp[e] on win32,1576120,2006-10-12.18:57:08,2022-04-11.14:56:20,1
[doc] os.execvp[e] on win32 fails for current directory,1576313,2006-10-13.00:57:39,2022-04-11.14:56:20,1
mail message parsing glitch,1590744,2006-11-05.09:21:04,2022-04-11.14:56:21,1
mailbox: other programs' messages can vanish without trace,1599254,2006-11-19.16:03:08,2022-04-11.14:56:21,1
cgi.py multipart/form-data,1610654,2006-12-07.09:18:18,2022-04-11.14:56:21,1
sndhdr.what() does not recognize wav file,1611944,2006-12-09.02:37:48,2022-04-11.14:56:21,1
