Project/Initiative Name,Country/Countries,Year,Organisation,Description,Novelty,Impact & Results,"Other relevant URL(s) - eg reports, press",Source,Language
White House Leadership Development Program,United States,2014,GSA,"The White House Leadership Development Program (WHLDP) is a career development fellowship program that serves to develop the next generation of career senior executives with the skills necessary for successful enterprise leadership that benefits the interest of the government as a whole. Sponsored by the Executive Office of the President, the program offers participants: a broad federal perspective on high-priority challenges, access to senior decision-makers and skills development. 

The White House Leadership Development Program (WHLDP) aims to strengthen enterprise leadership across the government by providing senior-level federal employees with expanded perspectives and skill sets to address challenges facing the country. These increasingly complex challenges span agencies and jurisdictions, requiring senior leaders to work across agencies and organizational boundaries while leveraging networks on a greater scale than in the past to ensure the government continues to effectively deliver services to the American people.

The program is primarily focused on:
Developing Talent: Building the next generation of career senior executives with an enterprise perspective through a placement focused on the complex, cross-agency challenges that increasingly confront the Federal government. Also, strengthening enterprise leadership skills through targeted development sessions.

The White House Leadership Development Program (WHLDP) engages a diverse cohort of talented GS-15 career employees for a year of executive leadership development. The Fellows spend their year working on the Federal Government’s highest priority and impact challenges in the Executive Office of the President (EOP) and learning from senior executives and each other in development sessions.","The WHLDP is unique in its ability to provide an opportunity for a diverse cohort of high-potential career employees to develop executive leadership skills as they seek to become future senior executives. The selected fellows spend approximately 80 percent of their time in a placement assignment gaining on-the-job experience. The remaining 20 percent of their time is spent in leadership development, which consists of navigating change, building community, and evolving as leaders. The cross-government performance allows fellows to develop a deeper understanding of the importance of organizational performance, measuring impact and delivering results. Also, by identifying new ways of doing business, embracing innovation, focusing on outcomes, and effective service delivery, they become change agents across government.","The WHLDP has had a number of successful outcomes and benefits to both the Fellows and Agencies. Some benefits to come out of the program include:
- Increased exposure to a variety of different agencies – cultures, missions, functional areas, senior leaders and, new ways of delivering results in government.
- Improved ability to address complex problems that cut across organizational and jurisdictional boundaries.
- To build and leverage relationships that have an impact beyond their formal authority.
- Heightened government-wide perspective on problem-solving, best practices, and real solutions that can be applied to related challenges within the home agency.
- Experience relying on collaborative leadership skills, rather than technical expertise, to meet mission goals.
- Firsthand experience integrating into a new culture and fast-paced, ambiguous environment with an emphasis on flexibility and entrepreneurial skills.
- Increased ability to leverage newly expanded professional network","https://www.performance.gov/whldp/
",Call for Innovations,English
Cross-Agency Priority Goals,United States,2010,GSA,"The Cross-Agency Priority Goals (CAP) are a tool used by leadership to accelerate progress on a limited number of Presidential priority areas. These goals require active collaboration among multiple agencies for implementation and focus on a limited number of cross cutting policy areas, ones that are critical for a government to deliver. CAP Goals are long-term in nature but help to drive cross-government collaboration to tackle government-wide management challenges affecting most agencies.

The Cross-Agency Priority Goals (CAP) are a tool used by leadership to accelerate progress on a limited number of Presidential priority areas. These goals require active collaboration among multiple agencies for implementation and focus on a limited number of cross cutting policy areas, ones that are critical for a government to deliver. CAP Goals are long-term in nature but help to drive cross-government collaboration to tackle government-wide management challenges affecting most agencies.

To drive these priorities, the Administration leverages Cross-Agency Priority (CAP) Goals to coordinate and publicly track implementation across Federal agencies. CAP Goals are updated or revised every four years with each Presidential Administration’s term. CAP Goals are a tool used by leadership to accelerate progress on a limited number of Presidential priority areas where implementation requires active collaboration among multiple agencies. 

The criteria for selection includes: 1) whether a goal has clear cross-agency implementation actions that have been identified, 2) whether setting a CAP Goal would likely accelerate progress, and 3) whether it aligns with Administration priorities. To drive these priorities, the Administration leverages CAP Goals to coordinate and publicly track implementation across Federal agencies. CAP Goals are updated or revised every four years with each Presidential Administration’s term.","CAP goals are a powerful vehicle for defining major priorities across the U.S. federal government as well as tools to ensure that government managers put their energy behind the effort. 

This system-wide focus can include, for example: opportunity and issue spotting, including resolution of conflicts across discrete lines of effort; training and guidance for practitioners within agencies; data-management and evidence-building strategies that advance multiple existing activities; and other capacity-building strategies that build lasting change and, further out, identify opportunities to leverage these management systems.","CAP goals produced truly significant improvements in federal management, in areas including:
- Infrastructure permitting process. Few things frustrated persons both inside and outside government more than the long delays involved in permitting infrastructure projects. An OMB-led effort reduced the average time needed for obtaining a permit from 4.5 years to 2.5 years, a 45 percent reduction that saved billions of dollars.
- Category management. Federal agencies often conducted their own purchasing instead of taking advantage of the vast economies of scale that could result from bundling multiple agencies’ purchases of key items ranging from security services to information technology.
- Employee engagement. An effort launched in 2014 by OMB, the Office of Personnel Management and the White House attempted to improve employee morale. Employee engagement scores rose from 64 to 72 percent.",https://www.performance.gov/ ,Call for Innovations,English
#FreetownTheTreeTown Campaign,Sierra Leone,2021,Freetown City Council,"An equivalent of 12% of total canopy in Freetown was lost per year between 2011 and 2018. Loss of tree canopy directly affects catchment areas for water reserves, exacerbating the risks of landslides, flooding, and coastal erosion. Loss of tree and vegetation cover also threatens biodiversity. Against the backdrop of population expansion and rapid urbanization, the Freetown City Council came up with a plan to plant and grow 1 million trees by 2022—an effort that would increase the city's vegetation cover by 50%.

Freetown City Council, working closely with neighboring Western Area Rural District Council, partnered with Greenstand, a nonprofit that develops open-source technology to manage environmental goods and services. Community-based growers use its TreeTracker app on locally available smartphones to create a unique geotagged record, or ID, for each new tree planted—including a photo. Growers revisit each seedling periodically, to water and maintain, verify and document the plant's survival—and receive mobile money micropayments for their efforts.

To ensure sustained financing for tree growth, tree IDs can be turned into “impact tokens,” which can be bought, sold, and traded by businesses and individuals. This approach will generate a new revenue stream to fund more tree-planting and growing support.","The campaign pioneers an innovative, sustainable tree-growing model. ","In the initial, 2020-21 phase, planters successfully planted and tracked 250,000 trees during the rainy season, focusing on higher slope areas where communities are susceptible to landslide risks. Together with 10 commercial tree nurseries and 10 community-based organizations, the project has created more than 550 short-term jobs, especially for marginalized, vulnerable, and underemployed women and youth. An additional 50,000 mangrove trees will be planted to restore damaged coastal wetlands and to cap off an incredibility successful inaugural phase. The project has also sold its first 5,000 tree “impact tokens,” and the revenue will provide financing to plant and grow an additional 5,000 trees during the next phase. 

The second phase of this effort to build a climate-ready city will continue to endorse community engagement, participation, and impact. Another 700,000 trees will be planted during the 2021 and 2022 rainy seasons. These trees will be cultivated along major and secondary roads, around key water sources and other critical infrastructure, and within communities, neighborhoods, and public spaces. ","#FreetownTheTreeTown campaign: Using digital tools to encourage tree cultivation in cities (worldbank.org) 

Transform Freetown – Freetown City Council (fcc.gov.sl)

Treetracker by Greenstand

Greenstand | History ",Research,
GovChat to improve citizens services and promote active citizenship,South Africa,2022,"GovChat / Health Department and Social Development Departments of South Africa (other private, public and multilateral too)","Govchat helps the South African government in provide quicker citizen services while holding themselves accountable. 
It is a chatbot available on web messengers like Whatsapp or Facebook so citizens can use it to access government services including their municipality services or grant applications or to contact their public representative. During COVID-19 GovChat allowed processing grant and check of the application status to >8 million citizens without a waiting line, which facilitated the delivery of >60 billion Rands. The chatbot also provides information about COVID-19 such as symptoms, testing centres and obtain testing results. It processed >365,000 COVID-19 test results throughout the pandemic. 

Nowadays it provides a wide range of services, from finding a public representative base on a constituent's postal code or rate government services such as schools, healthcare or finding voting stations. The data is shared with the owners of the service (service providers) in real time so they can rectify the issue as quickly as possible. ","'- co-created with the South African Government assures there is uptake and that they could properly address citizen concerns. 
- it is accesible: GovChat focus on messaging platforms that citizens already have on their phones (WhatsApp, Facebook Messenger) to expose government inefficiencies
- Anonymised and aggregated data 
","'- 9,3 million active users
- >13,5 million south african social security agency (SASSA) applications received
- >644,1 million messages processes
- 117,4 million access to the Progressive Web Application (PWA)",https://govinsider.asia/citizen-engagement/how-a-chatbot-is-improving-citizen-services-and-promoting-active-citizenry-in-south-africa-eldrid-jordaan-govchat/,Research,
ShelterApp - The city of St. Paul's App to Help Unsheltered Residents Get Help,United States,2020,Municipality of St. Paul (Minnesota),"ShelterApp is a tool - a centralized platform - for unsheltered residents to search and learn more about the essential services that they need, whenever they need them, in the city of St. Paul. 

Based in public data on services for unsheltered residents, ShelterApp collects evidence of service delivery from 30 public service providers and unsheltered residents. It seeks to overcome the barriers and opportunities within the service delivery system for this target group. 

Providing photos of the city’s shelter spaces and adding step-by-step directions on how to access a bed upon arriving at a shelter, beneficiaries can search for local resources including food, shelter, health and work through the mobile and web platforms.","There’s no user data on ShelterApp yet, but Saint Paul is seeing the impact of its more holistic approach to serving unsheltered residents, which includes intensive outreach and expanding the supportive services available. Furthermore, data relating to homelessness (often inaccessible) across partners and real-time data on service availability become available. 

ShelterApp has the potential to serve as the initial infrastructure for an open data system that improves service delivery and access in Ramsey County.",,"- https://web.shelterapp.org/introduce
- https://www.centreforpublicimpact.org/case-study/the-opportunity-project-for-cities-lessons-from-saint-paul-and-san-jose 
- https://nextcity.org/urbanist-news/st-paul-unveils-app-to-help-unsheltered-residents-get-help ",Research,
Chillicothe's adoption of cutting edge and responsive public transport,United States,2021,City of Chillicothe (Ohio),"The city maintained a bus service that served most parts of the town, but it suffered from low ridership and a common perception that public transportation was underfunded and undesirable. Chillicothe zeroed in on two potential transit solutions: a dual fixed-route/on-demand public transportation system and a highly popular trolley. After prototyping these ideas with 400+ residents, the city is now advancing both ideas as pilots.

About the on-demand public transportation system:
Through agile methods the city found out that users were not particularly interested in having the entire system switch away from fixed routes and to on-demand. Existing users liked the fixed routes, and while many were intrigued by the idea of an on-demand option, there wasn’t an appetite for a complete overhaul. Instead, a hybrid system was proposed - keeping the fixed-route public transit system, and expanding an on-demand option that would provide a more flexible and responsive capacity-expanding service.

About the trolley:
The town will be experimenting with different trolley routes at different times, trying out four different routes over four months, including a dedicated history tour route and a downtown loop.","Incorporates innovation training ""the power of bringing community engagement to residents"" as part of the public transit planning. ",,"https://www.centreforpublicimpact.org/insights/chillicothe-s-ride-to-the-future
https://eu.chillicothegazette.com/story/news/2021/06/27/chillicothe-looks-improve-transit-within-city-and-county/5346455001/",Research,
Democracy Club to support everyone's participation in democratic life,United Kingdom,2020 (reboot) ,Community Interest Company - Nesta UK,"It collects information on the candidates running for elections across the different levels of governance in UK. Since 2017 they are a data supplier of the Electoral Commission.

Their work focuses on collecting data from the UK's approximately 400 local authorities, either via communicating with them directly or taking information from their websites using a infrastructure of web 'scrapers'. The collected data is then processed and published as open source. 

As a civic-tech, they provide non-partisan platforms which enable citizens to scrutinise, evaluate, and engage directly with their politicians and candidates. They have delivered personalised election information to well over ten million people since 2018.","Through algorithms and coding they have created what they call ""an infrastructure of web scrapers"" to monitor electoral processes ex ante: https://github.com/DemocracyClub
A good example is the TwitterBot: this checks Twitter handles added to candidate profiles, and updates them if they change.
Moreover, they have managed to develop an apparently well established community of practice and volunteer around: https://candidates.democracyclub.org.uk/volunteer/ ","During every election round since 2019 they have sent >250 million messages and communications in partnership with all major social media firms. Are host of >1000 active members through an online community. 
In 2022 elections: 1,500 volunteers made 64,000 edits to our database, collecting details on over 21,000 individual candidates.","https://democracyclub.org.uk/blog/
https://committees.parliament.uk/writtenevidence/401/pdf/ 
https://www.ukparliamentweek.org/en/partners/35847/ ",Research,
HCS EdConnect to bridge the digital divide and provide home WiFi until 2030,United States,2020,City of Chattanooga - Hamilton County schools,"The iniviative seeks that all students can access the internet for online learning as the COVID-19 crisis continues. It enables a community-wide fiber optic network in place and seeks to provide internet services to >28,000 economically challenged students in Hamilton County Schools at no charge. They address the digital divide for education by providing a high-quality broadband solution. 

Each family fills out an online/offline application. If elegible, they will receive a router and at least 100 Mbps internet service at no charge. The service is up to four times faster than typical educational access offerings from private providers and the only one that deliver symmetrical speeds (same speed for uploads and downloads). Inclusiveness is a critical factor here so if a family lives in the outskirts or in an area where the service is not available, they still can receive a mobile hotspot with unlimited data free of charge. 

The service infrastructure is provided through a partnership between the City of Chattanooga, several foundations, EBP and Tech Goes Home. ","Two fronts of novelty:
1) Fundraising strategy to make it happen: upfront investment of $8.2 million in additional infrastructure and equipment needed to outset the project. This allowed to quick fundraise $6 million.
2) Community and PPP partnerships to enable the project along the pipeline
3) Ensure internet access at almost 4 times the speed provided in the market ","- 100 Mbps+ fiber internet access to >30,000 students
- >$15 million of direct ivnestment in infrastructure and equipment ","https://www.edconnect.org/

https://www.centreforpublicimpact.org/insights/pillar-one-closing-the-digital-and-data-divide

https://catalog.results4america.org/program/broadband-access-initiatives/hcs-edconnect-chattanooga-tn 

",Research,
Plymouth Alliance Contract to support people with complex needs,United Kingdom,2019,Plymouth City Council (and partners),"The alliance is a non-legal entity that uses a systems-based approach to supporting people with complex needs through the use of an Alliance Contract, which is based on integrative and non-siloed service provision with the focus on creating systemic change to support a new relational way of working with people in homeless condition and with complex needs. Partners share responsibility for achieving outcomes, making decisions based on the best outcome for the service user.

This model of contracting opened the way for the prospect of a whole system of service, designed around the needs of people, rather than a fragmented market built around the needs of commissioners and services, which was usually top-down.

The Plymouth Alliance has eight member organisations including the Council and seven other social enterprises and charities. The Alliance can be viewed as a virtual organisation, where partners work collectively to create a collaborative environment without the need for a new organisational form. The Alliance Contract had a first year budget of £7.7m. The initial contract was for five years (from 2019) with a potential for extension to ten.

The contract covers:
- all substance misuse services,
- all services supporting homeless people contracted by the council,
- defined offers and asks with mental health services
- and a wider group of 20 other services either subcontracted by the alliance or part of the system group.

There are four levels of governance in the Alliance: Commissioner as owner, Alliance leadership team, Alliance management team, and Alliance manager. 
","Innovative contracting and cross-silo working. Contracts had been commissioned in separate silos, often resulting in duplication, inefficiencies and poor outcomes for the person using multiple services. Twenty five contracts spanning substance misuse and homelessness were aligned under the co-produced Alliance model.

","- Alcohol outreach prototype has delivered 44% reduction in admissions and 33% reduction in bed days
- Many hostel residents are now in their own accommodation, which has reduced bed and breakfast spending by around £1/2 million.
- To respond with urgency to the Covid-19 Crisis the Alliance has made decisions according to two key principles – Is it legal? and Is it safe?
- Prevention of Covid-19 outbreaks among people supported by the Alliance
- Less than 10% no shows for drug addiction service","https://e3m.org.uk/plymouth-alliance-contract-supporting-people-with-complex-needs/ 

https://twitter.com/ThePlymouthAll1",Research,
Go! Manila to access public services without the need to go outside,Philippines,2020,City of Manila,"The platform and App aim to provide a fast, effective and convenient manner of various services to the citizens. A more secure and cost-effective means to access a full range of payments and financial services that serves both the constituents of the City and temporary inhabitants.

The mobile application has the following features:
- City of Manila’s Real Property and Business Tax Payments;
- Wide range of facilities for payment of bills for government and private entities;
- E-Wallet for loading, payment, sending and receiving of funds;

During the early stages of COVID-19 it evolved from an app-based tax payment and business registration into a platform addressing social inclusion by targeting vulnerable groups. The adoption and uptake of residents in the Go! Manila ecosystem is still slow compared to the number of projected registration, but the City is working on education and sensitization campaigns.","'- Update and condense available data in a single platform. 
- Initially a tax and payment platform, then evolved into a platform to connect and provide citizens with the most basic services (i.e. registration, cash transfers)
- Visibilized vulnerable and marginalized groups
- Bridges the digital divide","Created >350,000 unique digital identities 
More than 50,000 registered intermediaries to support service delivery 
Provide follow up on part of the 178,345 senior citizens, 27,172 persons with disabilities, 13,877 solo parents, 209,513 indigent youth. ","https://www.lguvscovid.ph/content/go-manila-mobile-app

https://www.centreforpublicimpact.org/insights/gmc-manila",Research,
Minas Atende to improve the quality of public services,Brazil,2017 (2019 reboot),Estate Government of Minas Gerais,"The Minas Atende Program is an initiative of the Government of the State of Minas Gerais that aims to improve the quality of services offered to citizens and reduce the costs involved in providing such services.

The initiative is structured on three main fronts: (1) the simplification of procedures, (2) innovation in public services, through digitization, and (3) improvement of the relationship with the citizen, from the improvement of service channels and the availability of new interaction platforms. Thus, the Minas Atende Program is constituted as a government policy that encompasses different projects:
- MG App: an application for smartphones that centralizes several public services offered by the government in a single channel.
- UAI Share Program: program to expand the network of equipment for the issuance of documents.
- Alô Minas: offer of digital inclusion based on the expansion of access to mobile telephony and internet (3g).
- Estado Sabe Ouvir Award: annual award that promotes the recognition of public servants who develop innovation projects.
- Service simplification: process review, creation of defined steps and service mapping.
- Agents of Simplification Program: creation of a network of 300 public servants responsible for mobilizing the government's digital transformation agenda.
- “Simplify!”: channel for receiving improvement suggestions sent by users, for later sharing with the bodies responsible for offering and simplifying processes.
- Services Digital Transformation Index: indicator for calculating the percentage of fully digitalized services in the State of Minas Gerais.

The project is still in its early stages and has a delivery horizon of 2022",,"- 34 services were digitally transformed, totaling 52% of fully digital stages.
- substantial reduction in face-to-face service costs saving R$>21 millions
- digital service is around 30 times cheaper than face-to-face service and 10 times cheaper than telephone service",https://www.planejamento.mg.gov.br/tags/minas-atende ,Research,
