"id","site","timestamp","year","place","dataset","exists","digital","public","online","free","machinereadable","bulk","openlicence","uptodate","url","format","licenseurl","dateavailable","officialtitle","publisher","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score"
"c8c88799-0537-4e7b-9666-eb6f0741d1eb","us-city","2014-02-22T16:43:38","2014","atlanta","business-listings","Yes","Yes","Yes","Yes","Yes","No","No",,"Unsure","https://web.atlantaga.gov/blis/businesslookup.aspx","HTML",,,,"City of Atlanta","Yes","Yes",,"Basic data is available (Business Name, Address, Status).  No detailed information about Permits, Effective Dates, etc is available online at this time.   

There is no indication as to how up-to-date this information is.

Secretary of State has much more detailed listing info but we were unsure if this is inclusive of city of Atlanta business listings.  
https://cgov.sos.state.ga.us/Home.aspx/
","Yes","No","Matt Polini","Matt Polini","35"
"a200fe44-8545-4d4a-a192-e51498dd2880","us-city","2017-03-06T18:13:20","2017","vabeach","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.vbgov.com/Neighborhoods-Environment/Code-Enforcement-Cases/ki74-kxs4","CSV","https://data.vbgov.com/Neighborhoods-Environment/Code-Enforcement-Cases/ki74-kxs4",,"Provides information about all code enforcement cases that are no longer active.","Housing and Neighborhood Preservation","Yes","Yes"," ","Does not contain open cases. ""Each row is a closed code enforcement case record""","Yes","Yes","Kevin Curry","Ben Franklin","100"
"746bd23b-dff8-4dcf-bbfc-7a2eb0fec90c","us-city","2017-07-12T21:56:06","2017","losangeles","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.lacity.org/A-Safe-City/Crime-Data-from-2010-to-Present/y8tr-7khq","Socrata Portal (Socrata API, CSV, XLS, JSON, RSS)","https://creativecommons.org/publicdomain/zero/1.0/legalcode",,"Crime Data 2010 to Present","Los Angeles Police Department","Yes","Yes","2016 data link provided a 404, link and title updated to point to ""Crime 2010 to present"" on data.lacity.org","The crime data is fairly large, so LAPD started a new dataset in 2016 so that it loads faster. 

2012 - 2015: https://data.lacity.org/A-Safe-City/Crimes-2012-2015/s9rj-h3s6

2016 to present: https://data.lacity.org/A-Safe-City/LAPD-Crime-and-Collision-Raw-Data-for-2016/ftdn-8ftx

Updates weekly -- unsure what the appropriate update frequency is for crime data. Marked as Yes for timely basis.","Yes","Yes","Benjamin Lempert","Vyki Englert","100"
"cf23fa0d-e946-48e3-a389-8cbd88f056b8","us-city","2018-02-02T23:33:56","2017","losangeles","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.lacity.org/A-Safe-City/Building-and-Safety-Code-Enforcement-Case/2uz8-3tj3","CSV, JSON, PDF, RDF, RSS, XLS, XLSX, XML","https://data.lacity.org/A-Safe-City/Building-and-Safety-Code-Enforcement-Case/2uz8-3tj3/about",,"Building and Safety Code Enforcement Cases","LA City Department of Building & Safety","Yes","Yes"," ","Updated weekly","Yes","Yes","Chelsea Ursaner","Ben Franklin","100"
"2fca35b6-a151-4e3d-afcd-ff74037a650f","us-city","2017-09-14T11:49:27","2017","boston","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.boston.gov/dataset/crime-incident-reports-august-2015-to-date-source-new-system/resource/12cb3883-56f5-47de-afa5-3b1cf61b257b","CSV","https://opendatacommons.org/licenses/pddl/",,"Crime Incident Reports","Boston Police Department","Yes","Yes"," ","The crime incident reports are sourced from the Boston Police Department. This dataset is updated daily and made available via a Open Data Commons Public Domain Dedication and License. ","Yes","Yes","anonymous","Ben Franklin","100"
"474c8a29-9105-4f62-bb9f-a33a1cdccf43","us-city","2016-03-13T02:48:26","2016","albuquerque","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.cabq.gov/publicsafety/policeincidents/","JSON, KML, web service, CSV","https://data.cabq.gov/publicsafety/policeincidents/MetaData.pdf",,,"Albuquerque Police Department","Yes","Yes",,"This dataset contains a rolling 180 days of incidents, with information on location, incident description, and the date the entry was recorded (not necessarily the date it occurred).

The CSV file does not contain locational information, only lookup codes/NIBRS descriptions (Code4ABQ)

REST endpoint to web service:
https://coagisweb.cabq.gov/arcgis/rest/services/public/APD_Incidents/MapServer/0 (Code4ABQ)

","Yes","Yes","Yao Zhang","Yao Zhang","100"
"cbf7da62-3b4e-4f2b-bbd1-4f0b147cf53d","us-city","2015-08-13T19:06:19","2015","denver","zoning","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.denvergov.org/dataset/city-and-county-of-denver-zoning","shapefiles","https://data.denvergov.org/termsofuse",,"Zoning - This layer represents the zoning boundaries for the City and County of Denver, Colorado. The zoning boundaries data layer is governed by ordinance and is only changed accordingly.","City and County of Denver, Technology Services / Enterprise Data Management - denvergis@denvergov.org","Yes","Yes",,,"Yes","Yes","anonymous","anonymous","100"
"bfca348d-9d5c-4535-8e7d-861b0929fa51","us-city","2016-03-11T16:37:47","2016","sandiego","web-analytics","Yes","Yes","No","No","No","No","No",,"Yes",,,,,"Webtrends statistical tracking for sandiego.gov","City of San Diego Department of Information Technology","Yes","Yes",,,"Yes","No","Vistaa Gharibshahi","Vistaa Gharibshahi","20"
"bc027c87-a11f-4b06-9590-1bb8c58b89a1","us-city","2017-04-02T02:59:57","2017","anchorage","web-analytics","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://analytics.muni.org/","CSV","https://www.muni.org/Departments/Mayor/Documents/Open%20Data%20Policy.pdf",,"Analytics Muni Org MOA Web Stats","Muni IT","Yes","Yes","This looks good. ","Anchorage Municipality has forked the 18F project for analytics.usa.gov and made it available for muni.org (Anchorage's city web site) web pages. It updates every minute and provides information from Google Analytics in a readable form with the ability to download data over various time scales. The code was updated in 2016","Yes","Yes","anonymous","Brendan Babb","100"
"6f5b57ec-0414-4b13-8742-56e15a21b05d","us-city","2014-09-11T00:09:02","2014","ann-arbor","spending","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.a2gov.org/departments/finance-admin-services/financial-reporting/a2openbook/Pages/default.aspx","HTML, CSV","https://www.a2gov.org/departments/finance-admin-services/financial-reporting/a2openbook/Pages/default.aspx","2011",,"City of Ann Arbor","Yes","Yes",,"Queries possible by vendor, by fund, delimited by various time spans. P-Card entries are filter-able by spending category (e.g., travel)

","Yes","Yes","anonymous","anonymous","100"
"dea71472-8c39-4c7b-acee-28bca4f9eaf9","us-city","2017-02-08T05:14:34","2017","anchorage","transit","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://gtfs.muni.org/People_Mover.gtfs.zip","CSV","https://www.muni.org/Departments/Mayor/Documents/Open%20Data%20Policy.pdf",,,"Municipality of Anchorage, AK","Yes","Yes","GTFS-RT added in 2016","I worked in 2014 on getting the GTFS transit data as accurate as possible with the Municipality of Anchorage over several reviews and revisions and a month long review by Google Engineers. In 2015 the Muni reviewed new route and timetable changes and converted them to GTFS. We now have an Open Data policy. GTFS Realtime is not available.","Yes","Yes","Brendan Babb","Brendan Babb","100"
