
"Category Type","Title","DOI","URL","Citation","Abstract","Authors","Keywords","Full Text","Year of Publication","Conference"
"Presentations","Collaborations Using Common Concepts - NACDA and CLOSER","10.5281/zenodo.12761343","https://doi.org/10.5281/zenodo.12761343","Lavender K, Mills H, Johnson J.  
2024.  Collaborations Using Common Concepts - NACDA and CLOSER. ","","K. Lavender; H. Mills; J. Johnson","","","2024","IASSIST"
"Presentations","DDI Training Materials: A Metadata Management Training Resource","10.5281/zenodo.11200285","https://doi.org/10.5281/zenodo.11200285","Mills H, Lavender K, Danciu A, Group DDITraining W.  
2024.  DDI Training Materials: A Metadata Management Training Resource. ","","H. Mills; K. Lavender; A. Danciu; D.D.I.Training W. Group","","","2024","IASSIST"
"Publications","A URN Namespace for the Data Documentation Initiative (DDI)","10.17487/RFC9517","https://www.rfc-editor.org/info/rfc9517","Wackerow J.  
2024.  A URN Namespace for the Data Documentation Initiative (DDI). ","This document describes the Namespace Identifier (NID) ""ddi"" for Uniform Resource Names (URNs) used to identify resources that conform to the standards published by the Data Documentation Initiative (DDI) Alliance. The DDI Alliance is not affiliated with the Internet Engineering Task Force (IETF) or Internet Society (ISOC). This Independent Submission is not a standard nor does it have IETF community consensus.
","J. Wackerow","","","2024",""
"Presentations","Navigating Waves: Using DDI and Colectica to Enhance Interoperability within and among Longitudinal Series","10.5281/zenodo.11492846","https://doi.org/10.5281/zenodo.11492846","Zeiger J.  
2024.  Navigating Waves: Using DDI and Colectica to Enhance Interoperability within and among Longitudinal Series. ","","J. Zeiger","","","2024","IASSIST"
"Presentations","Wealth of Metadata with DDI","10.5281/zenodo.11236637","https://doi.org/10.5281/zenodo.11236637","Zenk-Möltgen W, Orten H, Bell D.  
2024.  Wealth of Metadata with DDI. ","","W. Zenk-Möltgen; H. Orten; D. Bell","","","2024","IASSIST"
"Presentations","The Data Documentation Initiative (DDI) Metadata Standards in Context. DDI usage in practice – an example from the European Social Survey.","10.5281/zenodo.8276829","https://doi.org/10.5281/zenodo.8276829","Beuster B, Orten H.  
2023.  The Data Documentation Initiative (DDI) Metadata Standards in Context. DDI usage in practice – an example from the European Social Survey.. ","","B. Beuster; H. Orten","","","2023",""
"Presentations","Implementing the DDI-CDI Process Model for Describing Data Integration: Insights from the EOSC Future Science Project ""Climate Neutral and Smart Cities""","10.5281/zenodo.10256938","https://doi.org/10.5281/zenodo.10256938","Beuster B, Wackerow J.  
2023.  Implementing the DDI-CDI Process Model for Describing Data Integration: Insights from the EOSC Future Science Project ""Climate Neutral and Smart Cities"". ","","B. Beuster; J. Wackerow","","","2023","EDDI"
"Presentations","Qualitative Data and DDI: Chances to move forward","10.5281/zenodo.10225400","https://doi.org/10.5281/zenodo.10225400","Cabrera NBetancort, Mozygemba K.  
2023.  Qualitative Data and DDI: Chances to move forward. ","","N.Betancort Cabrera; K. Mozygemba","","","2023","EDDI"
"Presentations","FAIRness assessment and the role of DDI in the Generations and Gender Programme","10.5281/zenodo.10263500","https://doi.org/10.5281/zenodo.10263500","Caporali A, Grünwald O.  
2023.  FAIRness assessment and the role of DDI in the Generations and Gender Programme. ","","A. Caporali; O. Grünwald","","","2023","EDDI"
"Presentations","How DDI supports data management, archiving and secondary reuse at the French Center for Socio- Political Data","10.5281/zenodo.10182925","https://doi.org/10.5281/zenodo.10182925","Danciu A.  
2023.  How DDI supports data management, archiving and secondary reuse at the French Center for Socio- Political Data. ","","A. Danciu","","","2023","EDDI"
