QB_RECORD_ID,DATASETNAME,AGENCYNAME,AGENCYCODE,DATASETCLASSIFICATIONLEVEL,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETCATEGORY,DATASETTYPE,DATAOWNER,EARLIESTDATEOFRECORDS,UPDATEINTERVAL,SUMMARY,PUBLICINTRESTINDATAVALUE,DATASETURL,KEYWORDS,MODIFIEDDATE,PUBLISHED_DATE,OPENDATA_PORTAL,OBJECTID
4550,Personnel Records Management,DC Human Resources,DCHR,level3,Confidential,This data contains Personally Identifiable Information (PII) and is protected per 6-B DCMR 3100 et seq.,Government Operations,Database,DCHR-Strategic Human Capital,,Real-Time/Near Real-Time,"A web-based application used to catalog Official Personnel Files (OPFs), track the movement of OPFs, and respond to requests to view OPFs.",,,"official personnel file, OPF",2018/01/30 05:00:00+00,2018/03/11 05:00:00+00,No,1723
4551,Applicant Screening,DC Human Resources,DCHR,level3,Confidential,This data contains Personally Identifiable Information (PII) and is protected per 6-B DCMR 3100 et seq.,Government Operations,Other,DCHR-Policy and Compliance,,Real-Time/Near Real-Time,A web-based application used to display employment screening results provided through a third-party vendor.,,,"applicant, screening, fingerprint",2018/01/30 05:00:00+00,2018/03/11 05:00:00+00,No,1724
4552,Electronic Fingerprinting,DC Human Resources,DCHR,level3,Confidential,This data contains Personally Identifiable Information (PII) and is protected per 6-B DCMR 3100 et seq.,Government Operations,Other,DCHR-Policy and Compliance,,Real-Time/Near Real-Time,A web-based application used to submit applicant and employee fingerprints for criminal background  screenings.,,,"fingerprinting, criminal background, screening",2018/01/30 05:00:00+00,2018/03/11 05:00:00+00,No,1725
4553,Employee Benefits,DC Human Resources,DCHR,level3,Confidential,This data contains Personally Identifiable Information (PII) and is protected per 6-B DCMR 3100 et seq.,Government Operations,Database,DCHR-Benefits and Retirement Administration,,Real-Time/Near Real-Time,"This dataset reflects employee participation in the benefit programs such as health, life, vision and dental insurance plans, retirement and savings plans, employee assistance plans and other wellness and benefits programming.",Unknown,,"health benefits, dental, vision, retirement",2018/01/30 05:00:00+00,2018/03/11 05:00:00+00,No,1726
4554,Recruitment and Staffing,DC Human Resources,DCHR,level3,Confidential,This data contains Personally Identifiable Information (PII) and is protected per 6-B DCMR 3100 et seq.,Government Operations,Database,DCHR-Human Resources Solution Administration,,Real-Time/Near Real-Time,This dataset houses all applicant profiles and application submissions along with 11B approvals and documents related to the hires.,,," candidate, applicant",2018/01/30 05:00:00+00,2018/03/11 05:00:00+00,No,1727
4555,Customer Service Tracking and Reporting System (CSTARS),District of Columbia Office on Aging,DCOA,level3,Confidential,"The database includes client demographic data, medical records and grantee budget information. The dataset contains Protected Health Information (PHI)  and Personally Identifiable Information (PII). The dataset is also exempt from disclosure under  D.C. Code § 2-534(a)(2).",Public Services,Database,DCOA,2007/10/01 04:00:00+00,Daily,"DCOA is responsible for advocating, planning, implementing, and monitoring programs in health, education, employment, and social services which promote longevity, independence, dignity and choice for District of Columbia residents 60 years of age and older and persons 18 years of age and older with disabilities. DCOA operates the Aging and Disability Resource Center (?ADRC?), a one-stop resource, providing information, referral and assistance; options counseling; and person-centered planning for persons receiving 1915(i) State Plan services. DCOA?s ADRC is the Local Contact Agency (?LCA?) for individuals in nursing homes who, in response to Section Q of the Minimum Data Set (MDS) that nursing homes are required to complete, indicate an inte",Frequent Requests,,"public service, Seniors, Aging, Social Services,",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1728
4556,Meals Tracker,District of Columbia Office on Aging,DCOA,level3,Confidential,This dataset contains client demographics that include Personally Identifiable Information (PII). This information is exempt from disclosure under D.C. Code § 2-534(a)(2).,Public Services,Database,DCOA,2007/10/01 04:00:00+00,Daily,"Tracks the meal delivery service known as ""meals on wheels"" and includes the demographics of persons served.",,,"public service, Aging, Senior Services, Food Assistance",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1729
4557,Frail and Weekend Home Delivered Meals,District of Columbia Office on Aging,DCOA,level3,Confidential,This dataset contains client demographics and disclosure of this information is exempt under D.C. Code § 2-534(a)(2). This dataset contains Protected Health Information (PHI) and Personally Identifiable Information (PII). ,Public Services,Database,DCOA,2007/10/01 04:00:00+00,Daily,"Tracks meal delivery, known as ""meals on wheels,"" and includes information on providers of the service.",Occasional Requests,,"public service, Aging, Seniors, Meals, Food Assistance,",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1730
4558,Zoning Case Exhibit Log,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,1975/07/15 04:00:00+00,Real-Time/Near Real-Time,"A list of all supporting documents filed in Zoning Commission and Board of Zoning Adjustment cases, including architectural drawings, letters in support or opposition, applications etc. Contains date submitted, case number, type of exhibit, etc.",Occasional Requests,https://app.dcoz.dc.gov/Content/Search/Search.aspx,"Planning, cadastre, land use, zoning",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1731
4559,Zoning Query Layer,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,,Weekly,A property layer derived from the Master Address Repository and the Ownership Lot Boundary geometry that combines and spatially joins all relevant zoning information to each property in the District. This is used for looking up information on the Official Zoning Map.,Occasional Requests,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCOZ/Zone_Mapservice/MapServer/18,"Zoning, Planning, Land Use, cadastre",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1732
4560,Zoning Commission and Board of Zoning Adjustment Transcripts,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,1997/01/06 05:00:00+00,Weekly,"List of all Transcripts for Zoning Commission and Board of Zoning Adjustment meetings and hearings. Contains dates, type of hearing or meeting, and case type.",Occasional Requests,https://app.dcoz.dc.gov/Content/Search/Search.aspx,"zoning, planning, land use",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1733
4561,Zoning Development Standards,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,,Static,"Tabular version of the Zoning Regulations of 2016 development standards for each zoning district. Includes information on height restrictions, FAR, lot occupancy etc.",Occasional Requests,https://dcoz.dc.gov/page/summary-zone-districts,"Planning, Land Use, Zoning",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1734
4562,Zoning Case Record,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,1968/11/01 04:00:00+00,Daily,"The Zoning Case Record is a comprehensive list of all Zoning Cases that are able to be mapped in the District of Columbia. This dataset contains the case number,  case name, owner name, location, zoning relief sought, and other relevant information to each zoning case from the 1960s to the present. Currently available both on the zoning map or through the Interactive Zoning Information System.",Occasional Requests,maps.dcoz.dc.gov/zr16,"Planning, Zoning, Land Use",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1735
4563,ZC and BZA Meeting/Hearing Calendar and Results,DC Office of Zoning,DCOZ,level0,Open,,Planning Land Use and Zoning,Database,DCOZ,2000/01/05 05:00:00+00,Real-Time/Near Real-Time,"This dataset is the schedule for all public meetings and hearings for Zoning Commission and Board of Zoning Adjustment cases related to zoning matters in the District of Columbia. The dataset lists dates and times for each scheduled hearing, as well as the type of case and results of the meeting/hearing.",Unknown,https://app.dcoz.dc.gov/Calendar/Calendar.aspx,"planning, zoning, land use",2017/10/05 04:00:00+00,2018/03/11 05:00:00+00,No,1736
4564,Integrated Library System_InternalOnly,DC Public Library,DCPL,level3,Confidential,"This dataset includes Personally Identifiable Information (PII) including the patron's User ID which is linked to email, pin, street address, birthdate, and library activities. Public Library User Information is explicitly mentioned as Level III in the classifications description provided by OCTO.",Public Services,Other,DCPL,1999/11/19 05:00:00+00,Real-Time/Near Real-Time,"An integrated library system (ILS), also known as a library management system (LMS), is an enterprise resource planning system for a library, used to track items owned, orders made, bills paid, and patrons who have borrowed. SirsiDynix is the ILS that DCPL uses to track transactions and users throughout each item and users' lifespan in the DCPL system. This database contains information about library users and library services provided.",Occasional Requests,https://www.dclibrary.org/ ,"public service, Integrated Library System",,2018/03/11 05:00:00+00,No,1737
4565,Wi-Fi Use,DC Public Library,DCPL,level0,Open,NA,Public Services,Database,DCPL,2014/10/01 04:00:00+00,Quarterly,Cisco-Meraki Wi-Fi system allows library patrons to connect to DCPL Wi-Fi. This functionality allows DCPL to track the number of wireless devices connected to DCPL Wi-Fi. The output of this Cisco-Meraki Wi-Fi system is a dataset that tracks the number Wi-Fi connections at each DCPL Branch.,Occasional Requests,https://www.dclibrary.org/services/wifi,"public service, Wi-Fi, Internet, Web, Remote",,2018/03/11 05:00:00+00,No,1738
4566,Online Engagement,DC Public Library,DCPL,level1,Public Not Proactively Released,This is a customized report representing an administrative burden.,Public Services,Database,DCPL,2011/01/01 05:00:00+00,Quarterly,"DCPL staff aggregates data from Google Analytics, Facebook Insights, Twitter Analytics, Instagram Analytics to track the number of unique online visits occur on each of DCPL's digital platforms and scrubs the data for PII. This dataset tracks the number Social Media Impressions, Social Media Engagement, new Website Visits (Sessions) and Overall Website visits (Sessions).",Unknown,,"public service, Online, Twitter, Website, Activity, Web, Internet",,2018/03/11 05:00:00+00,No,1739
4567,Room Usage Report_Internal Only,DC Public Library,DCPL,level3,Confidential,"Some reservations include Personally Identifiable Information (PII)/user ID information. Use of the system varies by location. The dataset contains non-standardized responses that need to be reviewed for quality control and accuracy; may require subjective redaction.",Public Services,Database,DCPL,2011/01/19 05:00:00+00,Real-Time/Near Real-Time,"DCPL's Meeting Room and Study Room reservation system, Room Reserve, hosted by Demco, is linked from the DCPL website and can be accessed by patrons.  The admin side can be accessed by staff from SharePoint. This dataset tracks the number of meeting and study room requests, accepted requests, estimated attendees, and actual attendees' in each DCPL meeting and study room. Room requests include Personal Identifiable Information (PII).",Unknown,"https://www.dclibrary.org/services/meetingrooms
","public service, Meetings, Study Sessions, Attendance",,2018/03/11 05:00:00+00,No,1740
4568,Computer Sessions and Printer Usage_InternalOnly,DC Public Library,DCPL,level3,Confidential,"This dataset contains computer sessions and print jobs by Patron User ID which contains Personally Identifiable Information (PII) including the patron's User ID which is linked to email, pin, street address, and birthdate. Public Library User Information is explicitly mentioned as Level III in the classifications description provided by OCTO.",Public Services,Database,DCPL,2013/10/01 04:00:00+00,Real-Time/Near Real-Time,"EnvisionWare Computer Access and Reservation System allows library patrons to schedule time to use library computers. In addition, the Envisionware Database tracks the number of print jobs by user and printer. This functionality allows DCPL to track the number of sessions, hours of usage at each DCPL computer workstation, and the number of print jobs and pages at each printer. The output of this EnvisionWare system is a dataset that tracks the number of unique computer sessions, total hours of computer usage, printer sessions, and printer usage at each DCPL workstation by user account. The dataset includes personally identifiable information (PII) of users.",Occasional Requests,"https://www.dclibrary.org/node/12322
","public service, Computer Usage, PC, Sessions, Printers",2017/12/11 05:00:00+00,2018/03/11 05:00:00+00,No,1741
4569,Computer Sessions,DC Public Library,DCPL,level0,Open,none,Public Services,Database,DCPL,2013/10/01 04:00:00+00,Quarterly,EnvisionWare computer access and reservation system allows library patrons to schedule a time to use library computers. This functionality allows DCPL to track the number of sessions and hours of usage at each DCPL computer workstation. The output of this EnvisionWare system is a dataset that tracks the number of unique computer sessions at each DCPL Branch.,Occasional Requests,https://www.dclibrary.org/node/12322,"public services, Computer Usage, PC, Sessions",2017/12/11 05:00:00+00,2018/03/11 05:00:00+00,No,1742
4622,Early Childhood Education (ECE) Fiscal Data,DC Public Schools,DCPS,level1,Public Not Proactively Released,Publication would pose an undue administrative burden on the agency,Education,Database,DCPS - Federal Programs and Grants,,Monthly,Early Childhood Education fiscal dashboard that allows our office to monitor fiscal expenditures and budget based requests,Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1743
4623,Ealry Childhood Special Education Data,DC Public Schools,DCPS,level4,Restricted Confidential,"Contains data subject to Family Educational Rights and Privacy Act (FERPA), and Individuals with Disabilities Education Act (IDEA). In addition, there are circumstances where Level 4 Classification might be considered appropriate. For example, we regularly work with parents in domestic violence shelters and children under the care of CFSA.",Administrative and Other Boundaries,Database,DCPS - Early Childhood Education,,Daily,"Early Stages uses this database to (1) track referrals patterns, (2) monitor the business process for referred children, (3) document outreach efforts in the community (4) assess the program and staff performance, (5) fulfill reporting.",Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1744
4624,Edgenuity Data,DC Public Schools,DCPS,level3,Confidential,Contains student directory information that is Personally Identifiable Information (PII) and also covered under Family Educational Rights and Privacy Act (FERPA).,Education,Other,DCPS - Curricular Innovation,,Unknown,"Edgenuity addresses needs for credit recovery, remediation, and acceleration in grades 6-12. For credit recovery, core content courses are aligned with DCPS scope and sequence documents to mirror concepts taught in the traditional class.",,http://learn.edgenuity.com/,Education,,2018/03/11 05:00:00+00,No,1745
4625,Required documentation for federal funds,DC Public Schools,DCPS,level2,For District Government Use,"Data shared with OSSE, may contain information subject to deliberative process therefore this data is protected under FOIA exemption 2-534(a)(4) - ‘’deliberative process privilege”.",Education,Unknown,DCPS - Federal Programs and Grants,,Unknown,"Enterprise Grants Management System (EGMS) is a system developed by OSSE that interfaces with DCPS as its largest LEA. Our office uploads files for monitoring, completes the consolidated application, completes reimbursement workbooks, and etc.",,,"grants, federal funds",,2018/03/11 05:00:00+00,No,1746
4626,Career and Technical Education (CTE) Student Roster,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - College and Career,,Yearly,"Excel sheet that tracks students in Career and Technical Education (CTE) programs that obtain industry-recognized certifications and pass technical skill assessments. This information is shared with OSSE, teachers, school leaders, and members of CCP.",Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1747
4627,Student Eligibility,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - Federal Programs and Grants,,Real-Time/Near Real-Time,The external system created to rank and serve students for federal program participation,Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1748
4629,Family Engagement Partnership Stipend Payments,DC Public Schools,DCPS,level3,Confidential,Contains staff Personally Identifiable Information (PII)  and would require subjective redaction prior to release.,Financial,Database,DCPS - Family Engagement,,Quarterly,Family Engagement Partnership Stipend Payments,No Requests,,Education,,2018/03/11 05:00:00+00,No,1749
4630,Purchase Card Data (P-Card),DC Public Schools,DCPS,level3,Confidential,Payment Card Information (PCI) ,Education,Database,DCPS - Federal Programs and Grants,,Monthly,Financial System is used to request purchase card increases and to verify the amount of funds that are placed onto the card.,Frequent Requests,,"pcard, purchases",,2018/03/11 05:00:00+00,No,1750
4743,Asset Management,DC Water,DCWATER,level2,For District Government Use,Data set contains the Authority's operational assets information and has to be protected for security reasons. FOIA Exemption DC Code Sec. 2-534(a)(2).,Utility and Communication,Database,DCWATER,,Real-Time/Near Real-Time,"The Asset Management system is used for keeping a record of assets in the water distribution network and data about the assets such as their ID number, type and other operational information. Assets could be pipes, valves, fire hydrants and any other item that help deliver clean water to customers and remove sewage.  Data set contains information about the assets in the field that are used to deliver water to premises in the District.",Frequent Requests,,"Utilities, Communication, Engineering, water network, pipe, valve, hydrant",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1767
4744,Financial Management ,DC Water,DCWATER,level2,For District Government Use,"Data set contains the Authority's financial information such as income, expenses, vendor expenses, costs of operation and facility costs.   This data is protected under FOIA exemption 2-534(a)(4) - ‘’deliberative process privilege”.",Utility and Communication,Database,DCWATER,,Real-Time/Near Real-Time,"The Financial system is used for managing the flow of funds through the entire organization of DC Water and its affiliates. Accounting work, account payables and receivables, and general ledger, end of year and monthly/quarterly.  Data set contains information about the assets in the field that are used to deliver water to premises in the District.",Frequent Requests,,"utilitiesCommunication, Finance, accounting, GAAP, balance sheet, annual report",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1768
4745,Electronic Customer Information System,DC Water,DCWATER,level3,Confidential,Data set contains personal identifiable information (PII) and customer information. FOIA Exemption DC Code Sec. 2-534(a)(2).,Utility and Communication,Database,DCWATER,,Real-Time/Near Real-Time,"ECIS is the Customer Service application where customer accounts, new service , repair and end of service and any other customer related requests are captured. Among the needs met by this system are:   Federal Billing requirement, Master & subaccount information & billing, Budget billing, Payment arrangement capability, Cancel / rebill , HUNA adoption and support, Delinquency and special processing, Meter inventory, device mgt, and history, credit and Collections, Call Center customer care , mand Conservation processing, Service order scheduling , Bill design and letter management, Business Intelligence tools and Dashboard, Electronic Bill Presentment and Payment, Bill print, eCare / Web Self-service, Rate design pro-forma modeling, Meter D",Frequent Requests,,"Utilities, Communication, Customer Service, Customer Records, Customer Requests",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1769
4747,Process Control System (Wastewater),DC Water,DCWATER,level2,For District Government Use,Contains location and operating data on Critical Infrastructure,Utility and Communication,Other,DCWATER,2003/01/01 05:00:00+00,Real-Time/Near Real-Time,"Industrial Control System used to control and monitor Blue Plains Adavanced Waste Water Treatment Plant (AWTP).  DC Water?s Blue PlainsAWTP is the largest plant of its kind in the world. On an average day, the facility treats close to 300 million gallons of wastewater and has the ability to treat over 1 billion gallons a day at peak flow. Wastewater flows in from the District of Columbia and from Montgomery and Prince George?s Counties in Maryland and Fairfax and Loudoun counties in Virginia.  contains Process Data, Vertical asset information.",Frequent Requests,,"utilitiesCommunication, Pump, Level, Flow, Pressure",2017/12/27 05:00:00+00,2018/03/11 05:00:00+00,No,1770
4631,Fingerprinting,DC Public Schools,DCPS,level3,Confidential,Law Enforcement Sensitive ,Education,Database,DCPS - Federal Programs and Grants,,Real-Time/Near Real-Time,Fingerprinting and clearance check used to verify contractors and teacher hires prior to them entering school buildings.,Frequent Requests,,fingerprinting,,2018/03/11 05:00:00+00,No,1771
