Star Rating,Name,Total AUM Range - Sep 2024,AUM CAGR over 5 years*,Main Office City,Main Office State,Profile,,,,,
★★★★★,http://www.facet.com||Facet Wealth,$1 Billion - $5 Billion,more than 100%,Baltimore,Maryland,,,,,,
★★★★★,https://sarofim.com||Sarofim Trust Co.,$5 Billion - $10 Billion,60%-70%,Houston,Texas,,,,,,
★★★★★,https://apollonwealthmanagement.com/||Apollon Wealth Management,$5 Billion - $10 Billion,80%-90%,Mount Pleasant,South Carolina,,,,,,
★★★★★,https://cynosuregroup.com/||The Cynosure Group,$1 Billion - $5 Billion,30%-40%,Salt Lake City,Utah,,,,,,
★★★★★,https://www.shadetreeadvisors.com/||Shade Tree Advisors,$500 Million - $1 Billion,90%-100%,Saratoga Springs,New York,,,,,,
★★★★★,https://www.cressetpartners.com||Cresset Asset Management,over $10 Billion,60%-70%,Chicago,Illinois,,,,,,
★★★★★,https://www.bcpglobal.com||BCP Advisors,up to $250 Million,90%-100%,Miami,Florida,,,,,,
★★★★★,econologicsfinancialadvisors.com||Econologics Financial Advisors,up to $250 Million,more than 100%,Largo,Florida,,,,,,
★★★★★,https://www.sfgrpc.com||Shuster Advisory Group,$5 Billion - $10 Billion,more than 100%,Pasadena,California,,,,,,
★★★★★,https://www.rmrwealth.com/||RMR Wealth Builders,$1 Billion - $5 Billion,60%-70%,Montclair,New Jersey,,,,,,
★★★★★,https://www.xpi.us/||XP Advisory US,$1 Billion - $5 Billion,60%-70%,Miami,Florida,,,,,,
★★★★★,https://geowealth.com/||Geowealth Management,over $10 Billion,60%-70%,Chicago,Illinois,,,,,,
★★★★★,https://sagemountainadvisors.com/||Sage Mountain Advisors,$1 Billion - $5 Billion,80%-90%,Atlanta,Georgia,,,,,,
★★★★★,http://www.advisoryalpha.com||Advisory Alpha,$1 Billion - $5 Billion,30%-40%,Holland,Michigan,,,,,,
★★★★★,https://newdayimpact.com/||Newday Funds,up to $250 Million,more than 100%,Tiburon,California,,,,,,
★★★★★,https://innoviawealth.com/||Innovia Wealth,$1 Billion - $5 Billion,80%-90%,Grand Rapids,Michigan,,,,,,
★★★★★,https://www.axxcesswealth.com/||Axxcess Wealth Management,$5 Billion - $10 Billion,50%-60%,Carlsbad,California,,,,,,
★★★★★,clearbrookadvisors.com||Clear Brook Advisors,$500 Million - $1 Billion,90%-100%,Boston,Massachusetts,,,,,,
★★★★★,https://www.integratedwealthcllc.com||Integrated Partners,over $10 Billion,50%-60%,Waltham,Massachusetts,,,,,,
★★★★★,https://oneascent.com/||Oneascent Financial Services,$1 Billion - $5 Billion,40%-50%,Birmingham,Alabama,,,,,,
★★★★★,www.clearstead.com||Clearstead Advisors,over $10 Billion,30%-40%,Cleveland,Ohio,,,,,,
★★★★★,https://www.perennialfinancialservices.com/||Perennial Investment Advisors,$1 Billion - $5 Billion,40%-50%,Los Angeles,California,,,,,,
★★★★★,https://mmbginvestment.com/||MMBG Investment Advisors Co.,$1 Billion - $5 Billion,30%-40%,Miami,Florida,,,,,,
★★★★★,https://www.waverly-advisors.com||Waverly Advisors,over $10 Billion,30%-40%,Birmingham,Alabama,,,,,,
★★★★★,https://www.hellonestegg.com/||Nest Investments,up to $250 Million,90%-100%,Conshohocken,Pennsylvania,,,,,,
★★★★★,prosperityea.com||Prosperity,$1 Billion - $5 Billion,30%-40%,Owings Mills,Maryland,,,,,,
★★★★★,https://verumpartnership.com/||Verum Partners,$500 Million - $1 Billion,30%-40%,Charlotte,North Carolina,,,,,,
★★★★★,http://www.pathstone.com/||Pathstone,over $10 Billion,40%-50%,Englewood,New Jersey,,,,,,
★★★★★,https://www.colterlewis.com||Colter Lewis Investment Partners,$1 Billion - $5 Billion,60%-70%,Greenwich,Connecticut,,,,,,
★★★★★,https://moderawealth.com/||Modera Wealth Management,over $10 Billion,30%-40%,Westwood,New Jersey,,,,,,
★★★★★,http://www.activestwm.com/||Activest Wealth Management,$500 Million - $1 Billion,30%-40%,Aventura,Florida,,,,,,
★★★★★,https://www.highlinewp.com/contact-us||Highline Wealth Partners,$250 Million - $500 Million,30%-40%,Sherman Oaks,California,,,,,,
★★★★★,http://www.cfmadvisorsinc.com/||CFM Advisors Inc,$1 Billion - $5 Billion,70%-80%,Hauppauge,New York,,,,,,
★★★★★,https://fortis.capital/||Fortis Capital Management,$250 Million - $500 Million,70%-80%,Bellevue,Washington,,,,,,
★★★★★,http://www.coylecap.com||Coyle Capital,$500 Million - $1 Billion,40%-50%,Lakeway,Texas,,,,,,
★★★★★,https://www.mvinvestmentadvisors.com/mvia-home||Martha's Vineyard Investment Advisors,up to $250 Million,10%-20%,West Tisbury,Massachusetts,,,,,,
★★★★★,https://wiss.com/service/wealth-management-and-family-office/||Wiss Private Client Advisors,$500 Million - $1 Billion,30%-40%,Florham Park,New Jersey,,,,,,
★★★★★,www.cannellspears.com||Cannell & Spears,$5 Billion - $10 Billion,30%-40%,New York,New York,,,,,,
★★★★★,https://rscapital.com/||Robertson Stephens Wealth Management,$1 Billion - $5 Billion,50%-60%,San Francisco,California,,,,,,
★★★★★,http://www.arinvgroup.com/||ARI Group,up to $250 Million,-,New York,New York,,,,,,
★★★★★,https://www.quartzpartners.com/contact||Quartz Partners,$250 Million - $500 Million,30%-40%,Saratoga Springs,New York,,,,,,
★★★★★,https://alphacore.com/contact/||Alphacore Capital,$1 Billion - $5 Billion,50%-60%,La Jolla,California,,,,,,
★★★★★,www.marquetteassociates.com||Marquette Associates,over $10 Billion,30%-40%,Chicago,Illinois,,,,,,
★★★★★,https://clgwm.com/||CLG LLC,$500 Million - $1 Billion,30%-40%,Long Beach,California,,,,,,
★★★★★,www.sprott.com||Sprott Asset Management USA,$1 Billion - $5 Billion,more than 100%,Darien,Connecticut,,,,,,
★★★★★,www.waypointcapitaladvisors.com||Waypoint Capital Advisors,$500 Million - $1 Billion,30%-40%,Minneapolis,Minnesota,,,,,,
★★★★★,https://www.alignimpact.com/||Align Impact,$500 Million - $1 Billion,40%-50%,Santa Monica,California,,,,,,
★★★★★,https://ceritypartners.com/||Cerity Partners,over $10 Billion,30%-40%,New York,New York,,,,,,
★★★★★,https://highprobabilityadvisors.com/||High Probability Advisors,$500 Million - $1 Billion,60%-70%,Pittsford,New York,,,,,,
★★★★★,http://www.jazzwealth.com||Jazz Wealth Managers,$250 Million - $500 Million,70%-80%,Largo,Florida,,,,,,
★★★★★,http://www.troweprice.com||T. Rowe Price Advisory Services,$1 Billion - $5 Billion,40%-50%,Owings Mills,Maryland,,,,,,
★★★★★,www.veratisadvisors.com||Veratis Advisors,$1 Billion - $5 Billion,more than 100%,Cary,North Carolina,,,,,,
★★★★★,https://www.circlewm.com||Circle Wealth Management,over $10 Billion,40%-50%,Summit,New Jersey,,,,,,
★★★★★,http://www.murphysylvest.com||Murphy & Sylvest,$250 Million - $500 Million,10%-20%,Dallas,Texas,,,,,,
★★★★★,https://www.ritholtzwealth.com/contact||Ritholtz Wealth Management,$5 Billion - $10 Billion,30%-40%,New York,New York,,,,,,
★★★★★,https://www.fieldercapital.com/||Fielder Capital Group,$500 Million - $1 Billion,40%-50%,Nashville,Tennessee,,,,,,
★★★★★,https://www.guidestone.org/||Guidestone Advisors,$1 Billion - $5 Billion,60%-70%,Dallas,Texas,,,,,,
★★★★★,www.perigonwealth.com||Perigon Wealth Management,$5 Billion - $10 Billion,50%-60%,San Francisco,California,,,,,,
★★★★★,https://ashtonthomaspw.com/||Ashton Thomas Private Wealth,$1 Billion - $5 Billion,50%-60%,Scottsdale,Arizona,,,,,,
★★★★★,https://www.vannequitymanagement.com||Vann Equity Management,$500 Million - $1 Billion,80%-90%,Plano,Texas,,,,,,
★★★★★,https://www.oneoakcapitalmgmt.com/||One Oak Capital Management,$250 Million - $500 Million,10%-20%,Purchase,New York,,,,,,
★★★★★,https://balboawealth.com/||Balboa Wealth Partners,$500 Million - $1 Billion,40%-50%,Scottsdale,Arizona,,,,,,
★★★★★,beaconpointe.com||Beacon Pointe Advisors,over $10 Billion,40%-50%,Newport Beach,California,,,,,,
★★★★★,https://www.covenantwealthadvisors.com/||Covenant Wealth Advisors,$250 Million - $500 Million,20%-30%,Richmond,Virginia,https://www.newsweek.com/rankings/covenant-wealth-advisors||View Profile,,,,,
★★★★★,https://klosters-capital.com/||Klosters Capital,$250 Million - $500 Million,10%-20%,Miami,Florida,,,,,,
★★★★★,https://integral-wealth.com/||Integral Investment Advisors,$250 Million - $500 Million,20%-30%,Turlock,California,,,,,,
★★★★★,https://www.clearbrookglobal.com/||Clearbrook Investment Solutions,up to $250 Million,-,New York,New York,,,,,,
★★★★★,https://www.brainvest.com||Brainvest Wealth Management,$1 Billion - $5 Billion,50%-60%,Miami,Florida,,,,,,
★★★★★,https://www.falconwealthplanning.com/||Falcon Wealth Planning,$1 Billion - $5 Billion,40%-50%,Ontario,California,,,,,,
★★★★★,https://www.pinevalleyinvestments.com/||Pine Valley Investments,$1 Billion - $5 Billion,30%-40%,Marlton,New Jersey,,,,,,
★★★★★,https://www.phraction.net/||Phraction Management,$250 Million - $500 Million,30%-40%,Colchester,Connecticut,,,,,,
★★★★★,https://www.wealthcg.com/||WCG Wealth Advisors,$5 Billion - $10 Billion,20%-30%,Las Vegas,Nevada,,,,,,
★★★★★,https://www.mayerprivatewealthmanagement.com/||MPWM Advisory Solutions,$250 Million - $500 Million,30%-40%,Alpharetta,Georgia,,,,,,
★★★★★,https://primefinancial.com||Prime Capital Financial,over $10 Billion,10%-20%,Overland Park,Kansas,,,,,,
★★★★★,https://insigneo.com/||Insigneo Advisory Services,$1 Billion - $5 Billion,30%-40%,Miami,Florida,,,,,,
★★★★★,http://www.quantinno.com/||Quantinno Capital Management,$1 Billion - $5 Billion,70%-80%,New York,New York,,,,,,
★★★★★,https://www.capitalcreek.com||Capital Creek Partners,$1 Billion - $5 Billion,50%-60%,Austin,Texas,,,,,,
★★★★★,westwoodgroup.com||Westwood Advisors,$250 Million - $500 Million,40%-50%,Dallas,Texas,,,,,,
★★★★★,http://www.lidoadvisors.com||Lido Advisors,over $10 Billion,30%-40%,Los Angeles,California,,,,,,
★★★★★,http://www.sequentplanning.com||Sequent Planning,$250 Million - $500 Million,30%-40%,Omaha,Nebraska,,,,,,
★★★★★,https://www.clintoninvestment.com||Clinton Investment Management,$1 Billion - $5 Billion,30%-40%,Stamford,Connecticut,,,,,,
★★★★★,bulltick.com||Bulltick Wealth Management,$1 Billion - $5 Billion,40%-50%,Miami,Florida,,,,,,
★★★★★,http://www.alexandercapitalwealthmanagement.com||Alexander Capital Wealth Management,up to $250 Million,30%-40%,Red Bank,New Jersey,,,,,,
★★★★★,http://www.aaronwealth.com||Aaron Wealth Advisors,$1 Billion - $5 Billion,50%-60%,Chicago,Illinois,,,,,,
★★★★★,https://www.arinllc.com/||Arin Risk Advisors,$500 Million - $1 Billion,50%-60%,Conshohocken,Pennsylvania,,,,,,
★★★★★,http://www.avisowealthmanagement.com||Aviso Wealth Management,$250 Million - $500 Million,30%-40%,Bellevue,Washington,,,,,,
★★★★★,www.wealthenhancement.com||Wealth Enhancement Advisory Services,over $10 Billion,50%-60%,Plymouth,Minnesota,,,,,,
★★★★★,www.logixinvestment.com||Logix Investments,up to $250 Million,10%-20%,Cleveland,Ohio,,,,,,
★★★★★,https://www.dimensional.com/us-en/financial-professionals||Dimensional Fund Advisors,over $10 Billion,5%-10%,Austin,Texas,,,,,,
★★★★★,tectonicadvisors.com||Tectonic Advisors,$1 Billion - $5 Billion,20%-30%,Frisco,Texas,,,,,,
★★★★★,http://www.jfgwealth.net||JFG Wealth Management,$500 Million - $1 Billion,40%-50%,Denver,Colorado,,,,,,
★★★★★,https://avior.com/||Avior Wealth Management,$1 Billion - $5 Billion,30%-40%,Omaha,Nebraska,,,,,,
★★★★★,www.persiumgroup.com||Persium Advisors,$250 Million - $500 Million,20%-30%,Atlanta,Georgia,,,,,,
★★★★★,https://www.blacktowerus.com||Blacktower Financial Management (US),up to $250 Million,20%-30%,Orlando,Florida,,,,,,
★★★★★,https://www.penningtonpartners.co/||Pennington Partners & Co.,$1 Billion - $5 Billion,30%-40%,Bethesda,Maryland,,,,,,
★★★★★,http://www.curatedwealthpartners.com||Curated Wealth Partners,$500 Million - $1 Billion,50%-60%,El Segundo,California,,,,,,
★★★★★,https://atcap.com/||ATCAP Partners,up to $250 Million,40%-50%,Rockville,Maryland,,,,,,
★★★★★,https://rwawealth.com/||RWA Wealth Partners,over $10 Billion,20%-30%,Newton,Massachusetts,,,,,,
