"uid","datasetinformation_agency","name","url","description","type","category","tags","last_metadata_updated_date","last_data_updated_date","api_endpoint","domain","derived_view","parent_uid","attribution","attribution_link","contact_email","datasetsummary_datasetowner","datasetsummary_organization","datasetsummary_contactinformation","datasetsummary_timeperiod","datasetsummary_postingfrequency","datasetsummary_coverage","datasetsummary_granularity","disclaimers_limitations","notes_notes","additionalresources_seealso","disclaimers_disclaimer"
"qv3j-jy56",,"Developer: Featured Content","https://data.ny.gov/d/qv3j-jy56","","dataset",,,"2018-12-18T20:56:12.000","2015-03-20T14:00:40.000","https://data.ny.gov/resource/qv3j-jy56.json","data.ny.gov","false",,,,,,,,,"Static - Not Updated",,,,,,
"2sg5-sc38","Information Technology Services, Office of","Give Feedback","https://data.ny.gov/stories/s/2sg5-sc38","This story replaces the deprecated 'Give Feedback' form.","story",,,"2026-01-26T17:39:09.000","2026-01-26T17:39:09.000",,"data.ny.gov","false",,"Information Technology Services, Office of","https://data.ny.gov","opendata@its.ny.gov","Information Technology Services, Office of","Geospatial Services Bureau/Open Data","opendata@its.ny.gov","Current","As needed","Site",,,,,
"tdxy-gw5i","Temporary and Disability Assistance, Office of","Local Social Services District (SSD) Staff Counts, Overhead and WMS: Beginning State Fiscal Year 2004-2005","https://data.ny.gov/d/tdxy-gw5i","The data table provides the State Fiscal Year monthly average count of Local Social Services District full-time equivalent staff positions by functional area.","chart","Human Services","county social services staffing,food stamps,heap,home energy assistance program,medicaid,pa,public assistance,snap,social services staffing,supplemental nutrition assistance program,ta,temporary assistance,welfare","2025-11-04T22:18:15.000","2026-02-04T18:05:48.000","https://data.ny.gov/resource/tdxy-gw5i.json","data.ny.gov","true","rcn6-yg9v","New York State Office of Temporary and Disability Assistance (OTDA)","https://otda.ny.gov/programs/","britany.orlebeke@otda.ny.gov","New York State Office of Temporary and Disability Assistance (OTDA)","Bureau of Financial Services","britany.orlebeke@otda.ny.gov","Beginning State Fiscal Year 2004-2005","Annually","Statewide","Local Social Services District (New York City and the 57 remaining counties)","Data are monthly averages.  Some cells rounding to zero are displayed as zero.","Data is posted annually, four months following the end of the State Fiscal Year.","OTDA Fiscal Reference Manual: http://otda.ny.gov/resources/fiscal-reference/FRM-3.pdf",
"pu2p-3ngx","Taxation and Finance, Department of","Earned Income Tax Credit (NYS EITC) Claims by Place of Residence and Size of Earned Income","https://data.ny.gov/d/pu2p-3ngx","The Department of Taxation and Finance (the Department) annually publishes statistical information on the New York State earned income tax credit (EITC). This includes data on the separate New York City EITC and the New York State noncustodial parent EITC. Summary data are presented for all taxpayers which includes full-year New York state residents, part-year residents and nonresidents (where applicable). Data are shown for the total number of claimants and credit claimed by county and/or region for all filing statuses.","filter","Government & Finance","non-custodial parent,tax,eitc,earned income,credit","2025-01-30T06:03:00.000","2026-02-13T20:08:27.000","https://data.ny.gov/resource/pu2p-3ngx.json","data.ny.gov","true","3sqx-ew2z","New York State Department of Taxation and Finance","https://www.tax.ny.gov/research/stats/stat_pit/earned_income_tax_credit/earned_income_tax_credit_analysis_of_credit_claims_open_data_short2.htm","OTPA.OpenNYData@tax.ny.gov","New York State Department of Taxation and Finance","Office of Tax Policy Analysis","OTPA.OpenNYData@tax.ny.gov","Tax Years 1994 and Forward","Annual","Statewide","Taxpayer claims","The information reflects personal income tax credit-claim data collected, and does not account for subsequent audits or amendments that may occur after initial processing.  ",,"New York State Earned Income Tax Credit (EITC) Information: http://www.tax.ny.gov/pit/credits/earned_income_credit.htm",
"86md-75n6","Environmental Conservation, Department of","Natural Community Biodiversity by County","https://data.ny.gov/d/86md-75n6","The NYS Department of Environmental Conservation (DEC) collects and maintains several datasets on the locations, distribution and status of species of plants and animals. Information on distribution by county from the following three databases was extracted and compiled into this dataset.  First, the New York Natural Heritage Program biodiversity database: Rare animals, rare plants, and significant natural communities. Significant natural communities are rare or high-quality wetlands, forests, grasslands, ponds, streams, and other types of habitats.  Next, the 2nd NYS Breeding Bird Atlas Project database: Birds documented as breeding during the atlas project from 2000-2005.  And last, DEC’s NYS Reptile and Amphibian Database: Reptiles and amphibians; most records are from the NYS Amphibian & Reptile Atlas Project (Herp Atlas) from 1990-1999.","filter","Energy & Environment","biodiversity,plants,natural communities,endangered species,animals","2024-10-01T17:49:01.000","2022-02-25T19:45:56.000","https://data.ny.gov/resource/86md-75n6.json","data.ny.gov","true","tk82-7km5","New York State Department of Environmental Conservation","http://www.dec.ny.gov/animals/29338.html","NaturalHeritage@dec.ny.gov",,"New York Natural Heritage Program and Division of Fish, Wildlife, and Marine Resources","NaturalHeritage@dec.ny.gov","Current","Annually","Statewide","County","For a given species or community type, the dataset includes only counties where the species has been observed, reported, and entered into one of the source databases. However, that species or community type may also be found in other counties in New York. Survey effort and observer ability vary, and many sites in New York State have not been surveyed at all, so even if a species or community type is not listed for a particular county, it cannot be definitively concluded that it does not occur in that county; it can only be said that none of the source databases has that species documented from that county.","Information in this dataset has been collected from the 1800’s to present","www.dec.ny.gov/animals/7312.html",
"srfy-9rv9","Temporary and Disability Assistance, Office of","Non-NYC Local Social Services District (SSD) Staffing by Year Chart","https://data.ny.gov/d/srfy-9rv9","The data table provides the State Fiscal Year monthly average count of Local Social Services District full-time equivalent staff positions by functional area.","chart","Human Services","food stamps,ta,welfare,county social services staffing,staffing,supplemental nutrition assistance program,temporary assistance,social services staffing,snap,public assistance,pa,medicaid,home energy assistance program,heap","2025-11-04T21:38:45.000","2026-02-04T18:05:48.000","https://data.ny.gov/resource/srfy-9rv9.json","data.ny.gov","true","4dst-euqr","New York State Office of Temporary and Disability Assistance (OTDA)","https://otda.ny.gov/programs/","britany.orlebeke@otda.ny.gov","New York State Office of Temporary and Disability Assistance (OTDA)","Bureau of Financial Services","britany.orlebeke@otda.ny.gov","Beginning State Fiscal Year 2004-2005","Annually","Statewide","Local Social Services District (New York City and the 57 remaining counties)","Data are monthly averages.  Some cells rounding to zero are displayed as zero.","Data is posted annually, four months following the end of the State Fiscal Year.","OTDA Fiscal Reference Manual: http://otda.ny.gov/resources/fiscal-reference/FRM-3.pdf",
"pg5a-2hej","Agriculture and Markets, Department of","Farmers' Markets with FCC Issued","https://data.ny.gov/d/pg5a-2hej","In the past decade the number of farmers' markets in New York State has grown at a rapid rate.  The dataset contains information detailing the time and location of community farmers' markets as well as the name and phone number of the market manager.","filter","Economic Development","community farmers markets","2026-03-19T15:23:56.000","2026-02-18T21:13:47.000","https://data.ny.gov/resource/pg5a-2hej.json","data.ny.gov","true","qq4h-8p86","New York State Department of Agriculture and Markets","http://www.agriculture.ny.gov/AP/CommunityFarmersMarkets.asp","farmersmarkets@agriculture.ny.gov","New York State Department of Agriculture and Markets","Division of Agricultural Development","farmersmarkets@agriculture.ny.gov","January 2012 - present","Quarterly","Statewide","Specific market location and time",,"Database contains information on approximately 500 community farmers markets located throughout the State.  The data is updated weekly and as we become aware of new markets and updates to existing markets.  Along with the time and location of the market, the name and phone number of the market manager are provided to allow customers and farmers to contact the market directly to get up to the day information on the operations of the market.",,
"4yih-vkdm","Gaming Commission, New York State","Lottery Aid to Education, Dollars by County","https://data.ny.gov/d/4yih-vkdm","Aid to education provided by the New York Lottery by fiscal year, by county, by school district","filter","Government & Finance","school distri,education,new york lottery,aid","2024-12-31T17:09:09.000","2025-09-18T15:40:37.000","https://data.ny.gov/resource/4yih-vkdm.json","data.ny.gov","true","9ypc-vjiq","New York Gaming Commission","http://nylottery.ny.gov/wps/portal/Home/Lottery/About+Us/Mission+for+Education/Mission+for+Education","info@gaming.ny.gov","New York Gaming Commission","New York Lottery","info@gaming.ny.gov","Beginning 2002","Annually","Statewide","By fiscal year, by county, by school district",,,,
"8m9z-nvih","Energy Research and Development Authority","Electricity Sales By Sector, TBtu: Beginning 1980","https://data.ny.gov/d/8m9z-nvih","New York Electricity Sales dataset provides data on total electricity requirements for New York State.  Electricity sales to ultimate consumers are provided and are broken down by sector (Residential/Commercial/Industrial/Transportation) in TBtu.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","dataset","Energy & Environment","nyserda patterns and trends,electricity,electric generation,renewable,p&t,electricity sales","2026-03-30T19:13:53.000","2025-01-17T15:31:05.000","https://data.ny.gov/resource/8m9z-nvih.json","data.ny.gov","false",,"New York State Energy Research and Development Authority","http://www.nyserda.ny.gov/Energy-Prices-Data-and-Reports/Energy-Statistics-and-Weather-Data/Energy-Statistics.aspx","openny@nyserda.ny.gov","Energy Analysis, New York State Energy Research and Development Authority","Energy Analysis","openny@nyserda.ny.gov","Beginning 1980","Annually","Statewide","Statewide by Sector (Residential, Commercial, Industrial, Transportation)",,,"http://www.eia.gov/",
"p5sp-5vfy","Metropolitan Transportation Authority","MTA LIRR Safety Indicators: Beginning 2019","https://data.ny.gov/d/p5sp-5vfy","This dataset provides information on various indicators of safety measured by Long Island Rail Road. The indicators are a combination of preventative measures taken to prevent unsafe incidents, as well as occurrences of unsafe incidents.","dataset","Transportation","motorist,training,safety,accident prevention,community outreach,commuter rail,employees,employee training,grade crossings,incidents,lirr,long island rail road,monthly","2026-03-20T15:25:27.000","2026-03-20T15:25:28.000","https://data.ny.gov/resource/p5sp-5vfy.json","data.ny.gov","false",,"Metropolitan Transportation Authority","https://www.mta.info/open-data","OpenData@mtahq.org","Metropolitan Transportation Authority","Long Island Rail Road","OpenData@mtahq.org","Beginning 2019","Monthly","New York City and Long Island","Monthly, safety indicator",,,"https://metrics.mta.info/",
