year,agency,tool_name,tool_desc,purpose_type,purpose_desc,date_first_use,data_training,data_input,data_output,data_2022,identifying_info,analysis_type,computation_type,population_type,population_type_individual,population_type_other,vendor_name,vendor_desc,vendor_2022,updated,updated_desc
2022,Administration for Children's Services,Repeat Maltreatment (RM) model,Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the next 24 months) are based on Machine Learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers. The prediction is made with the assumption that the case is closed the day the model is run.  A prevention case is assigned a numeric likelihood of an indicated investigation based on a New York State Central Register (SCR) within 24 months from the end of a prevention service. This model was formerly known as the Service Terminaton Conference (STC) model and was used by Preventive Services managers to identify whether or not a case should have ACS or provider-agency facilitation at service termination conference.,NA,"The RM model was initially used to prioritize ACS facilitation of prevention termination conferences, so that ACS could be certain that services had been provided in these cases. When a family is ready to exit ACS prevention services, an end of services conference is required (known as a ""Service Termination Conference""). However, Service Termination Conferences are generally no longer facilitated by ACS and this prioritization is no longer necessary.

The RM model is also used to group prevention providers into quartiles to assess their performance in comparison to others in the same quartile, based on the service-need/risk levels of the families they've served during the previous year. This is a retrospective analysis for performance management.",2017/07,NA,NA,NA,"Training data:  ACS trained the model on ACS historic administrative data about closed investigations from July 2009 to December 2015. Training set included about 136,982 observations. The model was tested on closed investigations from January 2016 to December 2017 with 48,771 observations. 

Input data:  Predictions are based on administrative data about prior and current child welfare involvement including SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.",NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Administration for Children's Services,Severe Harm Predictive model,"Predictions of Severe Harm (identifying likelihood of substantiated allegations of physical or sex abuse within the next 24 months) are based on Machine Learning methodology and are calculated for all children involved in active investigations early in the investigation (day 10). An investigation is assigned a numeric likelihood of this outcome based on the child in the case with the highest likelihood. The ACS Quality Assurance unit in the Division of Child Protection reviews about 3,000 active investigations annually, selecting those with the highest likelihood of severe harm. If the Quality Assurance review team identifies gaps in routine, required documentation or practice, the team speaks with the field office conducting the investigation and follows up to make certain these gaps have been addressed. No staff in Quality Assurance unit or in the investigative unit sees the scores. The model only supports the decision about which investigations are prioritized for review by the Quality Assurance unit.",NA,"The Quality Assurance Unit in the Division of Child Protection at ACS has the capacity to review about 3,000 investigation cases out of about 50,000 investigations annually. ACS developed this predictive model to support the selection of cases for Quality Assurance review. Open investigations involving children with the greatest likelihood to experience future severe harm -- substantiated allegations of physical or sex abuse in the following 24 months -- are selected for review. The tool does not support decisions about services or interventions for individuals or families involved with ACS, beyond the selection of the case for this additional Quality Assurance review.",2018/05,NA,NA,NA,"Training data:  ACS trained the model on ACS historic administrative data about closed investigations from January 2013 to March 2014. Training set included about 119,668 observations. The model was tested on closed investigations from April 2014 to December 2014 with 82,331 observations. 

Input data:  Predictions are based on administrative data about prior and current child welfare involvement including investigations triggered by a New York State Central Register (SCR) call and time spent in foster care. Only ACS administrative data are used in the model.",NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Consumer and Worker Protection,Route Automation,"Inspection Supervisor selects an inspector, enters a date and the number of businesses to be inspected, and the geographic area to be considered.  The system identifies businesses in the selected area and assigns them to the route based on inspection priority until the number of businesses entered has been reached.  Then the tool runs a Simulated Annealing Algorithm to optimize the order businesses appear on the route based on proximity and method of travel.",NA,"DCWP inspectors conduct inspections based on a route, or list of businesses to be inspected on a specific day, which must be pre-approved by their supervisor.  The Route Automation tool generates a route for an inspector on a specific date based on configuration variables and geographic area.  All routes generated by the tool still require supervisor review and approval.",2020/07,NA,NA,NA,"Training data:  The tool is not trained in an AI or Machine Learning sense.

The tool makes decisions based on configuration tables, businesses and their licenses and inspection and violation history, and uses a Simulated Annealing Algorithm to optimize the order in which businesses appear on a route.  

Input data:  Inspection date, business category and address, licenses held (if any), last inspection date and type, violation history (if any), date of inspection request or license application/renewal (if applicable), Inspection Unit (of the inspector), and geographic area.",NA,NA,NA,NA,NA,NA,NA,NA,"The tool was designed and built by PruTech, an outside vendor contracted to design and build DCWP's Automated Inspection Management System (AIMS) and its accompanying Mobile Enforcement platform.  The tool is part of the AIMS system.",NA,NA
2022,Department of Corrections,Housing Unit Balancer (HUB),"The HUB is comprised of two functions: (1) a classification tool based on decision trees that determines an individual's propensity for violence, and (2) a housing area risk assessment, which utilizes advanced predictive analytics (i.e., neural networks) to determine optimal housing areas based on the classification scores of people in custody. The primary operational use of the HUB is for the classification score, which is used to track populations and optimize housing arrangements. The last day the department utilized the HUB system for classification purposes was January 31, 2022.",NA,The Housing Unit Balancer (HUB) is used for informing housing decisions made by operational staff designed to produce less conflict in housing areas.,2017/04,NA,NA,NA,"Training data:
Classification function: The training set comprised of over 60,000 records of people in custody and was retrieved in 2014. The test set was comprised of over 4,000 people in custody. These sets were used to create and validate the ultimate solution for the classification scoring of people in custody. Housing Area Risk Assessment function: The training set was incident data for 24 months (01/13-01/15) and the test set was incident data for 6 months (01/15-06/15).

Input data:
Classification function: (1) past institutional conduct, (2) top criminal charge, (3) security risk group affiliation, (4) age, (5) Brad H indicator. Housing Area Risk Assessment function: composition levels of (1) people in custody, (2) security risk group members, (3) security risk groups, (4) housing types, (5) age, (6) length of stay, and (7) duration of stay in housing areas.",NA,NA,NA,NA,NA,NA,NA,NA,The tool was created by McKinsey & Company and implemented in 2017,NA,NA
2022,Department of Health and Mental Hygiene,BioNumerics Division of Disease Control,"BioNumerics is software used to store and analyze sequencing data from bacterial pathogens that are implicated in food outbreaks. In short, bacterial isolates derived from clinical and environmental sources are received by the NYC Public Health Laboratory where they are processed, tested, and ultimately sequenced to identify clusters of disease.",NA,"BioNumerics is used to 1) re-assemble the bacterial genome (since the sequencing process involves fragmenting the bacterial DNA and then amplifying it into millions of pieces) 2) identify the genus, species, and serotype of the bacterial isolate 3) perform quality control checks to ensure the sequence meets certain quality standards 4) perform whole genome multi-locus sequence typing (wgMLST, a technique used to type bacteria based on their genetic code) 5) perform cluster analysis for cases related to one another based upon case definitions recommended by the CDC. This information is then communicated to partners including foodborne epidemiologists at the Bureau of Communicable Disease, who investigate all reported cases of foodborne disease, with those investigations potentially resulting in restaurant inspections, closures, and food recalls.",2017/09,NA,NA,NA,Nucleic acid sequences recovered from pathogen genomes using high throughput sequencing.,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Health and Mental Hygiene,ChoiceMaker (CM) Division of Disease Control,CM is a record-matching tool that identifies duplicate records belonging to the same individual.,NA,CM is used by BOI and Healthy Homes to identify duplicate immunization and lead records. The outputs produced by CM are used in ongoing manual and automated deduplication processes (record merging).,2003/06,NA,NA,NA,"CM uses demographic data (e.g., names, DOB, address, identifiers) and health event data (e.g., date and type of event) from BOI's Citywide Immunization Registry (CIR) and Healthy Homes' LeadQuest registry in its evaluation. The program outputs a series of record pairs and a match probability for each pair.",NA,NA,NA,NA,NA,NA,NA,NA,A vendor was involved in the development of the program initially. CM is now available as an open-source program. The DOHMH implementation is maintained by HLN Consulting.,NA,NA
2022,Department of Health and Mental Hygiene,GATK Division of Disease Control,"A suite of tools for variant calling and filtering after sequence alignment. It uses naive Bayesian to qualify aligned bases as sequence or erroneous data, which would be excluded from the final genomic sequence.",NA,Used to identify mutations and other differences in sequences in microbial genomes. Can be used to determine different characteristics of microbial genomes.,2017/10,NA,NA,NA,"Assembled nucleic acid sequences recovered from pathogen genomes using high throughput sequencing, and quantitative data that represent the quality of the values",NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Health and Mental Hygiene,Improving Foodborne Disease Outbreak Detection by Incorporating Complaints Identified in Social Media Data,"Foodborne disease outbreaks are identified through many mechanisms. Restaurant associated outbreaks are often identified through complaints received via NYC’s 311 non-emergent information system, however not all individuals report to 311. The New York City Department of Health and Mental Hygiene (NYC DOHMH) in collaboration with Columbia University developed a text classifier program which monitors Yelp and Twitter data to identify complaints of foodborne illness, which was supported by grants from the Alfred P Sloan Foundation and the National Science Foundation.  These data are used in addition to complaint data received through NYC’s 311 system to identify and respond to foodborne disease outbreaks.",NA,"The model uses data from Yelp restaurant reviews and Twitter data that is available on Twitter's publicly available API. The classifiers assign a ""sick score"" to each Yelp review or tweet indicating the likelihood that the review or tweet pertains to foodborne illness. The sick score is based on whether the review/tweet contains key words indicative of foodborne illness (""e.g. vomit""); the Yelp classifier also incorporates if the review indicates that multiple people became sick and if the review indicates a time between eating at a restaurant and illness onset (incubation period) that is consistent with foodborne illness. Each review and tweet with a sick score greater than or equal to a threshold value are reviewed and annotated by DOHMH foodborne disease epidemiology and environmental health staff to determine if the review/tweet was actually reporting foodborne illness possibly associated with a NYC restaurant; if yes, Yelp messages are sent to Yelp reviewers, requesting that they contact DOHMH, and a Twitter message with a survey link is tweeted back to Twitter users to confirm foodborne illness. Data from annotations are used to improve classifier performance. Foodborne disease complaints identified through Yelp and Twitter are combined with foodborne disease complaints reported to 311 to improve efficiency of outbreak detection.",2016/11,NA,NA,NA,"Training data was used in the development of both the Yelp and Twitter classifiers. Columbia University provided DOHMH with sample datasets for Yelp reviews and tweets, which were reviewed and annotated by DOHMH staff. For Yelp, training data was focused on the following: 1) if the review indicated foodborne illness, 2) if the incident occurred in the past 30 days, 3) if multiple people were sick and 4) if the incubation period was consistent with foodborne illness. For Twitter, training data was focused on if the tweet was indicating foodborne illness and if the incident occurred in NYC.",NA,NA,NA,NA,NA,NA,NA,NA,"DOHMH staff, including Bureau of Communicable Disease, Office of Environmental Investigations, and Division of Informatics and Information Technology & Telecommunications and Columbia University are involved in making decisions about the tool. Columbia University Department of Computer Science professors and doctoral students maintain the classifier. The project was previously funded by the Alfred P Sloan Grant, for which The Fund for Public Health in New York provided administrative support and grant management to DOHMH. This support and management ended at the completion of the grant in 2021.",NA,NA
2022,Department of Health and Mental Hygiene,IQTREE Division of Disease Control,IQTREE uses maximum-likelihood regression to create phylogenetic trees from genomes.,NA,Produces phylogenetic trees which are used to rule in or out SAR-CoV-2 sequences in outbreaks.,2020/05,NA,NA,NA,Assembled nucleic acid sequences recovered from pathogen genomes using high throughput sequencing as input data to this tool,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Health and Mental Hygiene,kSNP3 Division of Disease Control,"kSNP3 can use multiple algorithms (maximum-likelihood, parsimony, neighbor-joining) to infer phylogenetic trees from genomes.",NA,Produces phylogenetic trees which are used to rule in or out bacteria such as N. meningitidis in outbreaks.,2022/03,NA,NA,NA,Assembled nucleic acid sequences recovered from pathogen genomes using high throughput sequencing as input data to this tool,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
