Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Label Review Manual, Chapter 2: What is a Pesticide? (pdf)",1/19/2021,1/19/2021,EPA 705-G-2020-2942,Pesticide Registration,"This chapter describes what a pesticide is. Note: This guidance document was original published on 3/1/1998, and updated on 1/19/2021. The original guidance document was included in the 2/28/2020 version of the OCSPP guidance list.",https://www.epa.gov/sites/production/files/2021-01/documents/lrm_chapter2_final.pdf
Guidance for Waiving Acute Dermal Toxicity Tests for Pesticide Technical Chemicals & Supporting Retrospective Analysis (pdf),12/31/2020,1/19/2021,EPA 705-G-2020-3722,"FIFRA, pesticides, data requirements",This guidance document follows upon the final dermal waiver guidance published in November 2016 for pesticide formulations. This document expands the potential for data waivers for acute dermal studies to single active ingredient technical chemicals (technical chemicals) used to formulate end user products.,https://www.epa.gov/sites/production/files/2021-01/documents/guidance-for-waiving-acute-dermal-toxicity.pdf
Guidance regarding the Certification of Pesticide Applicators during the COVID-19 Public Health Emergency (pdf),7/27/2020,7/29/2020,EPA 705-G-2020-3719,"FIFRA, Certification of Pesticide Applicators","To help states, tribes, and federal certifying authorities meet both the needs of applicators and the requirements of the Certification of Pesticide Applicators (CPA) rule (40 CFR Part 171) during this COVID-19 PHE, EPA has developed this guidance based on certifying authorities’ input. ​​​​​",https://www.epa.gov/sites/production/files/2020-07/documents/covid-19-ocspp-pesticide-ct-statement_2020-07-27.pdf
Guidance on Satisfying the Annual Pesticide Safety Training Requirement under the Agricultural Worker Protection Standard during the COVID-19 Emergency (pdf),6/18/2020,6/26/2020,EPA 705-G-2020-3700,"FIFRA, pesticides, worker protection","This temporary guidance addresses pesticide safety training of farmworkers and pesticide handlers in agriculture as required by the Agricultural Worker Protection Standard (WPS) (40 CFR 170). EPA is clarifying that pesticide safety training may be presented remotely, provided all of the WPS training requirements are met.",https://www.epa.gov/sites/production/files/2020-06/documents/covid-19-wps-training-2020-06-18-signed.pdf
Statement Regarding Respiratory Protection Shortages and Reduced Availability of Respirator Fit Testing Related to Pesticide Uses Covered by the Agricultural Worker Protection Standard during the COVID-19 Public Health Emergency (pdf),6/1/2020,6/15/2020,EPA 705-G-2020-3699,"Pesticides, FIFRA, worker protection",The EPA has developed this document with the goal of continuing to protect the health of pesticide handlers while acknowledging the challenges that handler employers and pesticide handlers may face with respect to personal protective equipment (PPE),https://19january2021snapshot.epa.gov/sites/static/files/2020-06/documents/covid19statementrespirators.pdf
"Revised Temporary Amendment to Pesticide Registration (PR) Notice 98-10 - Notice to Manufacturers, Producers, Formulators and Registrants of Pesticides Products (pdf)",5/11/2020,6/26/2020,EPA 705-G-2020-3701,"FIFRA, pesticides, disinfectants","The temporary amendment to PRN 98-10, signed May 11, 2020, allows registrants to notify EPA of certain formulation and manufacturing facility changes and immediately release the product for sale without waiting for EPA approval. EPA has taken this action in order to address reports of shortages of active ingredients used in surface disinfectants on EPA’s List N: Disinfectants for Use Against SARS-CoV-2, the virus that causes COVID-19, and to address shortages of food-contact surface sanitizer products used on equipment for food manufacturing and food preparation.",https://www.epa.gov/sites/production/files/2020-05/documents/98-10-temporary-amendment-2020-05-11-signed.pdf
Risk Assessment and Weight-of-the Evidence (WOE): Outcome from Meeting Between the Biopesticide Industry Alliance (BPIA) and EPA’s Office of Pesticide Programs (OPP) (pdf),2/13/2020,2/28/2020,EPA 705-G-2020-3386,Risk Assessment; Weight-of-the-Evidence; Data; Rationale; I-DEEM; Tolerance; Tolerance Exemption; Nonfood Determination; FFDCA,"Outcome from meeting between BPIA and OPP to discuss what data are needed for a risk assessment, what BioDEEM is and when is it triggered, possibility of demonstrating an adequate margin of safety between actual exposure and an effect level, possible regulatory tools to implement a determination of safety, and how much data to present to EPA before an application is submitted. ",https://www.epa.gov/sites/production/files/2020-02/documents/risk-assessment-woe-feb-2020.pdf
Toxics Release Inventory: Federal Facility Reporting Information (pdf),2/1/2020,6/26/2020,EPA 740-B-19-038,Toxics Release Inventory; Federal Facilities,This document provides helpful information unique to federal facilities reporting to TRI.,https://ofmpub.epa.gov/apex/guideme_ext/guideme/file/tri federal facility reporting - february 2020.pdf
Toxics Release Inventory: Form R and Form A Certification Statement Reporting Codes and Instructions for Reporting Metals (pdf),2/1/2020,6/26/2020,EPA 740-B-19-039,Toxics Release Inventory,This document assists industry by summarizing reporting codes and specific instructions for reporting metals for TRI Reporting purposes.,https://ofmpub.epa.gov/apex/guideme_ext/guideme/file/tri guidance for reporting codes and metals - february 2020.pdf
Sample Request for Additional Information to Support a FIFRA Determination Request (pdf),1/27/2020,2/28/2020,EPA 705-G-2020-2559,Microbial Products; Pesticide Determination,"Information sent to stakeholders, who ask EPA to make determinations as to whether their microbial products are pesticides. As these types of requests need to now be submitted under PRIA (as an M009), EPA does its best to provide guidance as to what needs to be submitted for a successful application: (1) complete composition of the product, (2) label and advertising associated with the product, (3) information that shows the microorganism(s) in the product has/have non-pesticidal activity, and (4) confirmation as to whether the microorganism(s) in the product is/are intergeneric or naturally occurring.",https://www.epa.gov/sites/production/files/2020-02/documents/pesticide-determination-requests-microbial-products.pdf
