UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Source Information: Technical Contact,Common Core: Publisher,Common Core: Contact Name,Source Information: Program,Common Core: Contact Email,Source Information: Start Date,Common Core: Public Access Level,Source Information: Frequency of Data Change,Source Information: End Date,Source Information: Format,Source Information: Source Department
cz87-uixy,Lots Cuts October 2011,,David Lessinger,p5hd-q4ij,published,private,not_ready,official,file,Archived,"lower 9,blight",https://data.nola.gov/d/cz87-uixy,https://data.nola.gov/resource/cz87-uixy.json,11/07/2011 10:20:24 PM,02/12/2016 08:44:27 PM,11/07/2011 10:20:24 PM,data.nola.gov,false,505,298,,,,dalessinger@nola.gov,Public Domain,City of New Orleans Code Enforcement & Hearings Bureau,,,,,,,,,data@nola.gov,,,,,,
kdme-fzyh,OPA Calendar,Calendar of Meetings open to the public,Denice Ross,knbi-ixsc,published,private,not_ready,official,dataset,,"opa,calendar",https://data.nola.gov/d/kdme-fzyh,https://data.nola.gov/resource/kdme-fzyh.json,09/23/2011 04:16:17 PM,08/25/2015 10:22:48 PM,12/21/2011 08:57:08 PM,data.nola.gov,false,94,4,,51,5,jpkray@nola.gov,,OPA,http://www.nola.gov/opa,,,,,,,,data@nola.gov,,,,,,
s4ns-ak5d,Addresses,"Site address points represent the location of site or service delivery addresses assigned by local governments. Service provides weekly SiteAddressPoint feature class. Used to standardize addresses across city departments. Uses ESRI Local Government Information schema, and is projected in Louisiana State Plane. Automated updates weekly.",City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,href,Geographic Base Layers,"addresses,new orleans,egis",https://data.nola.gov/d/s4ns-ak5d,,07/08/2016 10:03:38 PM,01/29/2018 09:32:30 PM,07/08/2016 10:03:38 PM,data.nola.gov,false,273,2,Row,,,gis@nola.gov,Creative Commons 1.0 Universal (Public Domain Dedication),,,,,,,,,,data@nola.gov,,,,,,Safety and Permits
fxfr-esgd,C1873117,"This dataset reflects incidents that have been reported to the New Orleans Police Department in 2017. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",RayK,wrtx-shyx,published,private,rejected,community,filter,Public Safety and Preparedness,"crime,police",https://data.nola.gov/d/fxfr-esgd,https://data.nola.gov/resource/fxfr-esgd.json,03/23/2017 05:06:50 PM,01/31/2025 02:52:17 AM,01/01/2018 09:01:49 AM,data.nola.gov,true,3,0,Row,,21,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,bqmt-f3jk,,,,,data@nola.gov,,,,,,Orleans Parish Communication Division (911)
2mq3-p3xc,Code Enforcement Inspections,"Lists all inspections of private property completed by the New Orleans Code Enforcement and Hearings Bureau, with dates, case numbers, addresses, type and result of inspections. Each address has been assigned additional geographic attributes: council district, police district, census tract, inspection district, and neighborhood attributes.",Denice Ross,knbi-ixsc,published,private,not_ready,official,dataset,"Housing, Land Use, and Blight","code enforcement,blight,inspections",https://data.nola.gov/d/2mq3-p3xc,https://data.nola.gov/resource/2mq3-p3xc.json,02/16/2012 07:17:19 PM,03/09/2016 08:45:27 PM,06/19/2012 09:32:55 PM,data.nola.gov,false,16528,567,,23267,32,jpkray@nola.gov,Public Domain,OPA,http://www.nola.gov/opa,,,,,,,,data@nola.gov,,,,,,
gif9-8p84,damage assesment2,"Post-Katrina damage assessment conducted by City inspectors, published by address with breakdown by category. These data formerly supported the ""Damage Assessment Wizard"" web tool. Also see attachment 'DA_Categories' for insight as to how damage was assessed.",mlm2300,4z3j-4n2a,published,private,rejected,community,filter,Archived,"damage,new orleans,katrina",https://data.nola.gov/d/gif9-8p84,https://data.nola.gov/resource/gif9-8p84.json,04/25/2015 09:32:12 PM,04/25/2015 09:32:13 PM,04/03/2013 05:56:48 PM,data.nola.gov,true,2,1,,165564,59,,Creative Commons 1.0 Universal (Public Domain Dedication),"City of New Orleans – Office of Information Technology & Innovation, Enterprise Information Team",,,,aned-jbk9,,,,,,,,,,,"City of New Orleans, Department of Safety and Permits"
m4dk-iby5,Local Historic Districts,"There are 22 local historic districts within New Orleans/Orleans Parish, 18 administered by the New Orleans Historic District Landmarks Commission and four by the Central Business District Historic District Landmarks Commission. Esplanade Ridge and Treme' districts have both Partial and Full control. Testing metadata date",City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,dataset,"Arts, Culture, History","planning,historic district,hdlc",https://data.nola.gov/d/m4dk-iby5,https://data.nola.gov/resource/m4dk-iby5.json,07/09/2021 05:14:49 PM,03/05/2025 09:53:32 PM,07/12/2021 09:39:07 PM,data.nola.gov,false,545,502,,22,3,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,,,,,,,gis@nola.gov,,public,,,,Historic District Landmarks Commission (HDLC)
m3iv-dtcu,DV,"Data Description and Disclaimer
This dataset reflects incidents that have been reported to the New Orleans Police Department in 2015. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",kponder,dfmx-u954,published,private,rejected,community,filter,Public Safety and Preparedness,"police,crime",https://data.nola.gov/d/m3iv-dtcu,https://data.nola.gov/resource/m3iv-dtcu.json,12/01/2015 10:49:23 PM,01/14/2025 10:33:16 PM,07/28/2016 09:21:21 PM,data.nola.gov,true,3,0,,,12,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,w68y-xmk6,,,,,data@nola.gov,,,,,,NOPD
74q8-ae8n,KPI Matrix,,jkray,ck47-rkbr,published,private,not_ready,official,href,,,https://data.nola.gov/d/74q8-ae8n,,09/27/2011 08:17:39 PM,08/25/2015 10:23:54 PM,09/27/2011 08:17:39 PM,data.nola.gov,false,9,3,,,,,,,,,,,,,,,data@nola.gov,,,,,,
jnn4-4d28,Visual Arts and Crafts Businesses,Visual Arts and Crafts Businesses in New Orleans,City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,href,Economy and Workforce,"glass,retail,school,space,studio,ironwork,frame,framing,gallery,restoration,museum,art,arts,clay,conservation,exhibit,fine art",https://data.nola.gov/d/jnn4-4d28,,07/20/2017 07:00:22 PM,01/29/2018 09:04:56 PM,07/20/2017 07:00:22 PM,data.nola.gov,false,33,0,,,,gis@nola.gov,Creative Commons 1.0 Universal (Public Domain Dedication),Mayor's Office of Cultural Economy,,,,,,,,,gis@nola.gov,,,,,,Cultural Economy
