#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
10574,Runtime Infrastructure,Bug,New,Urgent,contextlocal cross-dependencies,"",10/03/2025 04:43 AM
10962,Database,Bug,New,High,[Regression] Optimized multi-table compound components are not invalidated,"",12/03/2025 08:29 AM
6503,Database,Bug,New,High,READ-XML automatically populates fields from NESTED relations,"",06/08/2022 04:55 AM
8249,Database,Bug,New,Normal,Introduce a fast fill method to optimize Dataset.fill,Alexandru Donica,03/27/2024 11:39 AM
7788,Database,Bug,New,Normal,NPE when assigning query to browse,Alexandru Lungu,02/26/2026 03:15 AM
7319,Database,Bug,New,Normal,Fix adaptive query test suite from testcases,Alexandru Lungu,08/22/2023 05:12 AM
9896,Database,Bug,New,Normal,Record reference count should account for dirty records,Alexandru Lungu,04/14/2025 07:36 AM
4130,User Interface,Bug,New,Normal,FWD truncates decimal part instead of rounding when displaying,Alexei Kaigorodov,08/02/2021 05:39 AM
3691,User Interface,Bug,New,Normal,literal $ character in format appears on the right side of the fill-in,Alexei Kaigorodov,08/08/2019 05:22 PM
3723,User Interface,Bug,New,Normal,Pressing ESC key twice doesn't allow the web client to log out properly,Alexei Kaigorodov,06/17/2019 09:16 AM
9702,Database,Bug,New,Normal,BaseRecord.getDirtyIndices is slow,Artur ?colnic,02/25/2025 07:04 AM
4825,Database,Bug,New,Normal,OutputTableHandleCopier dynamically defines destination temp-table,Constantin Asofiei,10/20/2020 01:21 PM
2727,User Interface,Bug,New,Normal,fill-in text selection is broken,Constantin Asofiei,11/16/2016 12:23 PM
2356,Conversion Tools,Bug,New,Normal,pphints bug - nested includes are missing from the.pphints file,Constantin Asofiei,04/27/2017 12:40 PM
5150,User Interface,Bug,New,Normal,killing the web page for the web client should raise the equivalent of a window-close event,Constantin Asofiei,01/13/2022 10:57 AM
7178,Conversion Tools,Feature,New,Normal,move the buffer scoping calculations to parse time,Constantin Asofiei,03/20/2026 04:57 AM
2728,User Interface,Bug,New,Normal,MOUSE_RELEASED/CLICKED needs to use the same source as the initial MOUSE_PRESSED event,Constantin Asofiei,11/16/2016 12:23 PM
6252,Conversion Tools,Feature,New,Normal,cleanup of p2j.cfg.xml,Constantin Asofiei,02/28/2024 09:43 AM
3558,Base Language,Feature,New,Normal,"SEARCH(""<program_name>.r"") should return a value when there is a converted 4GL program that would match in the original system",Constantin Asofiei,05/25/2018 10:28 AM
5111,Base Language,Support,New,Normal,TempTableSchema & BufferField,Constantin Asofiei,01/29/2021 08:28 PM
2766,User Interface,Bug,New,Normal,implement a text metrics server process,Constantin Asofiei,12/28/2017 11:13 AM
6857,Testing,Support,New,Normal,rework existing testcases to easily convert and execute specific project subsets,Constantin Asofiei,02/27/2025 07:24 AM
