"agency","related_agencies","headline","subheadline","publish_date","publish_year","city","state","header_content","content","footer_content","category_tags","social_media_tagline","ispinned","isarchived","contact1","contact2","contact3","contact4","contact5","date_expire","date_entered","entered_by","date_last_modified","last_modified_by","category_tag1","category_tag2","category_tag3","category_tag4","category_tag5","content2","content3","content4","content5"
"State Library of Oregon",,"Oregon Center for the Book Announces 2023 Titles to Represent Local Heritage",,"2023-05-31T00:00:00.000","2023","Salem","OR",,"The Oregon Center for the Book has selected three books for 2023 as being representative of Oregon’s local literary heritage. The titles chosen are:

Children’s/Middle Grade Title: Sir Fig Newton and the Science of Persistence by Sonja Thomas
Young Adult Title: Little Monarchs by Jonathan Case
Adult Title: The Day I Die: The Untold Story of Assisted Suicide by Anita Hannig

During the 2023 National Book Festival, on Saturday, Aug. 12, at the Washington Convention Center, representatives from the 50 states, the District of Columbia, Puerto Rico, the U.S. Virgin Islands, American Samoa, Guam and Northern Marianas will staff tables to promote their book selections and other literary works reflective of their unique locations. The area at the convention center where the 56 tables will be assembled is called the Roadmap to Reading. This activity has been a part of the festival since 2002.  

The Oregon Center for the Book is one of 56 Affiliates of the Library of Congress and its Center for the Book and is the first Talking Book and Braille Library in the nation to serve in this role. 

The Center for the Book in the Library of Congress is a community of 56 Affiliated Centers, promoting reading, libraries and literacy through the Library of Congress and its Affiliated Centers across the country.","{
  ""Photos"": [
    {
      ""FileName"": ""Second Floor.jpg"",
      ""Url"": ""https://data.oregon.gov/views/j8eb-8um2/files/d001fddd-d778-42a8-b111-43ee8dab509b?download=true&filename=Second Floor.jpg"",
      ""ThumbUrl"": ""https://data.oregon.gov/views/j8eb-8um2/files/ca2d72d3-244b-4ef2-b3ce-798531455de3?download=true&filename=Second Floor_thumb.jpg""
    }
  ],
  ""Videos"": [],
  ""Audios"": []
}","Arts & Culture",,,,,,,,,,"2023-05-31T15:17:23.000","Sadie Verville","2023-05-31T15:17:23.000","Sadie Verville","Arts & Culture",,,,,,,,
"State Library of Oregon",,"State Library Publishes 13 Years’ Worth of Public Library Data",,"2023-06-27T00:00:00.000","2023","Salem","OR",,"The State Library of Oregon is pleased to announce its participation in the state's Open Data Program with its recent publication of the Oregon Public Library Statistics dataset. By giving the public and local libraries access to this information, the State Library hopes to increase transparency and accountability and create an opportunity to build stronger relationships among library users, library funders, and the libraries themselves. 

This dataset presents 13 years of longitudinal data on public libraries in a single place and will be updated annually as new statistics are collected each year.

The Public Library Statistical Report is an annual survey sent to all public libraries in Oregon to collect data about library use, collections, programs, operations, and more. The data includes elements such as material checkouts, electronic resource use, program attendance, budgets, staffing, WiFi and computer access, and facility information for every public library location in the state. Libraries, policymakers, and the State Library use this information to help improve library services for all people of Oregon.

Ross Fuqua, the State Library’s Data & Digital Projects Consultant, has diligently prepared these statistics for the Oregon Open Data Portal, a new, legislatively mandated initiative coordinated by the State Government’s Chief Data Officer. At 168 discrete data points per each of the approximately 135 libraries across the state per year, there are over 300,000 discrete data points in this new dataset. This dataset is now officially published on the open portal and is completely accessible to the public. 

Increasing public access to this data and enhancing discoverability achieves the State Library’s strategic initiative to align data dissemination and access efforts with state open data initiatives. Not only do these open datasets provide more government transparency for the people of Oregon, they are also available on a national level for researchers to use to inform their work in evaluating public library services. One national news organization has already used the Oregon Public Library Statistics to inform their research on public computer usage, which came out only a week after the dataset had been published.

Having the Oregon Public Library Statistics on the Oregon Open Data Portal also enhances ease of access for libraries to access their own information. Using the Oregon Public Library Snapshot page, which is connected to this open portal, libraries can get a high-level visual snapshot of their services, such as charts displaying library cardholders vs. non-cardholders in their districts, types of materials checked out, revenue, and more. The State Library has plans to create additional tools and data visualizations like the Snapshot in the near future, which will allow libraries to continue improving their services in their own communities.

For any questions, please contact Ross Fuqua, Data & Digital Projects Consultant, at ross.fuqua@slo.oregon.gov. 

Links:
Oregon Public Library Statistics: https://data.oregon.gov/dataset/Oregon-Public-Library-Statistics/8zw7-zgjw
Oregon's Open Data Portal information: https://data.oregon.gov/stories/s/xr2x-d2d7
National news article on public library computer usage: https://www.govtech.com/biz/data/are-public-computers-in-libraries-becoming-obsolete
State Library strategic plan: https://www.oregon.gov/library/operations/Documents/State%20Library%20Strategic%20Plan%20-%20full%20version%20revised%20Jan%202021.pdf","{
  ""Photos"": [
    {
      ""FileName"": ""open data.jpg"",
      ""Url"": ""https://data.oregon.gov/views/j8eb-8um2/files/0fc2bd0c-dbf5-4f8d-a468-ab72de07945d?download=true&filename=open data.jpg"",
      ""ThumbUrl"": ""https://data.oregon.gov/views/j8eb-8um2/files/8409e780-e7e2-4e3b-88f6-b2d2ff2382fe?download=true&filename=open data_thumb.jpg""
    }
  ],
  ""Videos"": [],
  ""Audios"": []
}","Consumer Information,Improving Government,Transparency",,,,,,,,,,"2023-06-27T15:04:34.000","Sadie Verville","2023-06-27T15:04:34.000","Sadie Verville","Consumer Information","Improving Government","Transparency",,,,,,
"State Library of Oregon",,"State Library Highlights Adoption of Homosaurus",,"2023-06-30T00:00:00.000","2023","Salem","OR",,"The State Library of Oregon is pleased to highlight its adoption of Homosaurus, an international database of LGBTQ+ terms, as a means of enhancing catalog records. This database acts as a companion to broad subject term vocabularies, such as the Library of Congress Subject Headings (LCSH). Using this database increases the discoverability of LGBTQ+ records in our collections and makes them more accessible to digital audiences everywhere.
Below are some examples of records in our catalog that have been enhanced based on information from Homosaurus:
Date	Title	LCSH	Homosaurus
2023	Supporting LGBTQ2SIA+ students in Oregon 	Sexual minority students	LGBTQ+ youth
2008	Registering births under Oregon's domestic partnership law: fast facts	Same-sex parents	Domestic partnerships 
LGBTQ+ parents
1988	Living the spirit: a gay American Indian anthology	Indian gays 
Indian lesbians	Indigenous LGBTQ+ people 
Native American LGBTQ+ people 

The State Library is here to support any Oregon libraries who have questions or are looking to incorporate Homosaurus into their collections.
For any questions, please contact Heather Pitts at heather.pitts@slo.oregon.gov.","{
  ""Photos"": [
    {
      ""FileName"": ""homosaurus.png"",
      ""Url"": ""https://data.oregon.gov/views/j8eb-8um2/files/4ad04319-eb09-4bf8-9dfa-d4651b0001ca?download=true&filename=homosaurus.png"",
      ""ThumbUrl"": ""https://data.oregon.gov/views/j8eb-8um2/files/a26929a8-9914-428f-90fb-9465512e0a8a?download=true&filename=homosaurus_thumb.png""
    }
  ],
  ""Videos"": [],
  ""Audios"": []
}","Arts & Culture,Equality & Diversity,Improving Government,Transparency",,,,,,,,,,"2023-06-30T15:09:38.000","Sadie Verville","2023-06-30T15:09:38.000","Sadie Verville","Arts & Culture","Equality & Diversity","Improving Government","Transparency",,,,,
"State Library of Oregon",,"State Library of Oregon Board Meeting, October 13, 2023",,"2023-09-29T00:00:00.000","2023","Salem","OR",,"FOR IMMEDIATE RELEASE
 

250 Winter St. NE Salem, OR 97301
503-378-4243
www.oregon.gov/library
 


Salem, Ore – The State Library Board will meet from 9:00 a.m. to 12:00 p.m. on Friday, October 13, 2023 in the Auditorium of the St. Helens Public Library, 375 South 18th Street, Suite A, St. Helens, Oregon 97051. This is a public meeting; those who would like to attend should contact Ashley Wilsey at ashley.wilsey@slo.oregon.gov.
Question or concerns can be addressed to Wendy Cornelisen, State Librarian at 503-378-4367 or wendy.cornelisen@slo.oregon.gov.



STATE LIBRARY BOARD MEETING
October 13, 2023  Greg Williams, Chair
Agenda

9:00 a.m.	Approval of the Minutes – August 11, 2023 Meeting	Williams
9:05	Reports of Board Chair & Members	Williams
9:40	Report of the State Librarian	Cornelisen
9:55	Budget Planning	Cornelisen
10:05	Quarterly Statistics & Annual Performance Progress Report	Cornelisen
10:20	Ready to Read Grants	Bergquist
10:30	Public Comment**	
10:35	Break	
10:45	Oregon Intellectual Freedom Clearinghouse Report	Ottum
11:00	LSTA Bylaws Update	Ottum
11:10	Annual Strategic Report	Cornelisen
11:40	Bylaws Revision	Williams
11:50	Board Logistics	Williams
12:00	Adjournment	Williams


** Any person may address the State Library Board at this meeting on any topic.


NOTE: The times of all agenda items are approximate and subject to change.



Sign language interpretation will be provided for the public if requested 48 hours before the meeting; notice 72 hours before the meeting is preferred. Handouts of meeting materials may also be requested in alternate formats 72 hours before the meeting. Requests may be made to Ashley Wilsey at ashley.Wilsey@slo.oregon.gov.

The State Library of Oregon cultivates, preserves, and delivers library and information services to foster lifelong learning and community engagement.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Media Advisory / Event,Other",,,,,,,,,,"2023-09-29T13:41:55.000","Ashley Wilsey","2023-09-29T13:41:55.000","Ashley Wilsey","Media Advisory / Event","Other",,,,,,,
"State Library of Oregon",,"Answerland Advisory Committee Meeting 10/20/23",,"2023-09-29T00:00:00.000","2023","Salem","OR",,"Contact:	Wendy Cornelisen
State Librarian
503-378-4367

September 29, 2023 

FOR IMMEDIATE RELEASE

Salem, Ore - The Answerland Advisory Committee (AAC) will meet on Friday, October 20, 2023 from 10:00am to 11:30am Pacific Time online. This is a public meeting; those who would like to attend should contact Jennifer Cox (971-600-4992 or jennifer.cox@slo.oregon.gov).
The AAC advises the State Library and the Library Services and Technology Act (LSTA) Advisory Council on Answerland, and its membership is drawn from all areas of the state and representing the public, school, academic, tribal and special libraries that use or provide service for Answerland. 

Questions or concerns can be addressed to Jennifer Cox (971-600-4992 or jennifer.cox@slo.oregon.gov).

Sign language interpretation will be provided for the public if requested 48 hours before the meeting; notice 72 hours before the meeting is preferred. Handouts of meeting materials may also be requested in alternate formats 72 hours before the meeting. Requests may be made to Jennifer Cox (971-600-4992 or jennifer.cox@slo.oregon.gov).

AGENDA 
10:00	Welcome/Introductions
10:15	Review agenda, approve minutes, and review action items 
10:20 	Open Forum*
10:35 	Updates from the Coordinator
11:00 	Quality Team updates
11:25 	Wrap up and action item review
11:30	Adjourn

*Any person may address the Answerland Advisory Committee at this meeting on any topic.
 
NOTE: The times of all agenda items are approximate and subject to change.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Media Advisory / Event,Other",,,,,,,,,,"2023-09-29T14:09:48.000","Ashley Wilsey","2023-09-29T14:09:48.000","Ashley Wilsey","Media Advisory / Event","Other",,,,,,,
"State Library of Oregon",,"LSTA Advisory Council Meeting, 11/2/23",,"2023-10-16T00:00:00.000","2023","Salem","OR",,"October 16, 2023

FOR IMMEDIATE RELEASE

Salem, Ore - Oregon’s Library Services and Technology Act (LSTA) Advisory Council will meet virtually, Thursday, November 2, 2023. The online meeting will begin at 11:00 a.m. This is a public meeting; those who would like to attend should contact Tamara Ottum (tamara.ottum@slo.oregon.gov, 971-375-3543).

The Council will use this time to conduct Council business, hear reports of subcommittees, and review grant reports. Questions or concerns can be addressed to Buzzy Nielsen (buzzy.nielsen@slo.oregon.gov, 971-375-3486).

Sign language interpretation will be provided for the public if requested 48 hours before the meeting; notice 72 hours before the meeting is preferred. Handouts of meeting materials may also be requested in alternate formats 72 hours before the meeting. Requests may be made to Tamara Ottum (tamara.ottum@slo.oregon.gov, 971-375-3543).","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}",,,,,,,,,,,"2023-10-16T11:38:40.000","Ashley Wilsey","2023-10-16T11:38:40.000","Ashley Wilsey",,,,,,,,,
"State Library of Oregon",,"Statewide Database Licensing Advisory Committee Meeting, 11/6/23",,"2023-10-25T00:00:00.000","2023","Salem","OR",,"October 25, 2023

FOR IMMEDIATE RELEASE

Salem, Ore. - The Statewide Database Licensing Advisory Committee (SDLAC) will meet on Monday, November 6, 2023, from 3 p.m. to 4:30 p.m. online. This is a public meeting; those who would like to attend should contact Arlene Weible at arlene.weible@slo.oregon.gov. The agenda is included.

The SDLAC advises the State Library and the Library Services and Technology Act (LSTA) Advisory Council on the Statewide Database Licensing Program. Committee membership represents school, public, tribal, and academic libraries. The current member list is available at: www.oregon.gov/Library/libraries/Pages/SDLAC.aspx.

Sign language interpretation will be provided for the public if requested 48 hours before the meeting; notice 72 hours before the meeting is preferred. Handouts of meeting materials may also be requested in alternate formats 72 hours before the meeting. Requests may be made to Arlene Weible at arlene.weible@slo.oregon.gov.

Statewide Database Licensing Advisory Committee Meeting
State Library of Oregon – Virtual Meeting 
November 6, 2023

Agenda 

3:00 pm	Welcome and introductions (Weible)
3:15 pm	Review agenda and approve meeting minutes from May 18, 2023 (Trott)
3:20 pm	Review action items from last meeting and other updates (Weible)
3:45 pm	Discussion of program scope and goals (Weible)
4:20 pm 	Action Item review (Weible)
4:30 pm 	Adjourn

*Any person may address the Statewide Database Licensing Advisory Committee at this meeting on any topic. 
NOTE: The times of all agenda items are approximate and subject to change.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}",,,,,,,,,,,"2023-10-25T08:23:15.000","Ashley Wilsey","2023-10-25T08:23:15.000","Ashley Wilsey",,,,,,,,,
"State Library of Oregon",,"Reference Coordinating Council Meeting, 11/14/2023",,"2023-11-03T00:00:00.000","2023","Salem","OR",,"Contact: Wendy Cornelisen  
State Librarian  
wendy.cornelisen@slo.oregon.gov, 971-375-3992 
 
November 3, 2023
 
FOR IMMEDIATE RELEASE 
Salem, Ore - Oregon’s Reference Coordinating Council will meet virtually, Tuesday, November 14, 2023. The online meeting will begin at 8:15 a.m. This is a public meeting; those who would like to attend should contact Wendy Cornelisen (wendy.cornelisen@slo.oregon.gov, 971-378-4367).  
 
The Council will use this time to conduct Council business. Questions or concerns can be addressed to Wendy Cornelisen (wendy.cornelisen@slo.oregon.gov, 971-375-3992). 
 
Sign language interpretation will be provided for the public if requested 48 hours before the meeting; notice 72 hours before the meeting is preferred. Handouts of meeting materials may also be requested in alternate formats. Requests may be made to Wendy Cornelisen (wendy.cornelisen@slo.oregon.gov, 971-378-4367).","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}",,,,,,,,,,,"2023-10-03T13:22:46.000","Ashley Wilsey","2023-11-03T15:00:39.000","Ashley Wilsey",,,,,,,,,
"Secretary of State",,"Secretary of State Bev Clarno Issues Statement Regarding USPS",,"1999-08-14T00:00:00.000","1999","Salem","OR",,"On July 31, Secretary of State Bev Clarno received a letter from the United States Postal Service (USPS) General Counsel, as did elections officials across the country: https://content.govdelivery.com/attachments/ORSOS/2020/08/14/file_attachments/1518703/20200804104908581.pdf

In light of the letter and a number of questions and concerns about how this may affect vote by mail, the Secretary has issued the following statement:

“Fortunately, Oregon has two decades of experience working with our local contacts at the United States Postal Service and has an excellent partnership with them to ensure ongoing support for our elections. We will of course continue to work with them and monitor any potential impact to both the mailing out of ballots to voters and the return of ballots. We at the state level are meeting with our USPS partners to ensure we are ready for November. The USPS recognizes that Oregon leads the nation with Vote by Mail and that we are using the latest USPS technology to streamline the process.

If any Oregon voter is concerned about the upcoming election, there are multiple steps they can take to ensure their ballot is received in time to be counted. Every ballot has a unique barcode so voters can track their ballot on [our My Vote website.](https://sos.oregon.gov/voting/Pages/myvote.aspx
) We also encourage voters to take advantage of the hundreds of conveniently located dropsites throughout the state to drop off their ballot in person. We will continue to work with our partners like county clerks across the state to make sure all Oregonians know the best options to return their ballots, whether it’s through the mail or in secure drop boxes to meet election deadlines.”","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2020-08-17T09:12:00.000","Emma Snodgrass","2020-09-03T17:11:00.000","Shawn Amsberry","Elections & Voting",,,,,,,,
"Secretary of State",,"Secretary of State Bill Bradbury Announces Measure Numbers for November 2006 Election",,"2006-08-04T00:00:00.000","2006","Salem","OR",,"Secretary of State Bill Bradbury announced today that measure numbers have been assigned to the initiative petitions that have qualified for the November 7, 2006, General Election ballot. They are:

Measure #39 Prohibits public body from condemning private real property if it intends to convey to private party

Measure #40 Amends Constitution: Requires Oregon Supreme Court Judges and Court of Appeals Judges to be elected by district

Measure #41 Allows income tax deduction equal to federal exemptions deduction to substitute for state exemption credit

Measure #42 prohibits insurance companies from using credit score or ""credit worthiness"" in calculating rates or premiums

Measure #43 Requires 48-hour notice to unemancipated minor's parent before providing abortion; authorizes lawsuits, physician discipline

Measure #44 Allows any Oregon resident without prescription drug coverage to participate in Oregon Prescription drug program

Measure #45 Amends Constitution: Limits state legislators: six years as representative, eight years as senator, fourteen years in legislature

Measure #46 Amends Constitution: Allows laws regulating election contributions, expenditures adopted by initiative or 3/4 of both legislative houses

Measure #47 Revises campaign finance laws; limits or prohibits contributions and expenditures; adds disclosure, new reporting requirements

Measure #48 Amends Constitution: Limits biennial percentage increase in state spending to percentage increase in state population, plus inflation

For additional information regarding these measures, please visit our website at: [oregonvotes.gov](https://sos.oregon.gov/voting-elections/Pages/default.aspx)","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2018-11-21T10:41:00.000","Emma Snodgrass","2018-11-21T10:41:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
