Authors,Year,Title,Journal,DOI,Abstract,"Additional Link URL",Keywords,"PMID Number","Link to PubMed page","Citation Information","ISSN Number"
"Bakhireva LN, Ma X, Psaras C, Brtek V, Sullivan EL, Bogdan R, Chaiyachati BH, Chambers CD, Bandoli G, Croff JM",2026,"Substance use patterns among individuals who consume alcohol during pregnancy: Results from a US multi-site study.","Drug and alcohol dependence",10.1016/j.drugalcdep.2026.113101,"Prenatal alcohol exposure (PAE) is common and associated with adverse outcomes, yet the impact of concurrent substance use remains poorly understood. Using HEALthy Brain and Child Development (HBCD) data (n = 1426), we described alcohol use patterns-with and without other substances-and examined factors associated with alcohol use in pregnancy.
",,"Polysubstance use, Prenatal alcohol, Prospective cohort, Social determinants",41797178,https://pubmed.ncbi.nlm.nih.gov/41797178,"Bakhireva LN, Ma X, Psaras C, Brtek V, Sullivan EL, Bogdan R, Chaiyachati BH, Chambers CD, Bandoli G, Croff JM. Substance use patterns among individuals who consume alcohol during pregnancy: Results from a US multi-site study. Drug and alcohol dependence. 2026/02/28. 10.1016/j.drugalcdep.2026.113101. PMID: 41797178. ",1879-0046
"Valdes V, Sacks DD, Nelson CA",2025,"Latent profiles of maternal psychopathology and risk for lifetime/perinatal substance use: Findings from the HBCD study.","Journal of affective disorders",10.1016/j.jad.2025.121043,"Existing research on perinatal psychopathology has often focused on categorical disorders, overlooking the high prevalence of comorbidity and polysubstance use. The current study aims to identify distinct profiles of perinatal psychopathology and substance use, explore socioeconomic influences on psychopathology presentations, and characterize patterns of substance exposure (lifetime/perinatal) across psychopathology profiles.
",,"Maternal psychopathology, Perinatal, Profiles, Socioeconomic, Substance use",41455530,https://pubmed.ncbi.nlm.nih.gov/41455530,"Valdes V, Sacks DD, Nelson CA. Latent profiles of maternal psychopathology and risk for lifetime/perinatal substance use: Findings from the HBCD study. Journal of affective disorders. 2025/12/25. 10.1016/j.jad.2025.121043. PMID: 41455530. ",1573-2517
"Poehlmann J, Johnson EI, Ossorio PN, Highsmith K, Harden BJ, Terplan M, Sanjuan PM, McKelvey L, Coles CD, Chaiyachati BH, Walker HP, Shlafer R, Pritzl K, Krishnan CA, Averill S, Das S, Torres-Gomez S, Hilliard F, Gannon B, Thompson WK",2025,"Retaining infants and young children who experience transitions in care in longitudinal studies of child health and development: Considerations from the HEALthy Brain and Child Development study.","Infant mental health journal",10.1002/imhj.70057,"A transition in care (TIC) is a significant change in the primary adults who provide care for a child, involving a move to informal or formal non-parental care, including kinship and foster care. In this paper, we address three issues: (1) the theoretical and empirical reasons for retaining infants and children who experience TIC in longitudinal studies of child health and development; (2) the import of retaining infants and children who experience TIC in studies focusing on parental substance use; and (3) methodological strategies for following children with TIC. We discuss the HEALthy Brain and Child Development (HBCD) study as an example of how a large prospective longitudinal cohort study can retain children who experience TIC, describing strategies such as: (1) documenting the frequency and contexts of these transitions and their associations with child health, mental health, and neurodevelopment; (2) attending to consent and mandated reporting requirements; (3) being sensitive to state child welfare policies and practices; (4) addressing retention challenges; (5) focusing on issues related to diversity, equity, and inclusion; and (6) establishing methods that document transitions and flexibly follow children as they grow older.
",,"foster care, kinship care, non‐parental care, substance use, transitions in care",41298229,https://pubmed.ncbi.nlm.nih.gov/41298229,"Poehlmann J, Johnson EI, Ossorio PN, Highsmith K, Harden BJ, Terplan M, Sanjuan PM, McKelvey L, Coles CD, Chaiyachati BH, Walker HP, Shlafer R, Pritzl K, Krishnan CA, Averill S, Das S, Torres-Gomez S, Hilliard F, Gannon B, Thompson WK. Retaining infants and young children who experience transitions in care in longitudinal studies of child health and development: Considerations from the HEALthy Brain and Child Development study. Infant mental health journal. 2025/11/26. 10.1002/imhj.70057. PMID: 41298229. ",1097-0355
"Filippi CA, Massera A, Xing J, Martinez Agulleiro L",2025,"Early-life neural correlates of behavioral inhibition and anxiety risk.","Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology",10.1038/s41386-025-02235-8,"This review showcases the ways that studying the neural basis of Behavioral Inhibition (BI) and maternal anxiety in infancy has advanced our understanding of the developmental pathophysiology of anxiety. We demonstrate that infants with BI and those who have been exposed to maternal anxiety/stress exhibit differences in neural processes associated with bottom-up attention and top-down control, both when we measure the brain at rest and when we measure the brain during stimulus processing. Differences in infant stimulus processing are particularly robust-not only do they emerge in at-risk infants, but they also shape risk trajectories from infancy through adolescence. Throughout this review, we underscore the value in a focus on infancy and early childhood. We also point to several key future directions for this work, including prioritizing a longitudinal, multi-modal approach for studying neurobehavioral profiles of early-life risk. Together, this work demonstrates that neural processes involved in attention and control are central to BI and early-life risk for anxiety across the lifespan.
",,,41044383,https://pubmed.ncbi.nlm.nih.gov/41044383,"Filippi CA, Massera A, Xing J, Martinez Agulleiro L. Early-life neural correlates of behavioral inhibition and anxiety risk. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology. 2025/10/04. 10.1038/s41386-025-02235-8. PMID: 41044383. ",1740-634X
"Feczko E, Stoyell SM, Moore LA, Alexopoulos D, Bagonis M, Barrett K, Bower B, Cavender A, Chamberlain TA, Conan G, Day TKM, Goradia D, Graham A, Heisler-Roman L, Hendrickson TJ, Houghton A, Kardan O, Kiffmeyer EA, Lee EG, Lundquist JT, Lucena C, Martin T, Mummaneni A, Myricks M, Narnur P, Perrone AJ, Reiners P, Rueter AR, Saw H, Styner M, Sung S, Tiklasky B, Wisnowski JL, Yacoub E, Zimmermann B, Smyser CD, Rosenberg MD, Fair DA, Elison JT",2025,"Baby Open Brains: An open-source dataset of infant brain segmentations.","Scientific data",10.1038/s41597-025-05404-y,"Reproducibility of neuroimaging research on infant brain development remains limited due to highly variable processing approaches. Progress towards reproducible pipelines is limited by a lack of benchmarks such as gold-standard brain segmentations. These segmentations are limited by the difficulty of infant brain segmentations, which require extensive neuroanatomical knowledge and are time-consuming in nature. Addressing this, we constructed the Baby Open Brains (BOBs) Dataset, an open source resource of manually curated and expert reviewed infant brain segmentations. Anatomical MRI data was segmented from 71 infant imaging visits across 51 participants, using both T1w and T2w images per visit. Images showed dramatic differences in myelination and intensities across 1-9 months, emphasizing the need for densely sampled gold-standard segmentations across early life. This dataset provides a benchmark for evaluating and improving pipelines dependent upon segmentations in the youngest populations. As such, this dataset provides a vitally needed foundation for early-life large-scale studies such as HBCD.
",,,40813378,https://pubmed.ncbi.nlm.nih.gov/40813378,"Feczko E, Stoyell SM, Moore LA, Alexopoulos D, Bagonis M, Barrett K, Bower B, Cavender A, Chamberlain TA, Conan G, Day TKM, Goradia D, Graham A, Heisler-Roman L, Hendrickson TJ, Houghton A, Kardan O, Kiffmeyer EA, Lee EG, Lundquist JT, Lucena C, Martin T, Mummaneni A, Myricks M, Narnur P, Perrone AJ, Reiners P, Rueter AR, Saw H, Styner M, Sung S, Tiklasky B, Wisnowski JL, Yacoub E, Zimmermann B, Smyser CD, Rosenberg MD, Fair DA, Elison JT. Baby Open Brains: An open-source dataset of infant brain segmentations. Scientific data. 2025/08/14. 10.1038/s41597-025-05404-y. PMID: 40813378. ",2052-4463
"Chen Y, Jarecka D, Abraham SA, Gau R, Ng E, Low DM, Bevers I, Johnson A, Keshavan A, Klein A, Clucas J, Rosli Z, Hodge SM, Linkersdörfer J, Bartsch H, Das S, Fair D, Kennedy D, Ghosh SS",2025,"Standardizing Survey Data Collection to Enhance Reproducibility: Development and Comparative Evaluation of the ReproSchema Ecosystem.","Journal of medical Internet research",10.2196/63343,"Inconsistencies in survey-based (eg, questionnaire) data collection across biomedical, clinical, behavioral, and social sciences pose challenges to research reproducibility. ReproSchema is an ecosystem that standardizes survey design and facilitates reproducible data collection through a schema-centric framework, a library of reusable assessments, and computational tools for validation and conversion. Unlike conventional survey platforms that primarily offer graphical user interface-based survey creation, ReproSchema provides a structured, modular approach for defining and managing survey components, enabling interoperability and adaptability across diverse research settings.
",,"FAIR, data collection, findability, accessibility, interoperability, and reusability, reproducibility, schema, survey",40644691,https://pubmed.ncbi.nlm.nih.gov/40644691,"Chen Y, Jarecka D, Abraham SA, Gau R, Ng E, Low DM, Bevers I, Johnson A, Keshavan A, Klein A, Clucas J, Rosli Z, Hodge SM, Linkersdörfer J, Bartsch H, Das S, Fair D, Kennedy D, Ghosh SS. Standardizing Survey Data Collection to Enhance Reproducibility: Development and Comparative Evaluation of the ReproSchema Ecosystem. Journal of medical Internet research. 2025/07/11. 10.2196/63343. PMID: 40644691. ",1438-8871
"Prestayko N, Ossorio PN, Fisher A, Menon N, Downs DS, Yerby LG, Zgierska AE",2025,"Presence of Institutional Guidance on Research-Related Transportation Could Help Reduce Barriers to and Disparities in Research Engagement.","Journal of clinical and translational science",10.1017/cts.2025.10052,"Lack of reliable, affordable transportation is a common barrier to clinical research participation, potentially contributing to health disparities. Insufficient and/or nonexistent institutional policies on research-related transportation make it challenging for research teams to effectively overcome transportation barriers and promote research participation among people from disadvantaged backgrounds. This study&#8217;s goal was to review research-related transportation policies across clinical research-involved institutions and propose recommendations for what such policies should address to help promote research engagement among diverse, representative populations.
",,"Transportation, recruitment, research engagement, research participation, retention",40599178,https://pubmed.ncbi.nlm.nih.gov/40599178,"Prestayko N, Ossorio PN, Fisher A, Menon N, Downs DS, Yerby LG, Zgierska AE. Presence of Institutional Guidance on Research-Related Transportation Could Help Reduce Barriers to and Disparities in Research Engagement. Journal of clinical and translational science. 2025/05/26. 10.1017/cts.2025.10052. PMID: 40599178. ",2059-8661
"Edwards RC, Planalp EM, Bosquet Enlow M, Akshoomoff N, Bodison SC, Brennan MB, Ciciolla L, Eiden RD, Fillipi CA, Gustafsson HC, McKelvey LM, Morris AS, Peralta-Carcelén M, Poehlmann J, Wakschlag LS, Wilson S",2025,"Erratum to ""Capturing the complexity of child behavior and caregiver-child interactions in the HEALthy Brain and Child Development (HBCD) Study using a rigorous and equitable approach"" [Dev. Cognit. Neurosci. 69 (2024) 101422].","Developmental cognitive neuroscience",10.1016/j.dcn.2025.101571,,,,40413104,https://pubmed.ncbi.nlm.nih.gov/40413104,"Edwards RC, Planalp EM, Bosquet Enlow M, Akshoomoff N, Bodison SC, Brennan MB, Ciciolla L, Eiden RD, Fillipi CA, Gustafsson HC, McKelvey LM, Morris AS, Peralta-Carcelén M, Poehlmann J, Wakschlag LS, Wilson S. Erratum to ""Capturing the complexity of child behavior and caregiver-child interactions in the HEALthy Brain and Child Development (HBCD) Study using a rigorous and equitable approach"" [Dev. Cognit. Neurosci. 69 (2024) 101422]. Developmental cognitive neuroscience. 2025/05/23. 10.1016/j.dcn.2025.101571. PMID: 40413104. ",1878-9307
"Wu X, Zhang K, Kuang N, Kong X, Cao M, Lian Z, Liu Y, Fan H, Yu G, Liu Z, Cheng W, Jia T, Sahakian BJ, Robbins TW, Feng J, Schumman G, Palaniyappan L, & Zhang J",2025,"Developing brain asymmetry shapes cognitive and psychiatric outcomes in adolescence","Nature Communications",https://doi.org/10.1038/s41467-025-59110-9,"Cerebral asymmetry, fundamental to various cognitive functions, is often disrupted in neuropsychiatric disorders. While brain growth has been extensively studied, the maturation of brain asymmetry in children and the factors influencing it in adolescence remain poorly understood. We analyze longitudinal data from 11,270 children aged 10–14 years in the Adolescent Brain Cognitive Development (ABCD) study. Our analysis maps the developmental trajectory of structural brain asymmetry. We identify significant age-related, modality-specific development patterns. These patterns link to crystallized intelligence and mental health problems, but with weak correlations. Genetically, structural asymmetry relates to synaptic processes and neuron projections, likely through asymmetric synaptic pruning. At the microstructural level, corpus callosum integrity emerged as a key factor modulating the developing asymmetry. Environmentally, favorable perinatal conditions were associated with prolonged corpus callosum development, which affected future asymmetry patterns and cognitive outcomes. These findings underscore the dynamic yet predictable interactions between brain asymmetry, its structural determinants, and cognitive and psychiatric outcomes during a pivotal developmental stage. Our results provide empirical support for the adaptive plasticity theory in cerebral asymmetry and offer insights into both cognitive maturation and potential risk for early-onset mental health problems.
",https://www.nature.com/articles/s41467-025-59110-9,,,,"Wu X, Zhang K, Kuang N, Kong X, Cao M, Lian Z, Liu Y, Fan H, Yu G, Liu Z, Cheng W, Jia T, Sahakian BJ, Robbins TW, Feng J, Schumman G, Palaniyappan L, & Zhang J. Developing brain asymmetry shapes cognitive and psychiatric outcomes in adolescence Nature Communications. 2025/05/14. https://doi.org/10.1038/s41467-025-59110-9. ",
"Breslin FJ, Ratliff EL, Cohen ZP, Croff JM, Kerr KL",2025,"Measuring adversity in the ABCD® Study: systematic review and recommendations for best practices.","BMC medical research methodology",10.1186/s12874-025-02521-5,"Early life adversity (ELA) has substantial, lifelong impacts on mental and physical health and development. Data from the ABCD® Study will provide essential insights into these effects. Because the study lacks a unified adversity assessment, our objective was to use a critical, human-driven approach to identify variables that fit ELA domains measured in this study.
",,"ABCD, ACEs, Adverse childhood experiences, Adversity, ELA, Early life adversity",40102735,https://pubmed.ncbi.nlm.nih.gov/40102735,"Breslin FJ, Ratliff EL, Cohen ZP, Croff JM, Kerr KL. Measuring adversity in the ABCD® Study: systematic review and recommendations for best practices. BMC medical research methodology. 2025/03/18. 10.1186/s12874-025-02521-5. PMID: 40102735. ",1471-2288
