title,id,creator,activity,assignee,priority,status
 ,1030422,1587,2004-09-18.19:24:00,None,4,2
 - open - alias generates error,547138,799,2002-04-24.05:32:57,6,4,2
 difflib.py: line 528 in ratio() zero division not caught,763023,169,2003-07-01.15:00:31,35,4,2
 Next button not greyed out during file copy.,982215,963,2004-07-02.08:04:41,66,4,2
 PyFile_GetLine() doesn't grok unicode,660165,5,2003-01-03.19:27:49,8,4,2
 test_largefile crashes or IRIX 6,217608,165,2001-01-19.23:11:26,5,5,2
""" don't work on Mac under IDLE",29826,25802,2017-09-15.12:52:11,None,4,2
""""".split() ignores maxsplit arg",589965,923,2002-08-05.02:14:55,None,4,2
""""".translate() docs should mention string.maketrans()",1592899,2276,2006-12-07.09:30:30,114,4,2
"""#define socklen_t int"" in pyconfig.h",3257,8816,2008-07-02.15:09:35,None,4,2
"""%#x"" % 0 caused assertion failure/abort",415514,341,2001-04-12.18:41:02,6,3,2
"""%d"" format handling for long values",1742669,1595,2008-06-11.21:23:40,204,4,2
"""(?P=)"" input for Tools/scripts/redemo.py raises unnhandled exception",12759,14729,2012-11-03.18:36:54,7047,4,2
"""--enable-shared"" during configure forces ""2.7.3"" to build as ""2.7.2+"" on Ubuntu 11.10",16883,17107,2013-01-07.12:20:26,None,4,2
"""--require <feature>"" option for configure/make (fail if building not possible)",960325,1440,2010-11-09.15:39:21,None,5,2
"""-3"" flag does not work anymore",7700,11184,2010-01-15.01:32:45,None,1,2
"""-framework Python"" for building modules is bad",887242,886,2006-06-25.21:28:15,79,4,2
"""-m pdb"" SyntaxError for ""\r\n"" formatted py files",7964,9792,2010-07-30.14:16:50,None,4,2
"""-m unittest --help"" says nothing about direct script exection",30078,25967,2017-04-20.04:37:46,12260,4,2
"""-Wstrict-prototypes"" is valid for Ada/C/ObjC but not for C++""",5755,440,2018-06-07.10:13:19,4555,4,2
"""-X faulthandler"" is not documented in -X option docs",16241,14620,2012-10-25.08:39:19,12260,4,2
""".. index::"" position",10010,2529,2010-10-02.03:31:00,12260,4,2
"""..."" is used to confusingly indicate many different things in chapter 3",33460,28191,2018-06-26.03:05:22,12260,4,1
"""...."" (four dots) confuses doctest's ellipsis matching",1508564,490,2006-06-19.12:20:40,None,4,2
"""./configure --enable-optimizations && make install"" does not install files in ${BINDIR} and ${LIBDIR}",29370,13838,2017-01-25.22:17:39,None,4,1
"""./configure"" crashes",553000,816,2002-05-14.01:42:50,None,4,2
""".egg-info"" => "".pkg-info""",5480,440,2009-03-12.16:09:14,4555,4,2
""".et_folder"" instead of ""get_folder"" in mailbox documentation",6917,10826,2009-09-15.19:03:35,7047,5,2
"""/"".join() throws OverflowError",1503157,181,2006-06-10.06:45:19,6,4,2
"""1and 0"" evaluated a zero, instead of SyntaxError",26908,13564,2016-05-02.17:12:25,None,4,2
"""2to3 -l"" doesn't work when installed in /opt",3553,2377,2008-08-15.12:58:44,94,4,2
"""5. The import system"" grammatical error",31936,19018,2017-11-03.20:46:04,12260,4,2
"""503 HTTP ERROR"" on attempt to access some points of python library documentation",30901,26547,2017-07-11.16:17:25,12260,4,2
""">"" formatting behaving like ""="" formatting",7081,1309,2009-10-08.12:26:32,2799,4,2
"""[Errno 11] Resource temporarily unavailable"" while using tracing facility/threads (in linux listdir with unicode path)",3494,3182,2010-06-09.23:57:12,None,4,2
"""\0"" not listed as a valid escape in the lang reference",1108060,490,2005-01-24.04:02:14,None,4,2
"""\n"" is incorrectly represented",1341934,2431,2005-10-30.03:06:08,None,4,2
"""\textttNone"" in Index",907575,1529,2004-03-05.18:43:09,None,4,2
"""_ if 1else _"" does not compile",21642,15104,2015-04-15.16:02:21,None,4,2
"""__getattr__"" can't be a descriptor",4230,43,2008-11-17.23:35:32,None,5,2
"""__lltrace__""  seems to be wrong , ""__ltrace__"" is correct in Misc/SpecialBuilds.txt",34426,29255,2018-08-25.02:15:59,12260,4,2
"""_io"" module names itself ""io""",18602,2040,2013-08-08.14:00:55,None,5,1
"""a += yield foo"" compiles as ""a += yield (yield foo)""",1531113,3718,2006-07-30.07:01:27,35,2,2
"""a(n) the"", ""the a(n)"" typos",23221,9138,2015-01-13.14:20:46,12260,4,2
"""abandonned"" -> ""abandoned"" in PEP 510's https://hg.python.org/peps/rev/b463c740990c",26080,10930,2016-01-11.17:11:33,12260,4,2
"""abort: repository . not found!"" during the build of Python 2.7",29721,15623,2017-06-15.14:48:28,None,4,2
"""aifc"" module does not always initialize ""Aifc_read._ssnd_chunk""",31848,10649,2018-02-21.06:40:02,None,4,2
"""AMD64 FreeBSD 9.0 3.x"" fails to build the _decimal module: #error ""libmpdec version >= 2.4.1 required""",22283,2377,2014-08-30.21:50:49,None,4,2
"""AMD64 FreeBSD 9.x 3.x"" tries to rebuild Include/opcode.h, timestamp issue",29967,2377,2017-05-02.23:44:57,None,4,2
"""AMD64 OpenIndiana 3.x"" buildbot: assertion failed in PyObject_Call() in test_subprocess.test_preexec()",22290,2377,2014-10-05.15:31:54,None,4,2
"""and"" operator tests the first argument twice",846564,1076,2003-11-24.22:34:41,None,4,2
"""appropriately decorated"" is undefined in MultiFile.push doc",1255218,1867,2005-11-22.19:44:11,None,4,2
"""as"" keyword in comprehensions",30471,16448,2017-05-26.18:07:40,None,4,2
"""as"" keyword sometimes highlighted in strings",1325071,1153,2006-07-17.22:13:36,269,5,2
"""as_string"" method in email's mime objects encode text segmentedly",8054,11606,2010-03-05.14:14:05,None,4,2
"""ASCII"" in doc section ""String literals""",1026038,1767,2004-09-14.07:52:48,None,4,2
"""async"" and ""await"" are not keyword",31362,26910,2017-09-06.07:52:33,None,4,2
"""Atuple containing default argument values ...""",1189819,2225,2005-04-26.05:19:39,None,4,2
"""authinfo"" belongs before ""mode reader"" in nntplib.py",223625,205,2001-01-16.07:58:34,14,4,2
"""Bare"" text tag_configure in Tkinter",612602,3398,2002-10-10.14:37:06,8,4,2
"""break"" and ""continue""-ing out of nested 'for' loops",1210975,3894,2005-05-30.01:43:03,None,4,2
"""Build Applet.app"" build fails on OS X 10.8",18098,5248,2013-05-30.19:02:43,5248,4,2
"""build"" target doesn't check umask",977937,1809,2004-09-09.20:37:19,None,4,2
"""build_ext"" ""libraries"" subcommand not s",716634,418,2010-11-16.02:23:25,None,4,2
"""Building C and C++ Extensions on Windows"" documentation shows 2.x way of initializing module",10773,13517,2010-12-28.09:30:50,12260,4,2
"""Built-in Functions"" not being functions",29580,25588,2017-02-19.19:09:18,12260,4,2
"""built-in repr()"" function link on the repr module documentation is incorrect",20573,13564,2014-02-14.19:10:46,12260,4,2
"""Built-in Types"" doc doesn't explain dict comparison.",24406,14554,2015-06-12.20:52:34,12260,4,2
"""can't multiply sequence *by* non-int""",952866,1546,2004-05-12.21:36:16,None,5,2
"""Can't pickle local object"" when uses functools.partial with method and args...",29517,25504,2017-12-20.20:14:36,None,4,2
"""Cannot perform PGO build because llvm-profdata was not found in PATH"" error upon make",27983,252,2016-09-08.07:10:26,252,4,2
"""chdir"" Contex manager for pathlib",25625,22857,2015-11-20.19:32:53,None,4,2
"""checking whether gcc supports ParseTuple __format__... "" erroneously returns yes with gcc 4.8",17547,11193,2013-06-16.00:54:55,None,1,2
"""class in None"" in html help keyword",4248,2529,2008-11-03.07:02:44,93,4,2
"""cmp"" should be ""key"" in sort doc",1172554,1499,2005-03-29.15:35:08,None,4,2
"""cmp"" should be ""key"" in sort doc",1172581,1499,2005-03-30.18:03:15,None,4,2
"""cmp"" still sends messages",7430,4691,2009-12-04.10:07:44,None,4,2
"""codecs"" module on Windows uses incorrect end-of-line, wiriting broken Unicode (UTF-8) files",2131,5054,2008-02-17.11:51:03,None,4,2
"""const int"" was truncated to ""char""",1461822,2529,2006-03-31.03:15:08,None,4,2
"""context management protocol"" vs ""context manager protocol""",22369,15623,2014-09-10.21:25:06,15623,4,2
"""continue"" documentation",2252,5619,2008-03-07.18:52:44,93,4,2
"""continue"" documentation internally inconsistent",2253,5619,2008-03-08.09:54:36,93,4,2
"""continue"" in .pdbrc has no effect",1437051,4641,2010-07-30.08:30:08,None,4,2
"""continue"" inside ""try"" (PR#177)",210830,2,2000-10-03.15:45:44,12,5,2
"""conversion from 'Py_ssize_t' to 'int', possible loss of data"" in various files",10823,2377,2011-01-04.12:09:51,None,4,2
"""copytree"" refuses to copy to a mount point",33969,28811,2018-06-26.12:04:51,None,4,1
"""Corrupt installation"" when installed without admin privs",229998,206,2001-04-26.00:59:47,6,5,2
"""coverage"" of Python regrtest cannot see initial import of libs",11561,11803,2011-09-06.17:50:07,37,4,2
"""CPython implementation detail:"" removed when content translated",28331,10371,2017-03-24.22:41:36,12260,4,2
"""Date"" of what's new is confusing",29719,10371,2018-03-13.01:23:23,12260,4,2
"""Decimal(2) != float(2)"" documentation bug",16149,12351,2012-10-06.18:13:26,12260,4,2
"""def f(*args, ): pass"" does not compile",24677,16557,2015-07-21.12:53:37,None,4,2
"""Default"" word boundaries for Unicode data?",7255,11418,2014-11-24.16:16:58,None,4,2
"""Defining new types"" little outdated",4576,4065,2008-12-07.14:09:34,93,4,2
"""del p[key]"" on proxy object raises SystemError()",762891,795,2003-06-30.04:22:22,114,4,2
"""Delete patch set"" review action doesn't work",13438,15056,2012-03-25.06:50:52,None,4,2
"""deref"" error in _PyBuffer_FromObject",466752,2,2001-10-01.13:22:06,5,4,2
"""disjunct"" should be ""disjoint""",997533,1861,2004-07-25.13:56:49,None,4,2
"""dist must be a Distribution instance"" check fails with setuptools",23114,2153,2016-02-13.17:20:57,None,4,2
"""distributions can disable the encodings package""",13722,2040,2012-01-18.21:39:29,None,5,2
"""do nothing"" load_tests could be improved",16171,2040,2012-10-09.09:18:46,12260,5,2
"""doctest.DocTestCase.debug"" clears ""test.globs"" too early",2767,418,2008-05-12.17:04:30,None,4,2
"""Documenting Python: Syntax"" bug",2933,7565,2008-05-21.07:47:01,93,4,2
"""Economy of Expression"" section outdated",15270,12075,2012-09-23.16:39:41,114,5,2
"""Edit with IDLE"" does not work for shortcuts",25125,22455,2017-06-23.04:40:46,None,4,2
"""embedded NUL character"" exceptions",22215,15623,2014-09-06.17:31:30,15623,4,2
"""Emulating callable objects"" documentation misleading",31472,24586,2017-09-14.17:25:03,12260,4,1
