Completion time,Business name,"Doing Business As (DBA), if applicable [optional]",Business primary website,Business primary contact email address,Business primary phone number [optional],Business primary street address,Business city,Business state abbreviation ,Business zipcode,Business country,"If the primary business address does not comport to the format for #6-10, please type the address in the box below:",Does the business collect the personal information of minors?,Does the business collect consumers' precise geolocation?,Does the business collect consumers' reproductive health care data?,"Paste a link to a page on the business's website that contains details on how consumers may exercise their privacy rights by doing all of the following: 

Deleting personal information
Correcting ...",Is the business or any of it's subsidiaries regulated by the federal Fair Credit Reporting Act (FCRA)?,"If the business answered yes to #16, explain below to what extent the business or any of it's subsidiaries are regulated by FCRA:",Is the business or any of its subsidiaries regulated by the Gramm-Leach-Bliley Act and implemented regulations (GLBA)?,"If the business answered yes to #18, explain below to what extent the business or any of it's subsidiaries are regulated by GLBA:",Is the business or any of its subsidiaries regulated by the Insurance Information and Privacy Protection Act (IIPA)?,"If the business answered yes to #20, explain below to what extent the business or any of it's subsidiaries are regulated by IIPPA:",Is the business or any of its subsidiaries regulated by the Confidentiality of Medical Information Act (CMIA)?,"If the business answered yes to #22, explain below to what extent the business or any of it's subsidiaries are regulated by CMIA:","Is the business or any of its subsidiaries regulated by the privacy, security, and breach notification rules established pursuant to the Health Insurance Portability and Accountability Act (HIPAA)?","If the business answered yes to #24, explain below to what extent the business or any of it's subsidiaries are regulated by HIPAA:",Any additional information or explanation concerning the business's data collection practices the business would like to provide?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/24 14:55:27,PLEXUSS INC.,,https://www.plexuss.com,compliance@plexuss.com,,"231 Market Place, Suite 241",San Ramon,CA,94583,USA,,Yes,No,No,https://plexuss.com/privacy-policy,No,,No,,No,,No,,No,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/24 15:05:37,"ACH, Address Clearing House",,https://www.achcoop.com,lisa@achcoop.com,302-480-0432,16192 Coastal Highway,Lewes,DE,19958,USA,,No,No,No,https://www.achcoop.com/privacy-policy,No,,No,,No,,No,,No,,"ACH takes all necessary steps to ensure that the data we collect, license, and process is housed and transmitted securely.  ACH adheres to all federal and state privacy laws, as well as self-regulatory industry principles.
ACH follows industry standards on information security management to safeguard personal information which includes physical and electronic security, including, but not limited to firewall protections and encryption.
Personal information is collected from processing centers for the purposes of marketing, and analysis. 
The information collected by ACH is done so in accordance with client’s privacy policy.
The data collected from Personal Information is defined as any information concerning the personal or material circumstances of an identified or identifiable individual. Personal Information shall include but is not limited to: name, home address, home zip code, home telephone number, mobile phone number, or email address.
ACH does not collect sensitive data concerning a consumer, i.e. health data, political and philosophical beliefs, precise geolocation, racial/ ethnic data.
ACH does not knowingly collect personal information from anyone under the age of 18.
Personal Information is not accessible to anyone outside the specific function for which it is collected.
ACH does not use affiliates or unauthorized third party data.
ACH works on an “As-Is” basis without warranties of any kind.
ACH will keep personal information as long as necessary for our business purposes, as described in this Privacy Policy. Once personal information is no longer needed, it will be removed from our system.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/24 18:32:25,"CITYDATA, Inc.",,https://citydata.ai,business@citydata.ai,,548 Market Street,San Francisco,CA,94104,USA,,No,No,No,https://citydata.ai/privacy/do_not_sell_personal_information/,No,,No,,No,,No,,No,,"Privacy: citydata.ai/#Privacy

Policy: citydata.ai/company/privacy_policy/

Do Not Sell Personal Data: citydata.ai/privacy/do_not_sell_personal_information/

Note: CITYDATA is focused on geolocation data for civic use cases like mobility, transportation, urban design, parks, downtowns, and improving the resiliency of our cities and towns. The company does not collect personal data attributes like names, phone numbers, physical addresses, email contact information, dates of birth, transaction data, app usage data, or online behavioral data. The company holds a hashed i.e. anonymized identifier in the cloud based on the MAID (ADID or IDFA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 2:52:24,Cognism Ltd,N/A,https://www.cognism.com,compliance@cognism.com,,,,,,United Kingdom,"Holborn Gate, 330 Holborn, London, England, WC1V 7QT",No,No,No,https://www.cognism.com/privacy-policy ,No,,No,,No,,No,,No,,You can find more information at www.cognism.com/compliance and www.cognism.com/opt-out ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 6:30:49,"Censia, Inc.",,https://www.censia.com,tgotowka@censia.com,,447 Sutter St Ste 405,San Francisco,CA,94108,USA,,No,No,No,https://www.censia.com/ccpa/,No,,No,,No,,No,,No,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:13:23,"Steppingblocks, Inc.",Steppingblocks,https://www.steppingblocks.com,privacy@steppingblocks.com,,3423 Piedmont RD NE Suite R17,Atlanta,GA,30342,USA,,No,No,No,https://www.steppingblocks.com/privacy-ccpa,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:15:43,"AccuData Integrated Marketing, Inc.",,https://www.accudata.com,privacy.compliance@accudata.com,,"12901 McGregor Blvd., Suite 1A",Fort Myers,FL,33919,USA,,Yes,Yes,No,https://deepsync.com/privacy-policy/,No,,No,,No,,No,,No,,Consumers can visit www.accudata.com and review our Privacy Policy as well as our Consumer Information Link.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:24:36,ASL Marketing,,https://www.deepsync.com,privacy.compliance@aslmarketing.com,,"500 Bi County Blvd., Suite 460",Farmingdale,NY,11735,USA,,Yes,Yes,No,https://deepsync.com/privacy-policy/,No,,No,,No,,No,,No,,Consumers can visit deepsync.com/asl-marketing/ and review our Privacy Policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:27:11,Rich Media LLC,,http://www.richmediallc.com,jeff@richmediallc.com,,10191 Sweet Bay Court ,Parkland,FL,33076,USA,,No,No,No,N/A,No,,No,,No,,No,,No,,We are a broker of data and do not collect any data on consumers ourselves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:30:53,"Compact Information Systems, LLC",Deep Sync,https://www.deepsync.com,privacy.compliance@deepsync.com,,"7120 185TH AVE NE, Suite 150",Redmond,WA,98052,USA,,Yes,Yes,No,https://deepsync.com/privacy-policy/,No,,No,,No,,No,,No,,Consumers can visit www.deepsync.com and review our Privacy Policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
